WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,DewPoint,LandVisibility,Rainfall24Hr,AirTemperature,Rainfall,RelativeHumidity,VaporPressure,WindSpeed,WindDirection,MeanSeaLevelPressure
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1007.20,09-10-2019,01:00:00,23.1,10.00,0.00,27.8,0.00,76,28.28,13.0,260,1008.61
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1001.99,09-10-2019,01:00:00,24.9,10.00,0.00,26.5,0.00,91,31.52,0.0,000,1010.03
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1007.83,09-10-2019,01:00:00,24.6,10.00,0.00,28.5,0.00,80,30.98,5.6,240,1008.11
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1005.17,09-10-2019,01:00:00,25.0,10.00,0.00,28.3,0.00,82,31.70,0.0,000,1008.30
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1001.68,09-10-2019,01:00:00,23.6,10.00,0.00,28.0,0.00,77,29.19,5.6,270,1008.61
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1003.08,09-10-2019,01:00:00,25.2,10.00,0.00,27.2,0.00,89,32.05,0.0,000,1008.69
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1007.81,09-10-2019,01:00:00,23.8,10.00,0.01,26.9,0.00,83,29.56,0.0,000,1009.08
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1007.61,09-10-2019,01:00:00,22.5,11.00,0.01,27.5,0.00,74,27.21,11.1,200,1008.04
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,996.52,09-10-2019,01:00:00,22.4,8.00,0.00,24.5,0.00,88,27.10,0.0,000,1008.91
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1007.88,09-10-2019,01:00:00,23.0,10.00,0.00,27.4,0.00,77,28.08,9.3,250,1008.59
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1006.20,09-10-2019,01:00:00,21.8,10.00,0.00,28.3,0.00,68,26.03,11.1,220,1008.63
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1008.44,09-10-2019,01:00:00,24.9,10.00,0.00,28.5,0.00,81,31.54,18.5,260,1008.96
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1003.55,09-10-2019,01:00:00,24.3,8.00,0.00,27.5,0.00,83,30.42,0.0,000,1008.70
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1008.78,09-10-2019,01:00:00,24.9,7.00,0.00,27.8,0.00,84,31.56,5.6,200,1009.19
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1006.52,09-10-2019,01:00:00,25.3,8.00,0.00,27.0,0.00,90,32.21,0.0,000,1009.30
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1009.00,09-10-2019,01:00:00,23.4,10.00,13.80,26.0,0.00,85,28.70,7.4,210,1009.79
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1009.35,09-10-2019,01:00:00,23.5,3.00,114.00,25.0,76.60,92,29.00,9.3,270,1009.82
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1009.17,09-10-2019,01:00:00,22.9,7.00,0.90,25.1,0.00,88,27.88,7.4,290,1009.85
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1008.04,09-10-2019,01:00:00,23.8,7.00,8.80,25.0,0.00,93,29.52,0.0,000,1009.58
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1009.98,09-10-2019,01:00:00,23.1,8.00,47.80,24.0,0.40,95,28.27,0.0,000,1010.91
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1009.92,09-10-2019,01:00:00,24.4,10.00,30.10,25.4,0.00,94,30.52,0.0,000,1010.61
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1009.81,09-10-2019,01:00:00,23.3,7.00,15.80,24.0,0.00,96,28.53,3.7,180,1010.62
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1009.73,09-10-2019,01:00:00,23.6,10.00,14.00,24.3,0.00,96,29.05,0.0,000,1010.38
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1010.61,09-10-2019,01:00:00,23.3,8.00,34.80,23.7,0.00,97,28.52,0.0,000,1011.03
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1007.94,09-10-2019,01:00:00,23.1,5.00,42.20,23.8,0.00,96,28.18,0.0,000,1012.22
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1008.21,09-10-2019,01:00:00,23.4,7.00,8.80,24.0,0.40,97,28.78,0.0,000,1009.84
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1007.67,09-10-2019,01:00:00,23.4,6.00,41.50,23.8,0.00,97,28.69,0.0,000,1011.20
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1009.28,09-10-2019,01:00:00,24.4,7.00,0.01,25.1,0.00,96,30.50,0.0,000,1010.65
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1010.05,09-10-2019,01:00:00,22.7,10.00,7.50,23.6,0.00,95,27.58,0.0,000,1010.95
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1007.13,09-10-2019,01:00:00,23.2,10.00,52.20,23.5,0.00,98,28.42,0.0,000,1010.75
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1010.18,09-10-2019,01:00:00,24.3,10.00,43.20,25.2,0.00,95,30.42,0.0,000,1010.62
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1009.42,09-10-2019,01:00:00,23.5,10.00,2.00,24.5,0.00,94,28.89,0.0,000,1010.42
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1009.67,09-10-2019,01:00:00,23.0,10.00,36.60,24.0,0.00,94,28.01,0.0,000,1010.49
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1009.19,09-10-2019,01:00:00,23.8,10.00,48.30,24.4,0.00,97,29.49,0.0,000,1011.03
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1010.04,09-10-2019,01:00:00,23.7,9.00,7.00,26.5,0.00,85,29.35,5.6,230,1010.80
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1007.13,09-10-2019,01:00:00,24.0,8.00,0.00,25.2,0.00,93,29.89,3.7,990,1011.17
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1010.31,09-10-2019,01:00:00,24.1,10.00,0.00,25.6,0.00,92,30.09,0.0,000,1011.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1009.72,09-10-2019,01:00:00,23.7,10.00,0.00,25.2,0.00,92,29.36,0.0,000,1010.85
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1008.02,09-10-2019,01:00:00,24.2,10.00,0.00,25.2,0.00,94,30.15,0.0,000,1010.97
