WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,WindSpeed,Rainfall24Hr,MeanSeaLevelPressure,VaporPressure,DewPoint,RelativeHumidity,AirTemperature,StationPressure,LandVisibility,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.50,07-24-2019,22:00:00,0.0,41.50,1008.36,27.85,22.9,92,24.2,977.22,8.00,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,07-24-2019,22:00:00,42.6,21.10,1005.51,21.06,18.3,99,18.5,844.34,5.00,300
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,6.10,07-24-2019,22:00:00,5.6,16.90,1006.65,28.38,23.2,91,24.8,962.93,10.00,150
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,4.80,07-24-2019,22:00:00,0.0,18.60,1006.64,29.25,23.7,94,24.7,961.00,1.00,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,3.80,07-24-2019,22:00:00,0.0,17.20,1007.82,29.82,24.0,100,24.0,969.95,6.00,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,07-24-2019,22:00:00,0.0,3.30,1006.68,27.94,22.9,91,24.4,961.44,10.00,000
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.20,07-24-2019,22:00:00,5.6,7.80,1007.90,28.72,23.4,92,24.7,981.03,7.00,180
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,07-24-2019,22:00:00,1.9,1.30,1007.63,28.01,23.0,82,26.2,985.85,12.00,170
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,07-24-2019,22:00:00,0.0,11.80,1009.59,28.36,23.2,94,24.2,985.26,6.00,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,07-24-2019,22:00:00,0.0,17.90,1007.41,29.99,24.1,92,25.4,972.82,10.00,000
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,07-24-2019,22:00:00,0.0,29.20,1008.52,30.84,24.6,92,26.0,980.92,10.00,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,07-24-2019,22:00:00,0.0,6.90,1007.54,28.83,23.4,90,25.2,973.86,10.00,000
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,07-24-2019,22:00:00,0.0,16.50,1007.14,31.93,25.1,95,26.0,988.60,12.00,000
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,07-24-2019,22:00:00,0.0,21.40,1007.47,30.42,24.3,95,25.2,984.55,10.00,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,07-24-2019,22:00:00,0.0,5.00,1007.86,29.42,23.8,94,24.8,977.80,7.00,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,07-24-2019,22:00:00,0.0,13.20,1007.60,29.36,23.7,92,25.2,971.96,6.00,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,07-24-2019,22:00:00,0.0,2.20,1006.67,28.87,23.5,87,25.8,976.92,12.00,000
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,07-24-2019,22:00:00,0.0,4.60,1007.69,31.38,24.8,88,27.0,1000.38,8.00,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,07-24-2019,22:00:00,7.4,20.00,1006.85,30.81,24.5,83,27.7,987.01,12.00,270
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,07-24-2019,22:00:00,0.0,2.90,1006.97,25.50,21.4,67,28.0,978.45,12.00,000
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,07-24-2019,22:00:00,5.6,5.50,1006.83,28.02,23.0,75,27.8,986.73,12.00,220
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,07-24-2019,22:00:00,0.0,9.60,1007.38,32.45,25.4,89,27.4,985.70,12.00,000
