WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,WindSpeed,RelativeHumidity,StationPressure,VaporPressure,Rainfall24Hr,WindDirection,AirTemperature,DewPoint,MeanSeaLevelPressure,MaximumTemperature,Rainfall
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,10.00,09-24-2019,19:00:00,0.0,74,1010.99,30.32,1.90,000,29.3,24.3,1012.10,32.8,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,10.00,09-24-2019,19:00:00,0.0,69,1011.72,30.18,0.20,000,30.5,24.2,1012.02,32.6,0.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,10.00,09-24-2019,19:00:00,3.7,73,1010.55,29.96,0.10,060,29.4,24.1,1011.24,33.2,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10.00,09-24-2019,19:00:00,3.7,73,1011.18,30.87,0.10,110,30.0,24.6,1011.66,34.6,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,10.00,09-24-2019,19:00:00,11.1,68,1010.90,29.81,0.20,110,30.6,24.0,1012.30,33.6,0.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,10.00,09-24-2019,19:00:00,18.5,95,1010.35,36.77,0.00,140,28.5,27.5,1012.03,31.0,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,10.00,09-24-2019,19:00:00,0.0,85,1005.65,31.95,0.01,000,28.0,25.1,1013.68,32.5,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,10.00,09-24-2019,19:00:00,5.6,74,1011.64,32.38,0.00,040,30.6,25.4,1011.92,34.1,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,10.00,09-24-2019,19:00:00,0.0,84,1008.90,30.97,0.00,000,27.5,24.6,1012.04,34.0,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,10.00,09-24-2019,19:00:00,0.0,95,1004.80,30.79,20.70,000,25.4,24.5,1011.81,31.8,14.90
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,8.00,09-24-2019,19:00:00,5.6,78,1007.09,32.13,0.00,030,29.5,25.2,1012.67,32.5,0.00
