WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,LandVisibility,WindDirection,MeanSeaLevelPressure,VaporPressure,Rainfall24Hr,DewPoint,RelativeHumidity,StationPressure,WindSpeed,Rainfall,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,09-04-2019,16:00:00,15.00,250,1002.69,30.86,0.60,24.6,62,972.58,3.7,0.00,32.8
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,09-04-2019,16:00:00,8.00,120,1000.82,19.97,5.50,17.5,73,842.34,18.5,0.00,22.5
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,09-04-2019,16:00:00,12.00,110,1000.99,27.47,4.10,22.6,54,958.66,7.4,0.00,33.1
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,09-04-2019,16:00:00,15.00,000,1002.63,25.63,1.00,21.5,51,958.37,0.0,0.00,33.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,09-04-2019,16:00:00,12.00,000,1000.92,30.42,3.80,24.3,56,964.55,0.0,0.00,34.4
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,09-04-2019,16:00:00,12.00,180,1001.56,31.02,0.80,24.7,63,957.72,5.6,0.00,32.6
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,09-04-2019,16:00:00,12.00,270,1001.85,34.03,0.00,26.2,63,975.97,5.6,0.00,34.4
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,09-04-2019,16:00:00,15.00,330,1002.29,28.97,0.30,23.5,58,981.10,14.8,0.00,33.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,09-04-2019,16:00:00,10.00,000,1003.71,32.39,8.40,25.4,83,979.87,0.0,7.80,28.5
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,09-04-2019,16:00:00,10.00,220,1002.18,34.27,4.70,26.3,77,968.36,5.6,4.70,30.8
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,09-04-2019,16:00:00,10.00,000,1002.78,33.04,2.80,25.7,85,975.56,0.0,2.80,28.4
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,09-04-2019,16:00:00,12.00,000,1001.41,28.76,0.00,23.4,55,968.83,0.0,0.00,33.6
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,09-04-2019,16:00:00,12.00,240,1001.56,33.69,8.60,26.0,69,983.52,5.6,0.00,32.6
48331,NAN,น่าน,น่าน,18.77972,100.77778,09-04-2019,16:00:00,10.00,000,1001.64,31.29,0.20,24.8,60,979.48,0.0,0.00,33.7
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,09-04-2019,16:00:00,12.00,000,1001.64,27.43,0.00,22.6,53,972.60,0.0,0.00,33.5
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,09-04-2019,16:00:00,8.00,000,1002.69,30.34,0.00,24.3,87,967.39,0.0,0.00,26.6
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,09-04-2019,16:00:00,14.00,290,1000.36,35.04,0.00,26.7,70,971.46,5.6,0.00,32.8
