WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,VaporPressure,MeanSeaLevelPressure,Rainfall,WindSpeed,WindDirection,LandVisibility,StationPressure,DewPoint,AirTemperature,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,10-12-2019,13:00:00,29.27,1008.63,0.00,0.0,000,15.00,978.22,23.7,31.6,63
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,10-12-2019,13:00:00,22.73,1009.33,0.00,14.8,200,8.00,848.53,19.6,20.5,94
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,10-12-2019,13:00:00,26.50,1008.39,0.00,0.0,000,12.00,965.69,22.0,32.6,54
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,10-12-2019,13:00:00,24.96,1008.80,0.00,0.0,000,15.00,964.20,21.1,32.5,51
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,10-12-2019,13:00:00,31.07,1009.05,0.00,0.0,000,12.00,972.21,24.7,32.9,62
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,10-12-2019,13:00:00,26.86,1008.81,0.00,7.4,180,10.00,964.64,22.3,32.5,55
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,10-12-2019,13:00:00,31.77,1009.55,0.00,7.4,180,12.00,983.45,25.1,34.2,59
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,10-12-2019,13:00:00,28.47,1008.82,0.00,3.7,330,12.00,987.54,23.2,33.6,55
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,10-12-2019,13:00:00,28.41,1008.89,0.00,0.0,000,10.00,985.21,23.2,32.3,59
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,10-12-2019,13:00:00,28.00,1009.08,0.00,3.7,190,12.00,975.25,23.0,32.8,56
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,10-12-2019,13:00:00,29.09,1009.42,0.00,0.0,000,10.00,982.45,23.6,33.2,57
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,10-12-2019,13:00:00,28.00,1008.86,0.00,3.7,260,15.00,975.96,23.0,32.8,56
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,4.00,10-12-2019,13:00:00,28.84,1008.78,0.00,3.7,170,10.00,990.66,23.4,33.5,56
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,10-12-2019,13:00:00,30.91,1008.49,0.00,5.6,200,10.00,986.18,24.6,33.8,59
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,10-12-2019,13:00:00,27.44,1008.80,0.00,0.0,000,12.00,979.49,22.6,32.8,55
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,10-12-2019,13:00:00,27.13,1008.92,0.00,0.0,000,8.00,974.08,22.4,32.5,55
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,10-12-2019,13:00:00,33.09,1007.91,0.00,14.8,050,14.00,978.98,25.7,34.8,60
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,10-12-2019,13:00:00,28.02,1009.36,0.00,0.0,000,9.00,1002.22,23.0,34.5,51
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,10-12-2019,13:00:00,29.87,1008.55,0.00,18.5,100,8.00,989.09,24.0,34.0,56
48353,LOEI,เลย,เลย,17.45000,101.73333,0.01,10-12-2019,13:00:00,29.07,1008.90,0.00,7.4,360,15.00,980.65,23.6,31.5,63
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,10-12-2019,13:00:00,29.26,1009.01,0.00,9.3,290,15.00,989.16,23.7,32.3,61
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,10-12-2019,13:00:00,26.56,1010.05,0.00,3.7,150,12.00,988.71,22.1,33.2,52
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,10-12-2019,13:00:00,26.17,1008.88,0.00,11.1,180,15.00,989.74,21.8,33.0,52
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,10-12-2019,13:00:00,24.34,1009.26,0.00,3.7,190,13.00,992.86,20.7,33.9,46
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,10-12-2019,13:00:00,26.73,1009.66,0.00,3.7,120,12.00,992.61,22.2,34.0,50
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,10-12-2019,13:00:00,26.45,1007.60,0.00,5.6,100,15.00,982.33,22.0,33.0,53
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,10-12-2019,13:00:00,35.40,1008.48,0.00,0.0,000,8.00,1002.83,26.9,35.0,63
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,10-12-2019,13:00:00,33.44,1008.91,0.00,0.0,000,12.00,1002.85,25.9,34.0,63
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,10-12-2019,13:00:00,30.34,1008.91,0.00,0.0,000,12.00,992.85,24.3,34.5,55
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,10-12-2019,13:00:00,28.81,1007.40,0.00,0.0,000,10.00,985.48,23.4,32.5,59
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,10-12-2019,13:00:00,28.43,1009.26,0.00,3.7,260,9.00,995.17,23.2,34.0,53
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,10-12-2019,13:00:00,28.43,1008.89,0.00,9.3,120,12.00,992.85,23.2,34.0,53
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,10-12-2019,13:00:00,29.21,1008.92,0.00,0.0,000,12.00,1003.82,23.7,34.8,53
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,10-12-2019,13:00:00,29.71,1007.20,0.00,0.0,000,12.00,994.31,23.9,34.2,55
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,10-12-2019,13:00:00,29.33,1008.83,0.00,3.7,250,13.00,999.71,23.7,34.3,54
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,10-12-2019,13:00:00,27.01,1008.82,0.00,7.4,100,10.00,987.59,22.4,34.0,51
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,10-12-2019,13:00:00,31.52,1008.46,0.00,11.1,110,12.00,991.36,24.9,34.5,58
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,10-12-2019,13:00:00,27.92,1008.38,0.00,3.7,180,12.00,992.83,22.9,32.9,56
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,2.00,10-12-2019,13:00:00,27.01,1008.03,0.00,3.7,040,10.00,989.56,22.4,34.0,51
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,9.40,10-12-2019,13:00:00,27.25,1007.59,0.00,0.0,000,11.00,957.16,22.5,30.7,62
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,10-12-2019,13:00:00,31.54,1008.67,0.00,3.7,180,6.00,1004.79,24.9,33.4,61
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.20,10-12-2019,13:00:00,26.17,1010.10,0.20,0.0,000,8.00,915.59,21.8,24.4,86
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,10-12-2019,13:00:00,31.75,1008.74,0.00,0.0,000,12.00,993.06,25.0,33.5,61
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,10-12-2019,13:00:00,33.25,1009.02,0.00,3.7,030,7.00,1005.06,25.8,33.5,64
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,10-12-2019,13:00:00,31.13,1009.32,0.00,1.9,270,8.00,998.86,24.7,33.9,59
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,10-12-2019,13:00:00,32.84,1009.39,0.00,0.0,000,14.00,1007.50,25.6,34.0,62
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,10-12-2019,13:00:00,28.59,1007.87,0.00,0.0,000,12.00,987.50,23.3,34.5,52
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,10-12-2019,13:00:00,27.15,1008.35,0.00,7.4,080,10.00,991.04,22.4,33.5,52
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,10-12-2019,13:00:00,28.32,1008.37,0.00,13.0,160,10.00,992.51,23.1,33.1,56
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,10-12-2019,13:00:00,29.99,1008.87,0.00,7.4,190,10.00,995.11,24.1,33.5,58
