WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,MeanSeaLevelPressure,AirTemperature,Rainfall24Hr,RelativeHumidity,VaporPressure,WindSpeed,WindDirection,StationPressure,LandVisibility,Rainfall
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,21.8,09-13-2019,16:00:00,1005.57,33.7,0.00,50,26.15,13.0,270,1004.89,10.00,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,24.3,09-13-2019,16:00:00,1005.29,33.0,0.00,60,30.40,3.7,300,1004.60,7.00,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,23.9,09-13-2019,16:00:00,1004.66,32.1,0.00,62,29.71,5.6,290,983.90,12.00,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,24.3,09-13-2019,16:00:00,1004.94,31.6,8.10,65,30.41,5.6,240,988.51,13.00,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,25.2,09-13-2019,16:00:00,1005.44,32.0,9.70,68,32.10,0.0,000,989.30,10.00,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,23.3,09-13-2019,16:00:00,1004.61,32.8,0.00,57,28.56,3.7,270,983.22,10.00,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,23.0,09-13-2019,16:00:00,1005.54,30.0,0.00,66,28.09,14.8,230,962.78,14.00,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,23.0,09-13-2019,16:00:00,1004.79,32.7,0.00,57,28.08,3.7,210,984.65,12.00,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,26.2,09-13-2019,16:00:00,1006.47,30.4,1.40,78,34.01,5.6,130,985.89,10.00,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,22.7,09-13-2019,16:00:00,1005.96,35.0,2.10,49,27.61,7.4,330,1005.53,10.00,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,26.0,09-13-2019,16:00:00,1005.55,31.0,0.00,75,33.52,0.0,000,1004.15,11.00,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,25.7,09-13-2019,16:00:00,1005.78,32.0,0.00,69,32.99,0.0,000,1000.94,8.00,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,21.5,09-13-2019,16:00:00,1005.71,34.4,0.00,47,25.57,9.3,250,1002.50,12.00,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,25.0,09-13-2019,16:00:00,1005.92,31.9,0.00,67,31.60,3.7,320,1004.83,10.00,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,23.1,09-13-2019,16:00:00,1005.68,34.5,0.00,52,28.30,13.0,290,1005.39,10.00,0.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,23.9,09-13-2019,16:00:00,1005.19,34.9,0.00,53,29.71,7.4,280,1004.52,10.00,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,23.4,09-13-2019,16:00:00,1005.43,32.6,0.00,58,28.73,5.6,120,1004.95,10.00,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,22.0,09-13-2019,16:00:00,1005.84,33.6,0.00,51,26.51,16.7,330,1004.46,10.00,0.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,26.3,09-13-2019,16:00:00,1006.23,30.5,0.00,78,34.22,14.8,210,1004.58,12.00,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,24.0,09-13-2019,16:00:00,1007.22,32.9,0.00,60,29.91,3.7,270,999.37,15.00,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,23.9,09-13-2019,16:00:00,1005.88,32.5,0.00,61,29.66,0.0,000,1005.61,10.00,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,24.3,09-13-2019,16:00:00,1006.35,30.7,0.00,69,30.29,9.3,270,1003.26,10.00,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,24.0,09-13-2019,16:00:00,1006.49,30.6,3.50,68,29.81,7.4,260,999.64,12.00,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,25.0,09-13-2019,16:00:00,1005.34,33.3,0.00,62,31.62,20.4,260,999.87,8.00,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,23.4,09-13-2019,16:00:00,1007.06,33.2,0.00,57,28.80,11.1,260,997.94,10.00,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,23.3,09-13-2019,16:00:00,1006.96,33.5,0.00,55,28.56,11.1,270,1005.72,14.00,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,26.8,09-13-2019,16:00:00,1006.17,33.0,0.01,70,35.19,7.4,150,1005.75,11.00,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,22.2,09-13-2019,16:00:00,1006.96,31.7,0.00,57,26.69,7.4,230,994.90,10.00,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,25.3,09-13-2019,16:00:00,1006.48,30.8,0.00,73,32.22,9.3,100,1005.77,10.00,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,23.7,09-13-2019,16:00:00,1006.88,33.0,0.00,58,29.25,11.1,220,1004.49,10.00,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,23.8,09-13-2019,16:00:00,1006.45,30.0,0.00,69,29.47,13.0,270,1005.93,10.00,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,20.7,09-13-2019,16:00:00,1006.11,33.2,0.00,48,24.38,13.0,280,1001.06,12.00,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,24.2,09-13-2019,16:00:00,1006.69,30.2,0.00,70,30.14,7.4,210,1006.28,10.00,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,26.6,09-13-2019,16:00:00,1006.79,29.8,0.00,83,34.80,11.1,210,1004.04,8.00,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,22.4,09-13-2019,16:00:00,1008.48,30.0,0.00,64,27.01,0.0,000,1007.70,10.00,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,26.2,09-13-2019,16:00:00,1006.59,29.0,20.10,85,33.99,9.3,260,1006.14,8.00,2.70
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,22.1,09-13-2019,16:00:00,1009.00,29.5,0.00,65,26.62,5.6,280,1008.32,9.00,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,22.6,09-13-2019,16:00:00,1010.03,28.8,0.00,69,27.46,7.4,270,1008.51,10.00,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,23.5,09-13-2019,16:00:00,1011.25,26.0,4.10,86,28.97,7.4,190,1010.32,10.00,3.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,25.5,09-13-2019,16:00:00,1009.02,31.7,0.00,70,32.64,13.0,260,1008.34,10.00,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,22.6,09-13-2019,16:00:00,1010.46,27.5,0.80,75,27.47,5.6,260,1009.67,10.00,0.01
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,22.8,09-13-2019,16:00:00,1009.17,24.9,13.00,88,27.79,7.4,320,1008.53,7.00,7.90
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,22.4,09-13-2019,16:00:00,1010.23,24.2,9.00,90,27.09,25.9,340,1009.82,8.00,8.70
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,23.5,09-13-2019,16:00:00,1012.08,28.2,0.60,76,29.03,7.4,240,1007.87,7.00,0.60
