WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,RelativeHumidity,WindSpeed,DewPoint,MeanSeaLevelPressure,Rainfall,AirTemperature,StationPressure,VaporPressure,WindDirection,Rainfall24Hr
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,10.00,08-28-2019,22:00:00,87,0.0,24.8,1006.76,0.00,27.1,984.92,31.30,000,1.50
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,10.00,08-28-2019,22:00:00,88,3.7,23.3,1007.30,0.00,25.5,963.84,28.59,160,0.10
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,8.00,08-28-2019,22:00:00,96,9.3,23.8,1007.28,27.00,24.5,986.54,29.41,110,27.20
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,8.00,08-28-2019,22:00:00,93,14.8,25.0,1008.19,0.00,26.2,987.30,31.76,240,0.60
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,8.00,08-28-2019,22:00:00,93,3.7,24.9,1008.40,4.00,26.1,1007.97,31.57,310,12.90
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,6.00,08-28-2019,22:00:00,83,0.0,25.2,1006.73,0.00,28.5,1005.32,32.10,000,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,7.00,08-28-2019,22:00:00,86,3.7,25.2,1006.95,0.00,27.8,1002.03,32.12,210,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,10.00,08-28-2019,22:00:00,70,3.7,22.2,1007.90,0.00,28.3,1004.61,26.81,200,0.01
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,5.00,08-28-2019,22:00:00,80,3.7,23.3,1007.86,0.01,27.0,1006.75,28.67,210,0.01
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,10.00,08-28-2019,22:00:00,79,13.0,23.6,1007.75,0.00,27.7,1007.45,29.17,300,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10.00,08-28-2019,22:00:00,84,0.0,24.6,1007.80,0.00,27.6,1007.31,30.89,000,6.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,10.00,08-28-2019,22:00:00,81,11.1,24.1,1007.56,0.00,27.7,1006.16,29.98,270,0.01
