WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,AirTemperature,LandVisibility,DewPoint,StationPressure,WindSpeed,Rainfall24Hr,VaporPressure,Rainfall,MeanSeaLevelPressure,WindDirection,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,09-10-2019,13:00:00,30.6,12.00,25.5,975.78,0.0,35.60,32.67,0.00,1006.21,000,74
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,09-10-2019,13:00:00,23.0,8.00,19.9,844.23,0.0,0.00,23.21,0.00,1002.78,000,83
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,09-10-2019,13:00:00,27.9,10.00,22.9,961.84,5.6,0.01,27.93,0.01,1005.06,280,74
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,09-10-2019,13:00:00,30.7,15.00,24.3,960.09,3.7,0.00,30.29,0.00,1004.77,010,69
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,09-10-2019,13:00:00,29.0,12.00,24.1,968.52,0.0,8.50,30.01,0.00,1005.70,000,75
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,09-10-2019,13:00:00,32.0,12.00,23.3,960.97,7.4,0.00,28.66,0.00,1005.04,170,60
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,09-10-2019,13:00:00,30.5,12.00,24.3,980.81,18.5,0.00,30.46,0.00,1007.15,170,70
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,09-10-2019,13:00:00,30.8,15.00,22.8,986.13,7.4,0.00,27.71,0.00,1007.58,240,62
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,09-10-2019,13:00:00,27.5,8.00,25.4,983.94,0.0,1.70,32.36,0.20,1007.97,000,88
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,09-10-2019,13:00:00,31.5,10.00,21.9,972.90,3.7,1.80,26.32,0.00,1006.79,180,57
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,09-10-2019,13:00:00,30.0,10.00,22.7,979.80,0.0,0.00,27.55,0.00,1007.00,000,65
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,09-10-2019,13:00:00,30.7,12.00,22.3,973.53,9.3,0.00,26.97,0.00,1006.58,260,61
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,09-10-2019,13:00:00,30.0,12.00,23.5,988.74,3.7,9.70,28.91,0.00,1007.03,240,68
48331,NAN,น่าน,น่าน,18.77972,100.77778,09-10-2019,13:00:00,30.7,10.00,23.9,984.29,0.0,0.30,29.73,0.00,1006.79,000,67
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,09-10-2019,13:00:00,29.6,12.00,23.5,977.21,3.7,0.00,28.97,0.00,1006.76,200,70
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,09-10-2019,13:00:00,29.4,8.00,23.6,971.90,0.0,0.00,29.13,0.00,1007.03,000,71
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,09-10-2019,13:00:00,32.1,14.00,25.3,976.42,3.7,0.00,32.31,0.00,1005.54,070,68
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,09-10-2019,13:00:00,31.5,10.00,24.4,1000.61,0.0,0.00,30.49,0.00,1007.81,000,66
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,09-10-2019,13:00:00,32.0,20.00,25.2,986.61,5.6,0.00,32.10,0.00,1006.15,200,68
48353,LOEI,เลย,เลย,17.45000,101.73333,09-10-2019,13:00:00,33.2,17.00,23.6,977.68,3.7,0.00,29.09,0.00,1005.69,260,57
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,09-10-2019,13:00:00,30.7,15.00,24.3,987.00,3.7,0.00,30.29,0.00,1006.91,180,69
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,09-10-2019,13:00:00,28.2,12.00,24.0,985.91,7.4,4.40,29.85,0.00,1007.54,230,78
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,09-10-2019,13:00:00,28.6,15.00,24.1,987.54,5.6,1.60,30.07,0.01,1006.91,080,77
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,09-10-2019,13:00:00,28.6,12.00,24.0,990.53,3.7,0.01,29.79,0.00,1007.85,080,76
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,09-10-2019,13:00:00,{'@attributes': {'Unit': 'celcius'}},12.00,{'@attributes': {'Unit': 'celcius'}},980.57,5.6,0.00,{'@attributes': {'Unit': 'mb'}},0.00,{'@attributes': {'Unit': 'hPa'}},290,{'@attributes': {'Unit': '%'}}
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,09-10-2019,13:00:00,32.2,10.00,25.6,1002.75,9.3,0.00,32.82,0.00,1008.45,150,68
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,09-10-2019,13:00:00,31.0,12.00,24.6,1001.71,5.6,0.00,30.90,0.00,1007.83,190,69
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,09-10-2019,13:00:00,30.5,12.00,23.2,991.74,9.3,0.00,28.50,0.00,1008.00,180,65
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,09-10-2019,13:00:00,26.5,10.00,24.3,985.46,5.6,17.70,30.43,1.00,1007.83,270,88
48376,TAK,ตาก,ตาก,16.87833,99.14333,09-10-2019,13:00:00,30.5,10.00,23.4,994.45,13.0,2.00,28.78,0.00,1008.69,270,66
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,09-10-2019,13:00:00,30.5,7.00,23.6,991.32,5.6,0.00,29.06,0.00,1007.52,120,67
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,09-10-2019,13:00:00,31.7,10.00,24.6,1002.92,5.6,0.00,30.90,0.00,1008.07,200,66
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,09-10-2019,13:00:00,32.0,12.00,24.5,993.85,7.4,0.00,30.65,0.00,1006.83,240,64
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,09-10-2019,13:00:00,31.5,10.00,23.6,998.89,1.9,0.00,29.07,0.00,1008.09,020,63
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,09-10-2019,13:00:00,29.0,10.00,24.6,985.61,11.1,0.90,30.85,0.00,1007.15,210,77
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,09-10-2019,13:00:00,29.8,10.00,25.9,990.27,0.0,26.60,33.33,2.80,1007.62,000,79
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,09-10-2019,13:00:00,29.5,12.00,24.2,990.72,13.0,7.70,30.16,0.00,1006.41,230,73
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,09-10-2019,13:00:00,29.8,10.00,24.0,987.59,7.4,0.01,29.91,0.01,1006.28,200,71
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,09-10-2019,13:00:00,27.0,10.00,22.6,958.42,0.0,0.00,27.36,0.00,1009.56,000,77
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,09-10-2019,13:00:00,31.0,8.00,24.4,1003.81,1.9,0.00,30.61,0.00,1007.72,180,68
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,09-10-2019,13:00:00,22.0,.60,21.2,913.93,11.1,1.30,25.21,0.60,1009.06,240,95
