WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,WindDirection,WindSpeed,RelativeHumidity,MinimumTemperature,LandVisibility,DewPoint,MeanSeaLevelPressure,Rainfall,StationPressure,Rainfall24Hr,VaporPressure,AirTemperature
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,09-18-2019,07:00:00,000,0.0,88,25.3,8.00,24.3,1010.40,3.40,993.93,3.40,30.43,26.5
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,09-18-2019,07:00:00,040,3.7,97,24.5,10.00,25.4,1010.46,0.00,1005.20,15.80,32.48,26.0
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,09-18-2019,07:00:00,000,0.0,96,24.0,10.00,23.8,1008.87,0.00,995.54,5.20,29.41,24.5
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,09-18-2019,07:00:00,000,0.0,94,25.4,10.00,25.0,1009.66,0.50,1000.28,7.20,31.65,26.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,09-18-2019,07:00:00,000,0.0,91,25.0,7.00,24.5,1010.58,0.00,988.76,0.01,30.76,26.1
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,09-18-2019,07:00:00,000,0.0,88,25.0,12.00,23.3,1009.49,0.00,991.86,0.00,28.59,25.5
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,09-18-2019,07:00:00,000,0.0,87,25.0,10.00,23.8,1009.07,0.00,993.16,0.00,29.41,26.1
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,09-18-2019,07:00:00,000,0.0,97,24.9,8.00,25.2,1008.93,0.00,989.92,14.80,31.98,25.6
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,09-18-2019,07:00:00,000,0.0,92,20.8,7.00,20.3,1010.68,0.00,958.60,0.00,23.81,21.7
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,09-18-2019,07:00:00,030,7.4,95,25.1,5.00,25.7,1009.69,0.00,1005.72,0.10,33.10,26.6
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,09-18-2019,07:00:00,240,5.6,95,19.8,.30,21.3,1010.66,0.00,915.41,0.00,25.37,22.1
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,09-18-2019,07:00:00,000,0.0,96,25.2,8.00,25.0,1009.07,0.00,992.98,0.00,31.63,25.7
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,09-18-2019,07:00:00,000,0.0,97,24.6,5.00,24.9,1009.34,1.10,1005.27,6.30,31.41,25.3
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,09-18-2019,07:00:00,000,0.0,96,25.0,9.00,24.8,1010.46,0.00,999.70,2.30,31.25,25.5
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,09-18-2019,07:00:00,150,1.9,92,26.0,10.00,25.1,1010.05,0.00,1008.11,0.70,31.79,26.5
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,09-18-2019,07:00:00,000,0.0,90,25.6,10.00,24.5,1009.38,0.00,988.42,0.00,30.67,26.2
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,09-18-2019,07:00:00,000,0.0,89,25.0,8.00,24.6,1009.13,0.00,991.40,0.00,30.97,26.5
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,09-18-2019,07:00:00,000,0.0,89,25.6,10.00,24.5,1008.59,0.00,992.38,0.00,30.78,26.4
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,09-18-2019,07:00:00,000,0.0,89,25.2,10.00,24.5,1008.82,0.00,994.73,0.00,30.70,26.5
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,09-18-2019,07:00:00,000,0.0,96,24.6,9.00,25.1,1009.36,0.00,994.44,0.00,31.82,25.8
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,09-18-2019,07:00:00,000,0.0,92,25.5,7.00,25.1,1009.83,0.00,995.10,0.00,31.79,26.5
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,09-18-2019,07:00:00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.0,95,24.8,6.00,24.9,1009.25,0.00,1006.21,29.40,31.55,25.8
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,09-18-2019,07:00:00,000,0.0,94,24.8,10.00,24.4,1009.66,0.00,1001.65,5.50,30.52,25.4
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,09-18-2019,07:00:00,090,5.6,93,25.3,7.00,24.8,1008.81,0.00,1007.70,0.80,31.38,26.0
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,09-18-2019,07:00:00,000,0.0,94,25.3,8.00,25.2,1009.46,0.00,994.70,0.00,32.04,26.2
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,09-18-2019,07:00:00,060,7.4,95,18.4,8.00,18.9,1010.52,0.00,875.15,30.60,21.82,19.7
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,09-18-2019,07:00:00,000,0.0,97,24.5,3.00,25.4,1009.43,0.00,1003.51,5.30,32.37,25.8
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,09-18-2019,07:00:00,000,0.0,96,24.5,9.00,24.8,1009.72,0.00,1008.91,2.70,31.25,25.5
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,09-18-2019,07:00:00,000,0.0,89,26.4,8.00,24.9,1008.84,0.00,1008.39,1.20,31.46,26.9
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,09-18-2019,07:00:00,000,0.0,96,24.3,5.00,24.3,1010.45,0.00,999.04,1.00,30.32,25.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,09-18-2019,07:00:00,000,0.0,88,25.5,10.00,24.4,1009.67,0.00,1008.65,0.00,30.62,26.6
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,09-18-2019,07:00:00,000,0.0,92,25.0,8.00,24.6,1009.74,0.00,1007.90,0.50,30.84,26.0
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,09-18-2019,07:00:00,000,0.0,94,25.0,8.00,25.1,1009.33,0.00,1008.57,0.00,31.85,26.1
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,09-18-2019,07:00:00,040,3.7,85,24.8,7.00,23.3,1009.43,0.00,1008.72,18.40,28.62,26.1
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,09-18-2019,07:00:00,000,0.0,93,25.0,7.00,24.4,1008.96,0.00,1008.25,0.30,30.54,25.7
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,09-18-2019,07:00:00,000,0.0,90,25.2,10.00,24.3,1009.55,0.00,988.27,0.00,30.30,26.0
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,09-18-2019,07:00:00,000,0.0,94,24.1,8.00,25.0,1009.28,0.00,992.47,0.00,31.65,26.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,09-18-2019,07:00:00,360,3.7,94,24.0,9.00,25.3,1009.65,0.00,993.14,0.00,32.23,26.3
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,09-18-2019,07:00:00,000,0.0,92,24.4,8.00,23.5,1008.85,0.00,986.81,0.20,29.00,25.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,09-18-2019,07:00:00,000,0.0,97,21.5,8.00,22.3,1010.13,0.00,966.16,0.50,26.99,22.8
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,09-18-2019,07:00:00,000,0.0,92,24.0,10.00,24.1,1009.33,0.00,988.62,0.00,29.99,25.4
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,09-18-2019,07:00:00,000,0.0,100,24.5,5.00,26.4,1008.96,0.00,988.06,0.00,34.40,26.4
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,09-18-2019,07:00:00,030,7.4,89,25.6,10.00,24.6,1008.96,0.00,1008.53,1.10,30.97,26.5
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,09-18-2019,07:00:00,000,0.0,98,24.4,6.00,24.4,1008.89,0.00,1007.46,0.30,30.56,24.7
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,09-18-2019,07:00:00,000,0.0,98,25.0,7.00,24.9,1008.90,0.00,1003.93,24.10,31.49,25.2
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,09-18-2019,07:00:00,000,0.0,81,24.7,12.00,23.5,1008.96,0.00,1005.66,0.00,28.94,27.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,09-18-2019,07:00:00,000,0.0,97,24.5,10.00,25.1,1009.41,0.00,1008.30,0.30,31.79,25.5
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,09-18-2019,07:00:00,100,5.6,93,24.8,8.00,24.5,1009.10,0.00,1008.80,2.70,30.73,25.8
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,09-18-2019,07:00:00,000,0.0,94,25.1,8.00,25.0,1009.18,3.70,1008.49,3.70,31.65,26.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,09-18-2019,07:00:00,000,0.0,97,24.7,10.00,24.5,1009.39,0.00,1008.90,6.40,30.77,25.1
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,09-18-2019,07:00:00,000,0.0,90,25.0,10.00,24.6,1009.49,0.00,1008.07,0.60,30.86,26.3
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,09-18-2019,07:00:00,350,9.3,94,26.8,8.00,26.4,1009.24,1.00,1007.56,1.00,34.36,27.5
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,09-18-2019,07:00:00,000,0.0,98,24.5,6.00,24.5,1011.03,0.00,1002.93,1.00,30.75,24.8
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,09-18-2019,07:00:00,000,0.0,95,25.9,6.00,25.7,1008.90,0.00,1008.61,1.00,33.10,26.6
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,09-18-2019,07:00:00,000,0.0,78,26.5,10.00,24.2,1008.35,0.00,1005.23,0.00,30.15,28.5
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,09-18-2019,07:00:00,000,0.0,93,25.5,10.00,25.1,1008.80,0.00,1001.83,33.70,31.96,26.3
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,09-18-2019,07:00:00,000,0.0,97,25.0,10.00,24.9,1009.47,0.00,1003.82,44.20,31.41,25.3
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,09-18-2019,07:00:00,000,0.0,94,26.1,9.00,25.9,1010.90,0.00,1001.56,12.50,33.34,27.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,09-18-2019,07:00:00,320,7.4,89,25.4,14.00,24.1,1009.91,0.00,1008.64,0.20,30.03,26.0
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,09-18-2019,07:00:00,330,3.7,88,25.5,11.00,24.3,1009.08,0.00,1008.65,0.00,30.43,26.5
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,09-18-2019,07:00:00,000,0.0,93,23.1,10.00,22.7,1009.49,0.00,997.08,0.00,27.59,23.9
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,09-18-2019,07:00:00,280,5.6,86,25.3,10.00,23.5,1009.03,0.00,1008.31,0.00,28.97,26.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,09-18-2019,07:00:00,350,5.6,94,25.6,10.00,25.3,1008.92,0.00,1006.48,9.50,32.23,26.3
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,09-18-2019,07:00:00,000,0.0,90,26.5,10.00,25.5,1009.27,0.01,1008.75,1.00,32.61,27.2
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,09-18-2019,07:00:00,000,0.0,94,25.6,11.00,24.8,1008.88,0.00,1003.69,27.10,31.27,25.8
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,09-18-2019,07:00:00,000,0.0,97,24.9,7.00,24.8,1009.01,0.00,1008.60,4.80,31.33,25.4
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,09-18-2019,07:00:00,000,0.0,97,24.7,8.00,24.8,1009.24,0.00,1006.44,9.20,31.22,25.2
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,09-18-2019,07:00:00,270,11.1,79,25.5,10.00,22.7,1009.31,0.00,1008.52,0.01,27.60,26.7
48501,TRAD,ตราด,ตราด,11.76667,102.88333,09-18-2019,07:00:00,120,3.7,96,23.9,7.00,24.0,1009.18,0.00,1008.72,29.70,29.77,24.7
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,09-18-2019,07:00:00,000,0.0,97,24.5,7.00,24.3,1009.98,0.00,1009.30,7.90,30.40,24.9
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,09-18-2019,07:00:00,000,0.0,93,24.4,8.00,23.2,1008.15,0.00,1006.61,7.00,28.45,24.4
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,09-18-2019,07:00:00,190,5.6,93,24.0,10.00,23.2,1010.74,11.20,1009.81,58.40,28.45,24.4
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,09-18-2019,07:00:00,000,0.0,87,24.0,10.00,24.2,1010.22,0.00,1009.53,4.40,30.16,26.5
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,09-18-2019,07:00:00,000,0.0,97,23.5,8.00,23.3,1010.83,0.00,1010.02,5.70,28.61,23.9
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,09-18-2019,07:00:00,000,0.0,96,24.2,8.00,24.3,1010.21,0.00,1009.57,0.00,30.32,25.0
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,09-18-2019,07:00:00,000,0.0,94,24.3,8.00,23.7,1010.49,0.01,1010.08,17.40,29.25,24.7
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,09-18-2019,07:00:00,000,0.0,99,23.3,6.00,23.9,1011.92,0.00,1007.65,3.40,29.74,24.1
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,09-18-2019,07:00:00,000,0.0,98,23.0,12.00,23.4,1010.84,0.00,1009.21,8.40,28.77,23.7
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,09-18-2019,07:00:00,000,0.0,97,23.7,8.00,23.4,1010.90,0.00,1007.38,2.20,28.78,24.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,09-18-2019,07:00:00,300,3.7,88,25.5,7.00,23.5,1010.15,0.00,1008.78,0.00,29.03,25.6
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,09-18-2019,07:00:00,000,0.0,98,23.8,8.00,23.9,1010.35,14.70,1009.45,15.10,29.66,24.2
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,09-18-2019,07:00:00,000,0.0,95,23.0,10.00,23.2,1010.78,0.00,1007.18,0.60,28.44,24.1
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,09-18-2019,07:00:00,000,0.0,93,24.8,8.00,23.8,1010.52,4.60,1010.08,5.20,29.52,25.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,09-18-2019,07:00:00,280,5.6,94,22.9,3.00,25.2,1010.34,8.50,1009.34,36.20,32.04,26.2
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,09-18-2019,07:00:00,000,0.0,93,24.6,10.00,24.3,1010.77,0.40,1009.95,15.40,30.44,25.5
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,09-18-2019,07:00:00,000,0.0,92,24.4,8.00,23.4,1010.83,0.00,1009.00,0.00,28.72,24.7
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,09-18-2019,07:00:00,000,0.0,79,26.0,10.00,22.8,1010.42,0.00,1009.66,0.70,27.78,26.8
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,09-18-2019,07:00:00,990,3.7,95,23.7,9.00,24.2,1010.57,0.00,1006.54,0.01,30.23,25.1
48570,SATUN,สตูล,สตูล,6.65000,100.08333,09-18-2019,07:00:00,000,0.0,92,23.0,7.00,23.4,1010.30,0.00,1009.61,2.30,28.72,24.7
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,09-18-2019,07:00:00,000,0.0,93,24.2,10.00,23.8,1010.56,0.00,1009.44,6.80,29.52,25.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,09-18-2019,07:00:00,000,0.0,98,23.1,10.00,24.7,1010.66,0.00,1007.71,0.00,31.12,25.0
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,09-18-2019,07:00:00,000,0.0,95,25.2,6.00,24.6,1009.80,0.00,1009.10,0.00,30.98,25.5
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,09-18-2019,07:00:00,000,0.0,94,24.4,4.00,23.8,1011.11,0.00,1006.94,0.00,29.42,24.8
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,09-18-2019,07:00:00,000,0.0,90,.0,8.00,23.2,1009.71,0.00,1009.11,0.00,28.48,25.0
