WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,WindDirection,WindSpeed,RelativeHumidity,MinimumTemperature,LandVisibility,DewPoint,MeanSeaLevelPressure,Rainfall,StationPressure,Rainfall24Hr,VaporPressure,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,09-18-2019,07:00:00,020,3.7,95,23.2,7.00,24.2,1010.68,0.00,979.56,0.00,30.23,25.1
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,09-18-2019,07:00:00,160,3.7,98,18.5,6.00,18.4,1009.79,5.30,848.03,5.30,21.11,18.7
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,09-18-2019,07:00:00,170,5.6,88,24.7,12.00,23.0,1010.93,0.00,967.08,0.00,28.06,25.2
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,09-18-2019,07:00:00,000,0.0,92,22.0,15.00,22.9,1010.87,0.00,964.96,0.00,27.85,24.2
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,09-18-2019,07:00:00,000,0.0,100,22.2,10.00,22.8,1012.00,0.00,973.82,7.90,27.74,22.8
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,09-18-2019,07:00:00,000,0.0,92,24.0,12.00,23.2,1011.07,0.00,965.67,0.00,28.47,24.7
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,09-18-2019,07:00:00,000,0.0,95,22.9,8.00,22.4,1011.87,0.00,984.77,4.60,27.08,23.3
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,09-18-2019,07:00:00,000,0.0,93,24.4,10.00,23.4,1010.25,0.00,988.30,0.00,28.81,24.6
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,09-18-2019,07:00:00,000,0.0,95,23.2,6.00,24.3,1010.90,0.00,986.62,0.00,30.42,25.2
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,09-18-2019,07:00:00,350,3.7,86,23.4,10.00,21.8,1010.96,0.80,976.13,2.20,26.17,24.4
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,09-18-2019,07:00:00,000,0.0,95,23.2,10.00,23.2,1011.63,0.00,983.78,1.00,28.44,24.1
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,09-18-2019,07:00:00,000,0.0,97,23.1,10.00,23.0,1011.19,1.90,977.20,23.60,28.17,23.5
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,09-18-2019,07:00:00,000,0.0,94,24.2,10.00,23.7,1010.44,0.00,991.76,0.00,29.25,24.7
48331,NAN,น่าน,น่าน,18.77972,100.77778,09-18-2019,07:00:00,000,0.0,91,23.0,10.00,22.5,1011.35,0.00,988.24,9.00,27.25,24.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,09-18-2019,07:00:00,010,3.7,95,22.2,9.00,21.7,1011.68,0.00,981.28,31.90,26.01,22.5
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,09-18-2019,07:00:00,000,0.0,98,22.8,4.00,22.7,1011.12,0.00,975.10,18.60,27.57,23.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,09-18-2019,07:00:00,000,0.0,98,22.8,6.00,22.9,1010.17,2.90,980.05,2.90,27.91,23.2
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,09-18-2019,07:00:00,000,0.0,84,26.0,10.00,23.1,1009.81,0.00,1002.47,0.00,28.18,26.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,09-18-2019,07:00:00,000,0.0,88,27.7,6.00,26.4,1009.96,0.00,990.12,0.00,34.40,28.5
48353,LOEI,เลย,เลย,17.45000,101.73333,09-18-2019,07:00:00,000,0.0,92,23.0,7.00,22.1,1010.66,2.80,981.61,2.80,26.66,23.5
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,09-18-2019,07:00:00,320,1.9,91,25.4,6.00,25.2,1009.88,0.00,989.65,0.00,32.10,26.8
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,09-18-2019,07:00:00,000,0.0,92,24.1,10.00,23.4,1010.26,0.00,988.32,0.00,28.72,24.7
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,09-18-2019,07:00:00,230,1.9,90,24.8,10.00,23.8,1009.43,0.00,989.82,0.00,29.56,25.6
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,09-18-2019,07:00:00,000,0.0,88,25.5,11.00,24.3,1009.99,0.00,993.18,0.00,30.43,26.5
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,09-18-2019,07:00:00,000,0.0,96,23.0,8.00,24.3,1010.13,0.00,992.56,0.00,30.32,25.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,09-18-2019,07:00:00,270,3.7,95,24.7,9.00,24.5,1009.00,0.00,983.05,0.00,30.79,25.4
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,09-18-2019,07:00:00,090,3.7,93,25.0,10.00,25.4,1009.51,0.00,1003.70,0.00,32.46,26.7
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,09-18-2019,07:00:00,000,0.0,96,25.3,12.00,24.8,1010.02,0.00,1003.78,0.00,31.25,25.5
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,09-18-2019,07:00:00,000,0.0,93,24.4,8.00,24.1,1010.69,0.00,994.11,0.00,30.07,25.3
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,09-18-2019,07:00:00,000,0.0,88,25.3,10.00,23.8,1008.61,0.00,986.18,0.00,29.50,26.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,09-18-2019,07:00:00,000,0.0,92,25.4,6.00,24.6,1010.52,0.00,996.04,0.00,30.84,26.0
