WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,WindSpeed,RelativeHumidity,StationPressure,VaporPressure,MeanSeaLevelPressure,LandVisibility,Rainfall,DewPoint,WindDirection,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,3.20,10-07-2019,13:00:00,0.0,71,980.17,29.24,1010.84,15.00,0.00,23.7,000,29.6
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,10-07-2019,13:00:00,11.1,92,850.72,24.89,1010.83,8.00,0.00,21.0,200,22.4
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,10-07-2019,13:00:00,5.6,52,967.92,25.02,1010.79,10.00,0.00,21.1,070,32.1
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,10-07-2019,13:00:00,0.0,61,966.25,26.79,1011.23,15.00,0.00,22.2,000,30.6
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.01,10-07-2019,13:00:00,0.0,58,974.57,27.55,1011.61,12.00,0.00,22.7,000,32.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,2.50,10-07-2019,13:00:00,9.3,62,961.23,27.14,1005.54,9.00,0.00,22.4,030,30.5
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,3.00,10-07-2019,13:00:00,5.6,54,985.11,25.91,1011.44,10.00,0.00,21.7,080,32.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,2.90,10-07-2019,13:00:00,7.4,59,989.51,27.71,1010.96,10.00,0.00,22.8,320,31.8
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.90,10-07-2019,13:00:00,0.0,59,985.49,27.13,1009.24,10.00,0.00,22.4,000,31.5
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,16.50,10-07-2019,13:00:00,3.7,53,977.27,24.81,1011.29,12.00,0.00,21.0,200,31.7
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,10-07-2019,13:00:00,0.0,64,984.35,30.04,1011.52,10.00,0.00,24.1,000,31.7
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,10-07-2019,13:00:00,0.0,59,978.24,26.65,1011.41,10.00,0.00,22.1,000,31.1
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,10-07-2019,13:00:00,0.0,57,992.13,29.70,1010.27,8.00,0.00,23.9,000,33.5
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,10-07-2019,13:00:00,0.0,59,988.54,28.02,1011.03,10.00,0.00,23.0,000,32.1
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,10-07-2019,13:00:00,5.6,60,981.51,28.46,1010.97,12.00,0.00,23.2,270,31.9
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,10-07-2019,13:00:00,0.0,61,976.10,27.27,1011.19,8.00,0.00,22.5,000,31.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,10-07-2019,13:00:00,0.0,53,980.64,25.58,1009.85,15.00,0.00,21.5,000,32.4
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,10-07-2019,13:00:00,0.0,48,1003.36,25.63,1010.52,10.00,0.00,21.5,000,34.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,5.80,10-07-2019,13:00:00,9.3,52,990.88,26.67,1010.42,9.00,0.00,22.1,120,33.4
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,10-07-2019,13:00:00,7.4,49,981.80,23.97,1009.99,14.00,0.00,20.4,350,32.4
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,10-07-2019,13:00:00,5.6,50,991.46,24.52,1011.33,15.00,0.00,20.8,050,32.7
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1.20,10-07-2019,13:00:00,5.6,54,988.85,25.74,1010.26,12.00,0.00,21.6,080,32.2
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.01,10-07-2019,13:00:00,5.6,50,990.92,24.42,1010.11,15.00,0.00,20.7,360,32.5
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,9.00,10-07-2019,13:00:00,1.9,51,993.59,27.01,1009.99,12.00,0.00,22.4,230,34.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,10-07-2019,13:00:00,3.7,53,993.44,26.45,1010.56,10.00,0.00,22.0,180,33.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,10-07-2019,13:00:00,7.4,49,984.61,23.61,1010.01,{'@attributes': {'Unit': 'km'}},0.00,20.2,090,32.2
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,10-07-2019,13:00:00,3.7,62,1004.34,31.28,1010.03,8.00,0.00,24.8,230,33.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,10-07-2019,13:00:00,0.0,53,1004.23,28.43,1010.29,12.00,0.00,23.2,000,34.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,10-07-2019,13:00:00,0.0,45,993.82,24.67,1009.90,12.00,0.00,20.9,000,34.5
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,10-07-2019,13:00:00,13.0,51,986.06,25.90,1007.96,12.00,0.00,21.7,090,33.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,10-07-2019,13:00:00,7.4,59,996.71,29.01,1010.89,8.00,0.00,23.5,060,32.6
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,10-07-2019,13:00:00,9.3,55,993.96,26.86,1010.09,12.00,0.00,22.3,120,32.5
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,10-07-2019,13:00:00,7.4,51,1005.19,25.90,1010.33,12.00,0.00,21.7,250,33.0
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,10-07-2019,13:00:00,3.7,48,995.54,25.85,1008.44,12.00,0.00,21.6,340,34.4
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,8.90,10-07-2019,13:00:00,3.7,82,1002.67,27.13,1012.08,2.00,0.20,22.4,150,25.7
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,10-07-2019,13:00:00,7.4,51,988.81,25.33,1010.16,9.00,0.00,21.3,050,32.7
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,10-07-2019,13:00:00,0.0,60,993.04,28.66,1010.31,12.00,0.00,23.3,000,32.0
