WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,MeanSeaLevelPressure,WindSpeed,LandVisibility,StationPressure,Rainfall24Hr,DewPoint,Rainfall,WindDirection,RelativeHumidity,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,25.7,07-17-2019,04:00:00,1004.01,0.0,7.00,973.16,0.00,23.3,0.00,000,87,28.69
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,19.3,07-17-2019,04:00:00,1002.48,1.9,8.00,842.18,17.70,17.7,0.00,250,90,20.19
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,25.9,07-17-2019,04:00:00,1002.63,0.0,10.00,959.24,0.00,23.7,0.00,000,88,29.31
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,25.5,07-17-2019,04:00:00,1002.92,0.0,15.00,957.56,0.00,24.0,0.00,000,92,29.91
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,24.7,07-17-2019,04:00:00,1003.07,0.0,6.00,965.46,0.00,24.3,0.00,000,97,30.30
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,26.2,07-17-2019,04:00:00,1002.77,3.7,7.00,957.97,2.00,23.7,0.00,080,86,29.33
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,25.5,07-17-2019,04:00:00,1003.62,0.0,8.00,976.93,0.00,24.0,0.00,000,92,29.91
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,25.6,07-17-2019,04:00:00,1003.49,3.7,13.00,981.75,0.00,21.9,0.00,220,80,26.19
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,25.0,07-17-2019,04:00:00,1004.54,0.0,6.00,980.39,1.00,23.7,0.00,000,92,29.26
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,26.8,07-17-2019,04:00:00,1003.22,0.0,10.00,968.93,0.00,21.9,0.00,000,74,26.23
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,26.6,07-17-2019,04:00:00,1004.24,0.0,10.00,976.82,0.00,22.8,0.00,000,80,27.69
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,25.6,07-17-2019,04:00:00,1003.16,0.0,10.00,969.67,0.70,23.2,0.00,000,87,28.51
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,26.2,07-17-2019,04:00:00,1002.64,0.0,12.00,984.20,0.00,23.6,0.00,000,85,29.07
48331,NAN,น่าน,น่าน,18.77972,100.77778,26.8,07-17-2019,04:00:00,1002.70,0.0,10.00,980.00,0.00,24.2,0.00,000,86,30.18
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,25.0,07-17-2019,04:00:00,1003.40,0.0,7.00,973.50,0.00,23.8,0.00,000,93,29.52
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,25.6,07-17-2019,04:00:00,1003.15,0.0,7.00,967.72,0.00,22.9,0.00,000,85,27.99
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,24.2,07-17-2019,04:00:00,1002.47,0.0,10.00,972.69,3.80,23.9,0.00,000,98,29.66
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,27.2,07-17-2019,04:00:00,1002.93,0.0,8.00,995.66,0.00,24.0,0.00,000,83,29.85
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,26.7,07-17-2019,04:00:00,1002.60,5.6,11.00,982.78,1.80,25.4,1.80,200,93,32.46
48353,LOEI,เลย,เลย,17.45000,101.73333,25.1,07-17-2019,04:00:00,1003.31,0.0,10.00,974.62,11.60,23.9,0.20,000,93,29.70
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,26.5,07-17-2019,04:00:00,1002.88,3.7,10.00,982.78,0.00,24.6,0.00,290,89,30.97
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,27.5,07-17-2019,04:00:00,1003.21,0.0,12.00,981.62,0.00,24.0,0.00,000,81,29.88
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,27.5,07-17-2019,04:00:00,1002.28,0.0,10.00,982.93,0.00,24.6,0.00,000,84,30.97
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,28.3,07-17-2019,04:00:00,1003.77,0.0,10.00,987.16,0.00,25.0,0.00,000,82,31.70
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,27.5,07-17-2019,04:00:00,1003.38,0.0,10.00,986.07,0.00,26.5,0.00,000,94,34.64
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,25.3,07-17-2019,04:00:00,1001.30,5.6,10.00,975.55,10.60,23.7,10.10,190,91,29.28
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,27.9,07-17-2019,04:00:00,1002.38,7.4,10.00,996.64,0.00,22.9,0.00,290,74,27.93
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,27.2,07-17-2019,04:00:00,1002.07,11.1,10.00,995.92,1.00,24.9,0.00,260,87,31.49
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,27.0,07-17-2019,04:00:00,1003.35,0.0,8.00,986.97,0.00,24.1,0.00,000,84,30.02
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,24.0,07-17-2019,04:00:00,1003.01,0.0,10.00,980.56,8.50,23.3,0.00,000,96,28.53
48376,TAK,ตาก,ตาก,16.87833,99.14333,27.7,07-17-2019,04:00:00,1003.46,5.6,7.00,989.16,1.00,22.2,0.00,260,72,26.78
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,27.0,07-17-2019,04:00:00,1002.63,7.4,7.00,986.32,0.00,24.1,0.00,240,84,30.02
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,27.0,07-17-2019,04:00:00,1002.82,3.7,10.00,997.61,0.00,24.1,0.00,090,84,30.02
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,26.9,07-17-2019,04:00:00,1001.81,0.0,10.00,988.68,0.00,24.1,0.00,000,85,30.10
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,26.5,07-17-2019,04:00:00,1002.80,0.0,11.00,993.50,0.00,22.8,0.00,000,80,27.77
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,26.1,07-17-2019,04:00:00,1003.09,0.0,8.00,981.43,6.40,24.7,0.00,000,92,31.03
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,27.0,07-17-2019,04:00:00,1003.53,0.0,10.00,986.09,5.80,23.3,0.00,000,80,28.67
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,28.0,07-17-2019,04:00:00,1001.93,0.0,10.00,986.23,0.00,23.6,0.00,000,77,29.19
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,26.5,07-17-2019,04:00:00,1002.07,0.0,8.00,983.25,1.30,26.5,0.00,000,100,34.60
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,23.0,07-17-2019,04:00:00,1004.58,0.0,4.00,953.04,0.00,21.8,0.00,000,93,26.09
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,26.7,07-17-2019,04:00:00,1002.84,9.3,7.00,998.89,0.00,25.3,0.00,180,92,32.18
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,20.4,07-17-2019,04:00:00,1005.36,7.4,6.00,910.09,5.80,19.8,0.00,220,96,23.03
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,27.9,07-17-2019,04:00:00,1002.86,0.0,5.00,986.99,0.00,25.5,0.00,000,87,32.60
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,25.6,07-17-2019,04:00:00,1002.97,0.0,9.00,998.93,17.40,25.4,0.00,000,99,32.53
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,25.5,07-17-2019,04:00:00,1003.99,0.0,7.00,993.30,0.00,23.1,0.00,000,87,28.33
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,26.2,07-17-2019,04:00:00,1003.43,0.0,9.00,1001.50,0.00,23.7,0.00,000,86,29.33
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,28.2,07-17-2019,04:00:00,1002.72,3.7,10.00,982.03,0.00,22.8,0.00,250,72,27.69
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,27.0,07-17-2019,04:00:00,1002.68,0.0,10.00,985.09,0.00,24.7,0.00,000,87,31.11
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,28.2,07-17-2019,04:00:00,1002.39,5.6,10.00,986.37,0.00,25.2,0.00,190,84,32.07
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,28.7,07-17-2019,04:00:00,1003.38,9.3,10.00,989.47,0.00,23.6,0.00,200,74,29.16
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,27.0,07-17-2019,04:00:00,1004.30,0.0,10.00,989.51,0.00,23.5,0.00,000,81,28.94
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,28.0,07-17-2019,04:00:00,1004.66,0.0,7.00,990.07,0.00,24.6,0.00,000,82,30.84
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,26.3,07-17-2019,04:00:00,1002.82,0.0,10.00,999.80,3.70,25.0,0.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",93,31.68
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,27.3,07-17-2019,04:00:00,1003.17,0.0,7.00,995.26,0.00,23.5,0.00,000,80,28.96
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,27.5,07-17-2019,04:00:00,1004.33,7.4,6.00,1003.23,0.00,24.9,0.00,210,86,31.52
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,26.5,07-17-2019,04:00:00,1003.89,0.0,8.00,989.23,0.00,24.3,0.00,000,88,30.43
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,18.8,07-17-2019,04:00:00,1004.91,7.4,.05,869.91,2.80,18.6,0.00,220,99,21.46
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,27.5,07-17-2019,04:00:00,1003.38,0.0,10.00,997.53,0.00,25.4,0.00,000,88,32.36
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,27.8,07-17-2019,04:00:00,1003.76,7.4,8.00,1002.96,0.00,24.9,0.00,230,84,31.56
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,29.5,07-17-2019,04:00:00,1003.65,14.8,10.00,1003.21,0.00,23.6,0.00,230,70,29.05
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,24.5,07-17-2019,04:00:00,1005.32,0.0,4.00,993.94,0.00,23.6,0.00,000,95,29.15
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,26.9,07-17-2019,04:00:00,1003.65,9.3,10.00,1002.64,0.00,22.9,0.00,200,79,27.96
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,26.5,07-17-2019,04:00:00,1004.81,0.0,7.00,1002.99,0.00,23.6,0.00,000,84,29.08
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,26.7,07-17-2019,04:00:00,1003.41,0.0,8.00,1002.64,0.00,21.9,0.00,000,75,26.31
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,27.4,07-17-2019,04:00:00,1004.18,7.4,10.00,1003.48,0.00,22.8,0.00,240,76,27.82
