WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,MinimumTemperature,AirTemperature,WindSpeed,VaporPressure,MeanSeaLevelPressure,Rainfall,StationPressure,DewPoint,RelativeHumidity,Rainfall24Hr,WindDirection
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,8.00,09-03-2019,07:00:00,24.8,25.0,0.0,31.12,1005.84,0.00,999.62,24.7,98,8.60,000
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,10.00,09-03-2019,07:00:00,23.5,24.0,0.0,28.53,1006.77,0.00,990.17,23.3,96,16.80,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,7.00,09-03-2019,07:00:00,22.8,23.4,5.6,27.75,1006.41,1.90,983.84,22.8,96,26.90,190
48376,TAK,ตาก,ตาก,16.87833,99.14333,7.00,09-03-2019,07:00:00,23.8,26.2,3.7,28.01,1006.67,0.00,992.26,23.0,82,3.20,290
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,6.00,09-03-2019,07:00:00,24.0,24.4,0.0,29.49,1006.56,0.90,990.04,23.8,97,5.90,000
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10.00,09-03-2019,07:00:00,24.6,25.3,0.0,31.41,1006.19,0.00,1000.94,24.9,97,4.60,000
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,10.00,09-03-2019,07:00:00,24.0,24.8,0.0,29.69,1004.53,0.00,991.27,23.9,95,11.20,000
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,10.00,09-03-2019,07:00:00,25.3,25.7,0.0,31.36,1006.15,0.00,996.79,24.8,95,0.10,000
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,9.00,09-03-2019,07:00:00,23.7,24.0,3.7,28.78,1003.64,0.80,981.82,23.4,97,35.60,280
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,8.00,09-03-2019,07:00:00,23.5,25.5,22.2,29.91,1003.87,3.70,986.34,24.0,92,27.90,220
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,9.00,09-03-2019,07:00:00,23.4,24.5,0.0,29.41,1001.38,1.70,985.51,23.8,96,27.70,000
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,8.00,09-03-2019,07:00:00,24.0,24.6,0.0,29.33,1002.72,0.00,983.77,23.7,95,21.80,000
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,6.00,09-03-2019,07:00:00,21.8,22.5,0.0,25.52,1008.92,1.50,957.07,21.4,94,12.50,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,3.00,09-03-2019,07:00:00,24.8,25.7,0.0,31.36,1006.15,0.10,1002.18,24.8,95,25.50,000
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,.40,09-03-2019,07:00:00,19.1,20.4,9.3,23.26,1007.40,0.50,911.94,19.9,97,8.50,230
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,3.00,09-03-2019,07:00:00,24.0,24.7,0.0,30.83,1003.36,9.80,987.31,24.5,99,26.20,000
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,5.00,09-03-2019,07:00:00,24.7,25.3,0.0,31.41,1006.14,0.00,1002.08,24.9,97,6.90,000
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,8.00,09-03-2019,07:00:00,24.5,25.0,0.0,30.32,1007.57,0.00,996.82,24.3,96,12.30,000
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,6.00,09-03-2019,07:00:00,24.5,25.3,0.0,29.54,1006.96,0.00,1005.02,23.8,92,6.90,000
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,12.00,09-03-2019,07:00:00,23.7,24.8,9.3,27.36,1004.43,0.00,983.48,22.6,87,14.00,240
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,6.00,09-03-2019,07:00:00,23.7,24.0,0.0,28.53,1004.04,7.30,986.26,23.3,96,29.40,000
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,6.00,09-03-2019,07:00:00,23.9,24.0,9.3,29.82,1003.18,10.80,986.92,24.0,100,32.70,250
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,5.00,09-03-2019,07:00:00,23.4,23.6,16.7,28.09,1002.47,16.40,988.34,23.0,96,103.60,270
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,5.00,09-03-2019,07:00:00,23.0,23.5,0.0,28.17,1003.35,16.60,988.41,23.0,97,90.60,000
