WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MaximumTemperature,Date,Time,WindSpeed,Rainfall,DewPoint,AirTemperature,StationPressure,WindDirection,MeanSeaLevelPressure,Rainfall24Hr,RelativeHumidity,VaporPressure,LandVisibility
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,26.5,10-08-2019,19:00:00,5.6,0.00,20.5,22.0,916.33,070,1011.71,1.70,91,24.03,6.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,34.1,10-08-2019,19:00:00,0.0,0.00,25.8,29.0,994.57,000,1010.50,1.10,83,33.12,10.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,34.1,10-08-2019,19:00:00,3.7,30.00,23.4,24.0,1006.49,180,1010.58,36.60,97,28.78,5.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,33.2,10-08-2019,19:00:00,0.0,27.00,22.4,23.6,1001.69,000,1012.54,27.00,93,27.08,5.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,33.5,10-08-2019,19:00:00,3.7,0.00,22.5,25.6,1009.44,300,1011.38,0.00,83,27.21,6.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,34.7,10-08-2019,19:00:00,0.0,0.00,23.6,30.0,989.95,000,1010.68,0.00,69,29.19,10.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,32.6,10-08-2019,19:00:00,0.0,0.00,26.1,29.2,993.08,000,1010.68,0.00,83,33.83,10.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,33.4,10-08-2019,19:00:00,0.0,0.00,24.3,30.3,994.05,000,1010.08,0.00,70,30.34,10.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,33.4,10-08-2019,19:00:00,0.0,0.00,24.1,30.3,996.56,000,1010.49,0.00,70,30.06,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,34.0,10-08-2019,19:00:00,0.0,0.00,25.6,28.7,996.02,000,1010.82,0.00,83,32.79,10.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,32.5,10-08-2019,19:00:00,0.0,0.00,27.1,28.8,996.40,000,1011.04,0.00,91,35.92,8.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,33.3,10-08-2019,19:00:00,0.0,27.20,23.2,24.2,1008.19,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1011.25,27.50,94,28.36,5.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,33.8,10-08-2019,19:00:00,0.0,4.10,24.1,25.8,1003.05,000,1011.07,4.10,90,29.93,8.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,34.5,10-08-2019,19:00:00,0.0,1.20,24.5,26.1,1009.29,000,1010.40,2.60,91,30.76,6.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,32.2,10-08-2019,19:00:00,0.0,0.00,22.4,28.0,995.87,000,1010.56,0.00,72,27.06,8.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,25.9,10-08-2019,19:00:00,5.6,0.00,18.6,19.6,876.95,120,1012.65,11.20,94,21.46,8.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,34.0,10-08-2019,19:00:00,0.0,2.20,24.6,26.0,1005.12,000,1011.04,3.40,92,30.84,5.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,35.4,10-08-2019,19:00:00,7.4,0.00,25.1,28.5,1009.66,060,1010.46,1.00,82,31.82,9.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,33.5,10-08-2019,19:00:00,16.7,0.00,23.7,29.5,1009.36,120,1009.80,0.00,71,29.33,9.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,33.2,10-08-2019,19:00:00,0.0,0.00,24.9,26.2,999.62,000,1011.00,13.90,93,31.49,10.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,34.5,10-08-2019,19:00:00,3.7,0.00,22.7,28.0,1009.60,030,1010.61,0.00,73,27.59,10.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,33.9,10-08-2019,19:00:00,5.6,24.50,23.6,24.9,1009.64,030,1011.48,24.60,92,29.08,7.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,34.0,10-08-2019,19:00:00,0.0,0.00,22.9,28.5,1009.56,000,1010.33,0.00,72,27.97,8.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,33.4,10-08-2019,19:00:00,14.8,0.00,23.3,28.7,1009.40,050,1010.10,1.30,73,28.62,10.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,35.2,10-08-2019,19:00:00,3.7,0.00,23.3,28.8,1009.46,090,1010.16,0.30,72,28.54,8.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,32.8,10-08-2019,19:00:00,0.0,0.00,25.1,28.2,989.76,000,1010.91,0.01,83,31.79,8.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,32.4,10-08-2019,19:00:00,0.0,0.00,24.8,27.4,994.06,000,1010.81,0.00,86,31.33,8.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,33.2,10-08-2019,19:00:00,0.0,0.00,25.1,27.2,994.83,000,1011.32,0.00,88,31.77,8.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,32.7,10-08-2019,19:00:00,0.0,0.01,24.3,26.5,988.68,000,1010.65,0.01,88,30.43,10.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,30.6,10-08-2019,19:00:00,7.4,0.01,21.9,25.3,967.73,120,1011.40,0.01,81,26.19,6.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,33.4,10-08-2019,19:00:00,0.0,0.60,25.1,26.4,990.76,000,1011.45,0.60,93,31.88,10.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,31.8,10-08-2019,19:00:00,0.0,0.00,25.8,26.1,991.54,000,1012.53,0.40,98,33.23,9.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,32.9,10-08-2019,19:00:00,0.0,0.00,23.0,28.7,1009.52,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1009.95,13.50,71,28.08,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,34.0,10-08-2019,19:00:00,0.0,0.50,24.6,25.5,1009.01,000,1010.44,24.70,95,30.98,7.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,33.8,10-08-2019,19:00:00,0.0,0.00,24.0,26.0,1006.28,000,1011.26,0.00,89,29.76,7.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,34.0,10-08-2019,19:00:00,3.7,0.00,24.3,30.0,1006.88,010,1010.15,0.00,71,30.31,7.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,33.5,10-08-2019,19:00:00,3.7,0.00,25.0,30.0,1008.34,350,1009.43,0.00,75,31.72,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,33.8,10-08-2019,19:00:00,7.4,0.00,23.4,29.6,1009.78,060,1010.08,4.90,69,28.69,10.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,33.3,10-08-2019,19:00:00,0.0,0.00,23.7,29.5,1008.90,000,1009.58,20.40,71,29.33,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,35.4,10-08-2019,19:00:00,5.6,0.00,23.1,29.1,1009.66,110,1010.15,1.30,70,28.29,8.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,33.0,10-08-2019,19:00:00,16.7,0.00,24.6,28.6,1009.18,070,1010.59,1.60,79,30.90,10.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,32.8,10-08-2019,19:00:00,5.6,0.00,24.6,30.0,1008.48,030,1010.14,0.00,73,30.87,10.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,33.4,10-08-2019,19:00:00,0.0,0.00,24.1,27.0,1004.45,000,1012.50,9.90,84,30.02,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,34.8,10-08-2019,19:00:00,9.3,16.70,24.5,25.5,1010.93,180,1011.22,16.70,94,30.71,2.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,33.5,10-08-2019,19:00:00,0.0,77.00,23.3,25.5,1007.54,000,1010.70,77.00,88,28.59,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,31.5,10-08-2019,19:00:00,0.0,10.90,24.7,25.9,1003.20,000,1010.18,10.90,93,31.19,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,34.0,10-08-2019,19:00:00,0.0,0.00,23.6,27.0,1005.07,000,1010.69,0.00,82,29.21,10.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,32.8,10-08-2019,19:00:00,0.0,6.60,24.2,25.1,1001.77,000,1011.18,6.60,95,30.23,10.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,33.0,10-08-2019,19:00:00,0.0,0.00,23.4,28.5,1009.40,000,1010.66,14.30,74,28.78,8.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,33.5,10-08-2019,19:00:00,3.7,0.00,24.2,30.5,1009.36,150,1009.78,1.70,69,30.18,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,32.2,10-08-2019,19:00:00,0.0,0.00,23.9,27.4,998.44,000,1010.73,0.00,81,29.69,8.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,30.7,10-08-2019,19:00:00,0.0,0.00,24.8,29.1,1009.49,000,1010.20,0.00,78,31.33,7.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,33.8,10-08-2019,19:00:00,14.8,0.00,23.9,26.4,1008.90,030,1011.35,35.00,86,29.70,8.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,32.8,10-08-2019,19:00:00,3.7,0.00,22.8,26.6,1010.18,040,1010.70,0.00,80,27.69,10.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,33.2,10-08-2019,19:00:00,1.9,0.01,23.0,25.4,1005.38,010,1010.58,4.40,87,28.15,8.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,34.5,10-08-2019,19:00:00,5.6,0.00,23.9,27.4,1009.96,320,1010.38,0.80,81,29.69,7.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,32.9,10-08-2019,19:00:00,0.0,0.20,24.8,25.5,1007.88,000,1010.68,6.30,96,31.25,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,33.8,10-08-2019,19:00:00,0.0,0.00,25.1,29.1,1009.92,000,1010.70,0.20,79,31.89,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,32.5,10-08-2019,19:00:00,9.3,4.70,24.0,25.0,1009.95,040,1010.41,6.10,94,29.79,7.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,31.7,10-08-2019,19:00:00,3.7,0.00,24.9,28.9,1009.06,070,1009.74,10.90,79,31.49,8.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,33.0,10-08-2019,19:00:00,0.0,0.00,25.2,29.2,1008.22,000,1009.74,0.20,79,32.10,10.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,32.4,10-08-2019,19:00:00,0.0,0.00,24.8,27.0,1009.16,000,1010.07,0.10,88,31.38,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,31.3,10-08-2019,19:00:00,0.0,0.00,25.5,28.6,1009.32,000,1010.01,1.40,83,32.59,10.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,32.5,10-08-2019,19:00:00,0.0,0.00,24.8,28.5,1009.78,000,1010.57,0.00,80,31.26,10.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,32.3,10-08-2019,19:00:00,0.0,0.00,24.9,28.6,1009.42,000,1010.06,2.50,80,31.46,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,32.5,10-08-2019,19:00:00,0.0,0.00,25.5,27.8,1010.74,000,1011.15,0.00,88,32.68,10.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,31.0,10-08-2019,19:00:00,0.0,0.00,24.9,27.5,1007.22,000,1011.44,12.00,86,31.52,6.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,33.2,10-08-2019,19:00:00,0.0,0.60,23.6,24.8,1008.47,000,1010.10,0.80,93,29.16,8.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,34.7,10-08-2019,19:00:00,0.0,2.80,24.8,25.5,1006.59,000,1010.10,11.00,96,31.25,8.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,34.7,10-08-2019,19:00:00,3.7,0.00,24.5,29.5,1008.58,090,1009.92,0.00,75,30.72,10.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,32.5,10-08-2019,19:00:00,0.0,0.01,23.3,27.0,1009.06,000,1009.95,0.01,80,28.67,8.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,33.5,10-08-2019,19:00:00,0.0,2.20,24.3,25.3,1006.29,000,1009.87,2.60,94,30.34,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,34.0,10-08-2019,19:00:00,0.0,0.00,24.2,30.2,1009.14,000,1009.57,0.00,70,30.14,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,33.1,10-08-2019,19:00:00,0.0,0.00,25.3,29.7,1008.22,000,1009.21,3.30,77,32.26,9.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,33.5,10-08-2019,19:00:00,11.1,0.00,22.7,26.8,1008.54,070,1009.36,0.00,78,27.52,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,33.2,10-08-2019,19:00:00,0.0,0.00,24.5,26.2,1008.04,000,1009.86,0.00,90,30.67,10.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,31.7,10-08-2019,19:00:00,7.4,0.00,23.8,29.0,1009.42,010,1010.17,0.01,74,29.46,11.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,34.1,10-08-2019,19:00:00,3.7,0.00,24.2,28.4,1006.07,110,1010.06,0.00,78,30.23,10.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,33.5,10-08-2019,19:00:00,0.0,30.50,24.5,25.5,1010.16,000,1010.85,40.00,94,30.71,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,33.1,10-08-2019,19:00:00,0.0,0.00,24.3,28.8,1007.98,000,1009.09,0.00,77,30.46,10.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,34.4,10-08-2019,19:00:00,0.0,0.00,25.7,28.5,1006.86,000,1009.77,0.00,85,32.96,10.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,32.6,10-08-2019,19:00:00,0.0,0.00,25.2,27.5,1008.77,000,1009.46,28.30,87,32.08,8.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,33.5,10-08-2019,19:00:00,0.0,0.00,24.8,27.2,1006.47,000,1010.60,4.60,87,31.22,7.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,32.2,10-08-2019,19:00:00,9.3,0.00,23.6,29.0,1009.20,080,1009.78,0.00,73,29.19,10.00
