WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MaximumTemperature,Date,Time,WindSpeed,Rainfall,DewPoint,AirTemperature,StationPressure,WindDirection,MeanSeaLevelPressure,Rainfall24Hr,RelativeHumidity,VaporPressure,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,32.4,10-08-2019,19:00:00,5.6,0.00,23.1,27.1,978.17,150,1009.04,3.10,79,28.33,10.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,22.7,10-08-2019,19:00:00,14.8,0.00,16.3,19.0,848.55,140,1010.22,0.00,84,18.55,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,33.6,10-08-2019,19:00:00,9.3,0.00,20.4,29.5,966.18,360,1009.36,0.00,58,24.01,10.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,34.0,10-08-2019,19:00:00,0.0,0.00,23.6,28.0,964.56,000,1009.86,0.00,77,29.19,13.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,34.3,10-08-2019,19:00:00,0.0,0.00,23.3,26.5,973.20,000,1010.88,0.00,83,28.55,7.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,32.5,10-08-2019,19:00:00,0.0,0.00,24.2,27.5,965.67,000,1010.64,0.00,82,30.15,10.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,34.4,10-08-2019,19:00:00,0.0,0.00,23.6,25.9,984.19,000,1011.04,0.00,87,29.05,10.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,33.1,10-08-2019,19:00:00,0.0,0.00,25.0,27.9,989.17,000,1010.90,2.70,85,31.75,13.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,34.6,10-08-2019,19:00:00,0.0,0.00,22.2,27.8,986.63,000,1010.70,0.00,71,26.70,9.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,35.7,10-08-2019,19:00:00,0.0,0.00,21.2,28.5,975.95,000,1010.29,0.00,64,25.09,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,33.7,10-08-2019,19:00:00,0.0,0.00,23.6,27.5,983.13,000,1010.65,5.70,79,29.06,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,33.8,10-08-2019,19:00:00,0.0,0.00,22.7,27.1,976.82,000,1010.39,0.00,77,27.54,8.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,34.7,10-08-2019,19:00:00,0.0,0.00,24.7,29.1,991.33,000,1009.73,0.00,77,31.05,8.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,34.8,10-08-2019,19:00:00,0.0,0.00,21.9,28.0,987.40,000,1010.18,0.00,70,26.28,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,33.9,10-08-2019,19:00:00,0.0,0.00,22.3,25.9,980.59,000,1010.62,0.00,81,26.97,10.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,32.5,10-08-2019,19:00:00,0.0,0.00,23.6,27.2,975.44,000,1010.96,0.00,81,29.04,8.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,35.1,10-08-2019,19:00:00,0.0,0.00,23.8,27.6,980.87,000,1010.56,0.00,80,29.52,8.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,36.5,10-08-2019,19:00:00,0.0,0.00,22.6,31.8,1002.35,000,1009.55,0.00,58,27.43,9.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,34.8,10-08-2019,19:00:00,0.0,0.00,24.6,31.0,990.05,000,1009.72,0.00,69,30.90,8.00
48353,LOEI,เลย,เลย,17.45000,101.73333,34.5,10-08-2019,19:00:00,5.6,0.00,23.7,29.6,981.86,210,1010.33,0.00,71,29.24,9.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,33.8,10-08-2019,19:00:00,0.0,0.00,23.8,30.0,990.20,000,1010.22,0.00,69,29.47,12.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,34.4,10-08-2019,19:00:00,0.0,0.00,23.6,26.7,989.93,000,1011.76,0.00,83,29.19,10.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,33.8,10-08-2019,19:00:00,3.7,0.01,23.6,27.0,991.83,080,1011.39,0.01,82,29.21,12.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,33.1,10-08-2019,19:00:00,0.0,0.20,24.3,26.5,995.34,000,1012.19,10.60,88,30.43,11.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,32.7,10-08-2019,19:00:00,0.0,0.00,23.3,27.0,994.57,000,1012.05,7.50,80,28.67,10.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,34.1,10-08-2019,19:00:00,0.0,0.00,22.1,28.0,983.91,000,1009.65,0.00,70,26.54,10.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,33.5,10-08-2019,19:00:00,0.0,0.00,25.8,30.0,1004.69,000,1010.44,0.00,78,33.17,8.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,33.5,10-08-2019,19:00:00,0.0,0.00,25.2,29.5,1004.32,000,1010.48,0.00,78,32.13,8.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,35.2,10-08-2019,19:00:00,0.0,0.10,24.1,27.0,994.87,000,1011.38,0.10,84,30.02,10.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,33.8,10-08-2019,19:00:00,3.7,0.00,22.9,27.3,986.81,180,1009.15,0.00,77,27.90,10.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,32.4,10-08-2019,19:00:00,0.0,0.00,24.6,27.5,996.98,000,1011.40,0.60,84,30.97,10.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,34.0,10-08-2019,19:00:00,0.0,0.00,23.5,26.0,994.79,000,1011.30,3.10,86,28.97,7.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,33.5,10-08-2019,19:00:00,0.0,0.00,25.7,28.8,1005.86,000,1011.08,1.90,83,33.00,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,35.9,10-08-2019,19:00:00,0.0,0.70,24.7,27.1,996.38,000,1009.60,0.70,87,31.02,8.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,33.1,10-08-2019,19:00:00,0.0,0.00,26.2,29.3,1001.44,000,1010.73,4.70,84,34.03,11.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,34.0,10-08-2019,19:00:00,3.7,0.00,23.3,30.3,989.10,050,1010.62,0.00,66,28.67,8.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,34.0,10-08-2019,19:00:00,0.0,0.00,25.0,30.0,993.33,000,1010.72,0.00,75,31.72,10.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,34.3,10-08-2019,19:00:00,3.7,0.01,23.5,26.6,994.69,040,1010.60,0.70,83,29.00,10.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,34.0,10-08-2019,19:00:00,0.0,0.00,24.1,29.0,990.67,000,1009.47,0.00,75,30.01,8.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,31.3,10-08-2019,19:00:00,0.0,0.00,22.4,25.7,959.26,000,1010.66,0.00,82,27.13,8.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,34.6,10-08-2019,19:00:00,7.4,0.01,24.0,26.2,1006.35,100,1010.33,0.90,88,29.86,6.00
