WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,Rainfall24Hr,DewPoint,WindDirection,AirTemperature,Rainfall,WindSpeed,StationPressure,LandVisibility,VaporPressure,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1008.07,07-13-2019,04:00:00,22.20,24.0,000,25.0,0.00,0.0,977.02,6.00,29.79,94
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1005.54,07-13-2019,04:00:00,0.00,22.3,250,27.3,0.00,3.7,962.22,12.00,26.85,74
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1005.60,07-13-2019,04:00:00,0.00,23.4,000,26.2,0.00,0.0,960.23,12.00,28.80,85
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1006.45,07-13-2019,04:00:00,0.40,23.8,000,25.0,0.00,0.0,968.75,5.00,29.52,93
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1005.92,07-13-2019,04:00:00,0.00,24.1,000,27.0,0.00,0.0,961.09,10.00,30.02,84
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1006.57,07-13-2019,04:00:00,0.00,24.7,000,27.1,0.00,0.0,979.95,7.00,31.02,87
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1007.84,07-13-2019,04:00:00,0.00,21.3,000,25.2,0.00,0.0,985.98,10.00,25.27,79
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1009.61,07-13-2019,04:00:00,2.20,22.8,000,24.0,0.00,0.0,985.26,5.00,27.76,93
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1007.41,07-13-2019,04:00:00,0.00,22.6,000,27.0,0.00,0.0,973.00,10.00,27.36,77
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1007.40,07-13-2019,04:00:00,0.00,21.4,000,26.7,0.00,0.0,979.90,10.00,25.54,73
