WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,VaporPressure,Rainfall24Hr,WindSpeed,StationPressure,MeanSeaLevelPressure,WindDirection,DewPoint,LandVisibility,AirTemperature,RelativeHumidity
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,07-28-2019,16:00:00,26.45,0.00,11.1,957.05,1007.92,290,22.0,10.00,28.1,70
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,07-28-2019,16:00:00,29.46,0.01,0.0,1000.35,1004.20,000,23.8,15.00,34.5,54
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,07-28-2019,16:00:00,25.43,0.00,7.4,911.80,1005.82,260,21.4,8.00,24.7,82
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,07-28-2019,16:00:00,29.14,3.80,0.0,987.38,1002.86,000,23.6,10.00,35.6,50
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,07-28-2019,16:00:00,32.68,0.00,0.0,999.55,1003.46,000,25.5,12.00,35.3,57
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,07-28-2019,16:00:00,27.19,0.00,0.0,994.12,1004.47,000,22.5,10.00,35.5,47
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,07-28-2019,16:00:00,26.75,0.00,5.6,1002.51,1004.38,150,22.2,14.00,35.0,48
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,07-28-2019,16:00:00,22.77,0.00,13.0,982.35,1002.46,220,19.6,12.00,36.8,37
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,07-28-2019,16:00:00,26.19,0.00,7.4,985.61,1002.75,280,21.9,10.00,35.0,47
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,07-28-2019,16:00:00,28.18,0.00,0.0,986.72,1002.39,000,23.1,10.00,35.0,50
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,07-28-2019,16:00:00,28.92,2.30,7.4,989.94,1003.60,240,23.5,10.00,34.1,54
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.60,07-28-2019,16:00:00,31.77,1.40,0.0,990.10,1004.67,000,25.0,8.00,31.7,68
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,07-28-2019,16:00:00,27.61,0.00,11.1,990.66,1004.92,310,22.7,10.00,35.0,49
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,07-28-2019,16:00:00,28.34,0.00,0.0,1000.62,1003.55,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",23.2,10.00,35.5,49
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,07-28-2019,16:00:00,29.21,0.00,7.4,995.89,1003.61,190,23.7,10.00,34.8,53
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,07-28-2019,16:00:00,28.39,0.00,11.1,1003.45,1004.53,230,23.2,9.00,34.4,52
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,07-28-2019,16:00:00,23.37,0.00,0.0,988.82,1003.12,000,20.0,8.00,34.1,44
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,07-28-2019,16:00:00,25.04,0.00,0.0,870.73,1003.93,000,21.1,7.00,22.8,90
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,07-28-2019,16:00:00,28.22,0.00,0.0,997.84,1003.53,000,23.1,10.00,36.0,48
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,07-28-2019,16:00:00,27.48,0.00,0.0,1003.85,1004.62,000,22.6,12.00,36.2,46
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,07-28-2019,16:00:00,31.35,0.00,14.8,1004.45,1004.89,230,24.8,10.00,31.5,68
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,07-28-2019,16:00:00,27.20,0.00,5.6,995.05,1006.12,340,22.5,10.00,33.1,54
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,07-28-2019,16:00:00,29.61,0.00,0.0,1003.35,1004.33,000,23.9,12.00,36.1,50
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,07-28-2019,16:00:00,26.88,0.00,0.0,1002.83,1004.60,000,22.3,12.00,34.5,49
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,07-28-2019,16:00:00,27.17,0.00,0.0,1003.04,1003.78,000,22.5,9.00,34.5,50
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,07-28-2019,16:00:00,28.60,7.20,20.4,1004.22,1004.91,200,23.3,10.00,33.1,57
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,07-28-2019,16:00:00,34.42,23.00,3.7,1003.80,1004.49,240,26.4,10.00,34.3,64
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,07-28-2019,16:00:00,28.92,0.00,7.4,982.43,1002.80,270,23.5,12.00,37.3,45
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,07-28-2019,16:00:00,25.93,0.00,7.4,986.64,1002.80,220,21.7,12.00,36.0,44
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,07-28-2019,16:00:00,26.78,0.00,3.7,987.21,1003.10,240,22.2,12.00,36.0,45
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,07-28-2019,16:00:00,27.11,0.10,0.0,981.73,1002.89,000,22.4,10.00,35.6,47
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,07-28-2019,16:00:00,24.73,0.00,22.2,961.91,1004.59,250,20.9,15.00,30.2,58
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.01,07-28-2019,16:00:00,25.90,0.01,9.3,982.85,1002.93,200,21.7,11.00,33.0,51
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,07-28-2019,16:00:00,25.93,0.00,13.0,984.53,1004.70,250,21.7,10.00,36.0,44
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,07-28-2019,16:00:00,31.52,0.00,18.5,1004.15,1004.57,160,24.9,10.00,32.0,66
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,07-28-2019,16:00:00,32.16,17.80,0.0,1003.12,1004.51,000,25.3,11.00,33.0,64
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,07-28-2019,16:00:00,31.97,0.10,3.7,999.53,1004.34,180,25.2,9.00,33.6,61
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,07-28-2019,16:00:00,25.12,0.00,3.7,1001.43,1004.61,250,21.2,12.00,36.3,42
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,07-28-2019,16:00:00,30.12,0.00,9.3,1004.53,1004.82,210,24.2,10.00,33.7,58
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.00,07-28-2019,16:00:00,27.27,0.00,7.4,1004.53,1005.20,240,22.5,10.00,32.0,57
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,07-28-2019,16:00:00,31.16,0.00,5.6,1007.06,1007.54,240,24.7,10.00,33.5,60
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,07-28-2019,16:00:00,25.77,0.00,16.7,1003.18,1004.55,290,21.6,10.00,34.5,47
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,07-28-2019,16:00:00,32.22,0.01,11.1,1003.67,1005.33,180,25.3,10.00,30.8,73
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,07-28-2019,16:00:00,32.55,0.01,0.0,998.19,1006.13,000,25.5,10.00,29.0,81
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,07-28-2019,16:00:00,34.07,2.00,13.0,1004.36,1004.64,270,26.2,10.00,32.5,70
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,07-28-2019,16:00:00,30.48,0.00,0.0,1001.90,1004.97,000,24.4,12.00,32.2,63
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,07-28-2019,16:00:00,29.19,0.00,9.3,998.45,1005.27,210,23.6,10.00,31.7,62
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,07-28-2019,16:00:00,32.42,0.00,9.3,998.50,1003.94,240,25.4,8.00,34.5,59
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,07-28-2019,16:00:00,30.22,0.00,9.3,996.68,1005.74,270,24.2,12.00,35.0,54
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,07-28-2019,16:00:00,32.73,0.01,7.4,1004.33,1005.56,140,25.6,15.00,33.4,64
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,07-28-2019,16:00:00,33.33,0.00,14.8,1004.39,1004.81,150,25.9,11.00,33.4,65
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,07-28-2019,16:00:00,22.21,0.00,16.7,992.85,1004.71,360,19.2,9.00,36.5,36
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,07-28-2019,16:00:00,34.49,0.00,11.1,1004.57,1005.27,120,26.4,10.00,32.0,73
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,07-28-2019,16:00:00,29.08,0.00,11.1,1003.80,1006.18,170,23.6,10.00,33.9,55
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,07-28-2019,16:00:00,31.93,0.00,9.3,1005.01,1005.52,250,25.1,12.00,31.5,69
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,07-28-2019,16:00:00,28.46,0.00,3.7,1000.03,1005.09,210,23.2,11.00,31.9,60
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,07-28-2019,16:00:00,30.69,1.20,7.4,1005.05,1005.46,220,24.5,10.00,32.3,63
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,07-28-2019,16:00:00,33.88,2.70,0.0,1003.47,1006.19,000,26.1,8.00,32.0,71
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,07-28-2019,16:00:00,23.60,0.00,9.3,1004.57,1005.33,310,20.2,10.00,34.8,42
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.00,07-28-2019,16:00:00,32.59,5.30,3.7,1006.10,1006.56,270,25.5,8.00,30.0,77
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,07-28-2019,16:00:00,28.37,0.01,14.8,1006.28,1006.96,280,23.2,10.00,31.0,63
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,07-28-2019,16:00:00,30.14,0.60,7.4,1005.77,1007.28,270,24.2,10.00,30.2,70
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,07-28-2019,16:00:00,27.96,29.20,7.4,1006.35,1007.25,280,22.9,10.00,29.5,68
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,07-28-2019,16:00:00,31.44,0.00,5.6,1006.35,1007.03,270,24.9,12.00,32.8,63
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,07-28-2019,16:00:00,30.62,0.10,5.6,1006.20,1006.98,210,24.4,10.00,33.8,58
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,07-28-2019,16:00:00,28.30,19.00,5.6,1006.12,1006.74,120,23.1,10.00,32.1,59
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,07-28-2019,16:00:00,30.53,0.00,7.4,1006.09,1006.49,090,24.4,10.00,33.2,60
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,07-28-2019,16:00:00,28.78,0.00,5.6,1004.46,1008.60,260,23.4,8.00,32.2,60
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,4.20,07-28-2019,16:00:00,28.97,4.20,7.4,1006.14,1007.74,220,23.5,10.00,29.6,70
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,12.00,07-28-2019,16:00:00,30.30,12.00,0.0,1005.03,1008.52,000,24.3,10.00,26.0,90
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,07-28-2019,16:00:00,28.97,17.80,5.6,1007.10,1008.43,110,23.5,10.00,33.0,58
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,07-28-2019,16:00:00,31.31,1.60,7.4,1007.38,1008.26,240,24.8,10.00,30.5,72
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,3.40,07-28-2019,16:00:00,30.84,3.40,0.0,1004.81,1008.39,000,24.6,10.00,26.0,92
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,07-28-2019,16:00:00,29.66,0.00,0.0,1007.45,1007.87,000,23.9,10.00,32.5,61
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,07-28-2019,16:00:00,34.06,0.01,5.6,1006.82,1007.80,210,26.2,10.00,30.7,77
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,07-28-2019,16:00:00,29.63,0.00,14.8,1007.37,1008.17,210,23.9,10.00,32.2,62
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,07-28-2019,16:00:00,26.69,0.00,13.0,1006.09,1007.87,220,22.2,14.00,32.7,54
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,07-28-2019,16:00:00,25.63,0.50,9.3,1006.64,1007.37,240,21.5,12.00,34.0,48
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,07-28-2019,16:00:00,25.87,0.00,13.0,1003.82,1007.74,240,21.7,10.00,32.7,52
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,07-28-2019,16:00:00,26.45,0.00,0.0,1008.10,1008.77,000,22.0,10.00,33.0,53
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,07-28-2019,16:00:00,26.12,7.20,14.8,1006.37,1007.46,250,21.8,10.00,33.4,51
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,07-28-2019,16:00:00,27.73,0.00,9.3,1005.01,1007.86,290,22.8,12.00,34.5,51
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,07-28-2019,16:00:00,32.84,0.00,7.4,1006.14,1006.81,010,25.6,11.00,34.0,62
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,07-28-2019,16:00:00,23.85,0.00,9.3,1003.54,1007.56,280,20.3,10.00,34.5,44
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,07-28-2019,16:00:00,28.94,17.60,16.7,1007.40,1007.98,050,23.5,12.00,32.0,61
