WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,Rainfall24Hr,StationPressure,WindDirection,VaporPressure,MeanSeaLevelPressure,RelativeHumidity,AirTemperature,LandVisibility,Rainfall,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,23.3,10-18-2019,04:00:00,7.30,982.27,000,28.53,1013.60,96,24.0,5.00,0.00,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,17.5,10-18-2019,04:00:00,0.00,849.95,130,20.02,1012.67,99,17.7,8.00,0.00,7.4
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,22.3,10-18-2019,04:00:00,0.00,969.54,000,27.00,1013.73,92,23.7,10.00,0.00,0.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,21.7,10-18-2019,04:00:00,0.00,967.13,250,26.01,1013.41,95,22.5,10.00,0.00,3.7
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,21.7,10-18-2019,04:00:00,0.00,976.19,000,25.94,1014.61,100,21.7,6.00,0.00,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,21.9,10-18-2019,04:00:00,0.00,967.23,000,26.33,1013.01,96,22.7,6.00,0.00,0.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,22.4,10-18-2019,04:00:00,5.50,987.29,000,27.07,1014.48,96,23.0,4.00,0.00,0.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,22.3,10-18-2019,04:00:00,0.00,990.14,000,26.99,1012.26,97,22.8,6.00,0.00,0.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,22.8,10-18-2019,04:00:00,0.00,988.74,000,27.75,1013.22,96,23.4,5.00,0.00,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,22.5,10-18-2019,04:00:00,0.01,978.63,000,27.17,1013.59,91,24.1,10.00,0.00,0.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,23.1,10-18-2019,04:00:00,0.00,986.10,000,28.18,1014.04,96,23.8,10.00,0.00,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,22.4,10-18-2019,04:00:00,2.20,979.47,000,27.08,1013.56,95,23.3,8.00,0.00,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,22.3,10-18-2019,04:00:00,0.00,994.15,000,26.91,1012.95,93,23.5,5.00,0.00,0.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,23.0,10-18-2019,04:00:00,0.00,990.63,000,28.01,1013.79,94,24.0,10.00,0.00,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,21.7,10-18-2019,04:00:00,0.00,983.50,000,25.93,1013.96,95,22.6,6.00,0.00,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,22.0,10-18-2019,04:00:00,0.00,977.36,000,26.50,1013.48,96,22.8,6.00,0.00,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,20.8,10-18-2019,04:00:00,0.00,983.17,000,24.50,1013.50,93,22.0,7.00,0.00,0.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,22.1,10-18-2019,04:00:00,0.00,1004.99,000,26.52,1012.38,84,24.9,8.00,0.00,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,21.4,10-18-2019,04:00:00,0.00,993.24,080,25.43,1013.42,83,24.4,6.00,0.00,3.7
48353,LOEI,เลย,เลย,17.45000,101.73333,21.8,10-18-2019,04:00:00,0.10,984.84,000,26.09,1014.03,93,23.0,6.00,0.00,0.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,20.4,10-18-2019,04:00:00,0.00,993.42,000,23.99,1013.97,84,23.2,10.00,0.00,0.0
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,20.4,10-18-2019,04:00:00,0.00,991.61,000,23.98,1013.89,95,21.2,10.00,0.00,0.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,20.7,10-18-2019,04:00:00,0.00,993.46,000,24.39,1013.32,87,23.0,10.00,0.00,0.0
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,20.4,10-18-2019,04:00:00,0.00,996.61,000,23.99,1013.65,83,23.5,11.00,0.00,0.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,20.3,10-18-2019,04:00:00,0.00,996.27,000,23.80,1014.08,90,22.0,10.00,0.00,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,22.4,10-18-2019,04:00:00,0.00,987.07,120,27.03,1013.14,84,25.2,8.00,0.00,5.6
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,25.3,10-18-2019,04:00:00,0.00,1006.20,000,32.20,1012.03,96,26.0,6.00,0.00,0.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,24.6,10-18-2019,04:00:00,0.00,1005.67,000,30.98,1011.92,95,25.5,6.00,0.00,0.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,22.1,10-18-2019,04:00:00,0.00,996.66,000,26.67,1013.37,91,23.8,10.00,0.00,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,22.0,10-18-2019,04:00:00,0.00,988.30,000,26.42,1010.96,91,23.5,8.00,0.00,0.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,23.8,10-18-2019,04:00:00,0.00,998.43,000,29.41,1013.02,96,24.5,6.00,0.00,0.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,22.3,10-18-2019,04:00:00,0.00,996.14,000,26.99,1012.81,94,23.4,8.00,0.00,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,22.4,10-18-2019,04:00:00,0.00,1006.79,000,27.14,1012.06,81,26.0,10.00,0.00,0.0
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,23.5,10-18-2019,04:00:00,0.00,997.98,000,29.00,1011.32,92,25.0,10.00,0.00,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,24.2,10-18-2019,04:00:00,0.00,1002.36,000,30.28,1011.76,92,25.7,10.00,0.00,0.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,20.9,10-18-2019,04:00:00,0.00,991.18,010,24.78,1013.21,83,24.0,9.00,0.00,3.7
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,22.0,10-18-2019,04:00:00,0.00,995.12,000,26.42,1012.93,91,23.5,8.00,0.00,0.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,20.6,10-18-2019,04:00:00,0.00,996.18,000,24.30,1012.26,81,24.0,10.00,0.00,0.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,20.9,10-18-2019,04:00:00,0.00,993.15,000,24.72,1012.41,90,22.6,8.00,0.00,0.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,19.1,10-18-2019,04:00:00,0.00,961.61,000,22.07,1014.13,93,20.2,5.00,0.00,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,25.2,10-18-2019,04:00:00,0.00,1007.62,000,32.12,1011.61,95,26.1,4.00,0.00,0.0
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,18.8,10-18-2019,04:00:00,0.20,917.37,000,21.63,1013.74,96,19.4,4.00,0.00,0.0
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,20.5,10-18-2019,04:00:00,0.00,996.49,000,24.15,1012.77,84,23.3,6.00,0.00,0.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,25.3,10-18-2019,04:00:00,0.00,1007.48,000,32.20,1011.55,96,26.0,6.00,0.00,0.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,21.7,10-18-2019,04:00:00,0.00,1002.12,000,26.02,1012.91,80,25.5,7.00,0.00,0.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,23.9,10-18-2019,04:00:00,0.00,1010.07,000,29.72,1012.02,92,25.4,9.00,0.00,0.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,19.7,10-18-2019,04:00:00,0.00,991.40,030,22.91,1012.49,71,25.4,10.00,0.00,9.3
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,19.7,10-18-2019,04:00:00,0.00,994.20,040,22.98,1012.19,82,23.0,10.00,0.00,9.3
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,20.5,10-18-2019,04:00:00,0.00,995.47,000,24.07,1011.90,84,23.4,10.00,0.00,0.0
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,20.3,10-18-2019,04:00:00,0.00,997.47,000,23.74,1011.71,81,23.8,10.00,0.00,0.0
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,20.4,10-18-2019,04:00:00,0.00,997.50,000,23.99,1012.59,83,23.5,8.00,0.00,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,21.8,10-18-2019,04:00:00,0.00,997.22,040,26.09,1012.10,86,24.2,6.00,0.00,11.1
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,24.2,10-18-2019,04:00:00,0.00,1008.99,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",30.11,1012.03,90,25.9,7.00,0.00,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,23.5,10-18-2019,04:00:00,0.00,1003.88,000,29.00,1011.92,92,25.0,8.00,0.00,0.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,23.7,10-18-2019,04:00:00,0.00,1009.70,020,29.27,1010.81,84,26.6,6.00,0.00,7.4
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,22.8,10-18-2019,04:00:00,0.00,997.03,000,27.70,1011.88,88,25.0,8.00,0.00,0.0
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,21.3,10-18-2019,04:00:00,0.00,1006.12,070,25.27,1012.06,77,25.5,10.00,0.00,5.6
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,23.9,10-18-2019,04:00:00,0.10,1009.85,040,29.64,1010.66,84,26.8,9.00,0.00,3.7
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,24.2,10-18-2019,04:00:00,0.00,1009.74,140,30.23,1010.18,78,28.4,8.00,0.00,5.6
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,22.8,10-18-2019,04:00:00,0.00,1000.13,000,27.76,1011.59,93,24.0,5.00,0.00,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,23.0,10-18-2019,04:00:00,0.00,1010.21,000,28.13,1011.23,80,26.7,6.00,0.00,0.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,21.3,10-18-2019,04:00:00,0.00,1009.41,050,25.24,1011.24,67,28.0,8.00,0.00,11.1
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,22.8,10-18-2019,04:00:00,1.80,1010.62,000,27.77,1011.39,80,26.5,3.00,0.00,0.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,23.9,10-18-2019,04:00:00,0.01,1009.72,030,29.66,1010.43,83,27.1,10.00,0.00,9.3
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,21.6,10-18-2019,04:00:00,0.00,1009.49,060,25.86,1010.19,66,28.5,7.00,0.00,5.6
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,20.4,10-18-2019,04:00:00,0.00,991.20,070,23.96,1012.61,76,25.0,9.00,0.00,1.9
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,21.7,10-18-2019,04:00:00,0.00,995.11,000,25.92,1012.07,86,24.1,6.00,0.00,0.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,20.8,10-18-2019,04:00:00,0.00,995.72,040,24.56,1012.47,89,22.8,5.00,0.00,3.7
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,21.4,10-18-2019,04:00:00,0.00,990.35,000,25.43,1012.51,83,24.4,10.00,0.00,0.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,20.8,10-18-2019,04:00:00,0.00,968.51,080,24.61,1012.33,80,24.5,8.00,0.00,22.2
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,20.9,10-18-2019,04:00:00,0.00,990.99,040,24.78,1011.85,83,24.0,10.00,0.00,7.4
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,21.7,10-18-2019,04:00:00,0.00,992.35,010,26.01,1013.64,97,22.2,7.00,0.00,7.4
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,25.0,10-18-2019,04:00:00,0.00,1009.78,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",31.60,1010.22,92,26.4,10.00,0.00,0.0
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,24.0,10-18-2019,04:00:00,1.40,1008.85,000,29.79,1010.28,94,25.0,6.00,0.00,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,24.0,10-18-2019,04:00:00,7.30,1005.70,000,29.89,1010.68,93,25.2,7.00,0.00,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,24.6,10-18-2019,04:00:00,0.20,1007.57,000,30.97,1010.88,89,26.5,10.00,0.00,0.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,25.1,10-18-2019,04:00:00,5.20,1009.81,000,31.79,1010.93,97,25.5,10.00,0.00,0.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,23.9,10-18-2019,04:00:00,0.01,1009.99,050,29.60,1010.29,76,28.5,10.00,0.01,5.6
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,23.7,10-18-2019,04:00:00,0.00,1009.60,000,29.36,1010.09,79,27.8,10.00,0.00,0.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,24.8,10-18-2019,04:00:00,0.00,1009.19,000,31.30,1010.60,87,27.1,10.00,0.00,0.0
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,24.3,10-18-2019,04:00:00,0.00,1004.48,000,30.42,1012.58,95,25.2,10.00,0.00,0.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,25.0,10-18-2019,04:00:00,4.00,1009.78,000,31.72,1010.06,86,27.6,4.00,0.00,0.0
