WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,Rainfall24Hr,StationPressure,AirTemperature,WindSpeed,WindDirection,MeanSeaLevelPressure,LandVisibility,Rainfall,RelativeHumidity,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,21.5,09-29-2019,04:00:00,0.00,983.79,23.0,0.0,000,1015.27,7.00,0.00,91,25.60
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,15.9,09-29-2019,04:00:00,0.00,851.05,17.4,7.4,180,1014.15,8.00,0.00,91,18.02
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,19.9,09-29-2019,04:00:00,0.00,970.84,21.6,0.0,000,1015.41,10.00,0.00,90,23.20
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,19.9,09-29-2019,04:00:00,0.00,968.73,20.8,0.0,000,1015.36,6.00,0.00,94,23.16
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,22.0,09-29-2019,04:00:00,0.00,977.10,22.5,0.0,000,1015.45,4.00,0.00,97,26.50
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,20.7,09-29-2019,04:00:00,0.00,969.34,21.5,0.0,000,1015.41,7.00,0.00,95,24.44
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,21.7,09-29-2019,04:00:00,0.00,988.23,22.5,0.0,000,1015.50,5.00,0.00,95,26.01
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,22.2,09-29-2019,04:00:00,6.40,991.84,22.7,0.0,000,1014.02,3.00,0.00,97,26.82
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,23.6,09-29-2019,04:00:00,6.10,990.47,24.2,0.0,000,1014.93,6.00,0.00,97,29.13
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,21.5,09-29-2019,04:00:00,0.00,979.49,23.9,0.0,000,1014.49,10.00,0.00,86,25.59
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,22.4,09-29-2019,04:00:00,0.00,986.59,23.2,0.0,000,1014.60,10.00,0.00,96,27.16
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,22.6,09-29-2019,04:00:00,0.00,980.88,23.8,0.0,000,1014.96,8.00,0.00,93,27.42
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,22.8,09-29-2019,04:00:00,0.01,995.17,23.8,0.0,000,1013.97,3.00,0.00,94,27.67
48331,NAN,น่าน,น่าน,18.77972,100.77778,21.9,09-29-2019,04:00:00,0.00,991.55,22.8,0.0,000,1014.82,10.00,0.00,95,26.25
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,21.2,09-29-2019,04:00:00,0.00,984.56,22.0,0.0,000,1015.12,4.00,0.00,95,25.21
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,22.8,09-29-2019,04:00:00,0.00,977.86,23.5,0.0,000,1013.91,6.00,0.00,96,27.66
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,19.3,09-29-2019,04:00:00,0.00,983.88,19.8,0.0,000,1014.46,1.00,0.00,97,22.40
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,22.9,09-29-2019,04:00:00,0.00,1006.01,24.5,0.0,000,1013.43,8.00,0.00,91,27.86
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,21.7,09-29-2019,04:00:00,0.00,993.73,24.7,5.6,030,1013.91,3.00,0.00,83,25.93
48353,LOEI,เลย,เลย,17.45000,101.73333,19.5,09-29-2019,04:00:00,0.00,985.19,21.2,0.0,000,1014.58,2.00,0.00,90,22.61
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,22.3,09-29-2019,04:00:00,0.00,993.89,23.7,0.0,000,1014.42,7.00,0.00,92,27.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,21.0,09-29-2019,04:00:00,0.00,992.61,22.2,0.0,000,1014.84,5.00,0.00,93,24.81
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,21.2,09-29-2019,04:00:00,0.00,993.99,23.5,0.0,000,1013.83,6.00,0.00,87,25.19
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,21.1,09-29-2019,04:00:00,0.00,997.17,22.6,0.0,000,1014.27,7.00,0.00,91,24.96
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,20.3,09-29-2019,04:00:00,0.00,996.83,21.5,0.0,000,1014.69,5.00,0.00,93,23.74
