WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,RelativeHumidity,LandVisibility,MeanSeaLevelPressure,StationPressure,Rainfall24Hr,WindSpeed,AirTemperature,Rainfall,DewPoint,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,000,09-14-2019,04:00:00,93,8.00,1007.81,976.77,0.01,0.0,25.0,0.00,23.8,29.52
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,280,09-14-2019,04:00:00,93,8.00,1006.67,845.61,6.30,3.7,19.1,0.00,18.0,20.57
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,000,09-14-2019,04:00:00,92,12.00,1006.41,962.79,0.00,0.0,25.4,0.00,23.9,29.72
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,000,09-14-2019,04:00:00,93,{'@attributes': {'Unit': 'km'}},1006.73,961.12,0.00,0.0,25.0,0.00,23.8,29.52
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,000,09-14-2019,04:00:00,98,6.00,1007.43,969.66,0.20,0.0,24.7,0.20,24.4,30.56
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,080,09-14-2019,04:00:00,93,10.00,1006.82,961.63,0.00,11.1,24.8,0.00,23.6,29.16
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,000,09-14-2019,04:00:00,94,6.00,1007.40,980.63,0.00,0.0,25.7,0.00,24.7,31.08
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,000,09-14-2019,04:00:00,97,14.00,1007.28,985.35,3.90,0.0,24.0,0.00,23.6,29.04
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,09-14-2019,04:00:00,96,6.00,1007.69,983.47,0.00,0.0,25.0,0.00,24.3,30.32
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,000,09-14-2019,04:00:00,93,10.00,1008.22,973.56,29.70,0.0,25.0,0.00,23.8,29.52
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,000,09-14-2019,04:00:00,96,10.00,1007.29,979.64,0.00,0.0,25.0,0.00,24.3,30.32
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,000,09-14-2019,04:00:00,96,10.00,1007.34,973.64,0.80,0.0,25.0,0.00,24.3,30.32
