WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,DewPoint,VaporPressure,MeanSeaLevelPressure,Rainfall,WindDirection,AirTemperature,LandVisibility,StationPressure,Rainfall24Hr,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,91,10-14-2019,22:00:00,22.8,27.77,1014.85,0.00,000,24.3,8.00,983.52,1.70,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,92,10-14-2019,22:00:00,19.2,22.28,1015.68,0.00,230,20.5,8.00,853.87,5.60,22.2
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,91,10-14-2019,22:00:00,22.5,27.25,1015.91,0.00,030,24.0,10.00,971.67,29.10,3.7
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,91,10-14-2019,22:00:00,21.7,25.92,1016.06,0.00,000,23.2,15.00,969.76,12.50,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,100,10-14-2019,22:00:00,23.0,28.07,1016.31,0.00,000,23.0,6.00,977.99,6.10,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,96,10-14-2019,22:00:00,23.0,28.09,1016.82,0.00,000,23.6,10.00,971.00,6.80,0.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,91,10-14-2019,22:00:00,23.0,28.11,1015.91,0.00,000,24.5,8.00,988.81,0.20,0.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,90,10-14-2019,22:00:00,23.7,29.38,1014.72,0.00,000,25.5,13.00,992.73,0.00,0.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,97,10-14-2019,22:00:00,23.7,29.22,1014.92,0.00,000,24.1,8.00,990.46,3.20,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,95,10-14-2019,22:00:00,22.1,26.58,1016.06,0.00,000,23.0,10.00,980.90,61.10,0.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,97,10-14-2019,22:00:00,23.4,28.78,1015.71,0.00,000,24.0,10.00,987.73,10.80,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,89,10-14-2019,22:00:00,21.2,25.11,1014.97,0.00,000,23.0,7.00,980.79,13.20,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,91,10-14-2019,22:00:00,23.5,28.92,1014.46,0.00,270,25.1,8.00,995.73,0.01,1.9
48331,NAN,น่าน,น่าน,18.77972,100.77778,89,10-14-2019,22:00:00,22.6,27.35,1015.14,0.00,000,24.5,10.00,991.99,0.00,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,94,10-14-2019,22:00:00,22.1,26.66,1015.54,0.00,000,23.2,8.00,985.09,1.30,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,94,10-14-2019,22:00:00,23.0,28.01,1015.43,0.00,000,24.0,8.00,979.38,0.20,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,89,10-14-2019,22:00:00,22.0,26.50,1014.44,0.00,000,24.0,10.00,984.28,0.00,0.0
