WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,MeanSeaLevelPressure,WindSpeed,StationPressure,Rainfall,AirTemperature,LandVisibility,DewPoint,WindDirection,Rainfall24Hr,RelativeHumidity,VaporPressure
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,09-09-2019,10:00:00,1011.00,9.3,1008.24,0.00,29.5,8.00,25.2,250,0.00,78,32.13
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,09-09-2019,10:00:00,1011.78,9.3,1011.00,0.00,30.4,10.00,23.6,250,0.00,67,29.14
48501,TRAD,ตราด,ตราด,11.76667,102.88333,09-09-2019,10:00:00,1010.74,5.6,1010.28,0.40,28.0,3.00,25.4,270,17.30,86,32.52
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,09-09-2019,10:00:00,1011.58,7.4,1010.90,0.00,30.4,8.00,24.5,230,0.10,71,30.82
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,09-09-2019,10:00:00,1011.21,7.4,1009.69,0.00,30.0,10.00,24.6,270,0.20,73,30.87
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,09-09-2019,10:00:00,1013.29,5.6,1012.36,6.30,25.0,6.00,23.2,210,69.30,90,28.48
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,09-09-2019,10:00:00,1012.20,0.0,1011.51,0.00,30.7,10.00,23.9,000,26.20,67,29.73
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,09-09-2019,10:00:00,1012.45,3.7,1011.65,0.00,28.5,8.00,25.7,170,30.30,85,32.96
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,09-09-2019,10:00:00,1012.04,5.6,1011.41,0.00,30.8,10.00,24.5,340,0.00,69,30.78
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,09-09-2019,10:00:00,1012.15,7.4,1011.75,0.00,29.3,10.00,25.6,210,12.40,81,32.87
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,09-09-2019,10:00:00,1013.97,7.4,1009.77,0.00,29.8,6.00,24.0,240,21.10,71,29.91
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,09-09-2019,10:00:00,1011.47,0.0,1009.88,0.00,30.5,10.00,24.0,000,0.00,68,29.89
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,09-09-2019,10:00:00,1012.20,3.7,1008.74,0.00,29.8,8.00,25.3,190,38.70,77,32.17
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,09-09-2019,10:00:00,1012.03,3.7,1010.69,0.00,30.6,10.00,24.5,240,0.00,70,30.66
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,09-09-2019,10:00:00,1011.81,9.3,1010.93,0.00,30.4,10.00,26.1,240,45.40,78,33.72
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,09-09-2019,10:00:00,1011.97,5.6,1008.42,0.00,29.0,10.00,24.6,140,0.00,77,30.85
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,09-09-2019,10:00:00,1012.02,0.0,1011.58,0.00,28.8,10.00,25.2,000,7.20,81,32.14
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,09-09-2019,10:00:00,1011.42,9.3,1010.44,0.00,30.5,10.00,24.8,260,0.00,72,31.31
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,09-09-2019,10:00:00,1012.82,0.0,1012.00,0.00,28.3,10.00,26.2,000,60.80,88,33.99
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,09-09-2019,10:00:00,1012.69,5.6,1010.88,0.00,29.0,10.00,24.7,220,18.90,78,31.13
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,09-09-2019,10:00:00,1012.40,3.7,1011.65,0.00,29.5,9.00,23.9,230,0.00,72,29.60
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,09-09-2019,10:00:00,1012.42,7.4,1008.44,0.00,29.7,8.00,23.6,220,7.40,70,29.16
48570,SATUN,สตูล,สตูล,6.65000,100.08333,09-09-2019,10:00:00,1012.33,0.0,1011.65,0.00,29.8,8.00,24.2,000,0.00,72,30.19
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,09-09-2019,10:00:00,1012.08,0.0,1010.97,0.00,31.1,10.00,23.8,000,6.40,65,29.40
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,09-09-2019,10:00:00,1012.52,7.4,1009.61,0.00,30.0,11.00,24.6,260,0.30,73,30.87
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,09-09-2019,10:00:00,1012.09,7.4,1011.40,0.00,29.5,7.00,25.5,240,44.40,79,32.71
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,09-09-2019,10:00:00,1013.09,11.1,1008.95,0.00,27.5,5.00,24.5,260,0.40,84,30.70
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,09-09-2019,10:00:00,1011.91,0.0,1011.32,0.00,30.0,10.00,23.5,000,1.40,68,28.91
