WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,RelativeHumidity,Rainfall24Hr,MeanSeaLevelPressure,Rainfall,DewPoint,WindDirection,LandVisibility,WindSpeed,AirTemperature,StationPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,31.92,08-02-2019,13:00:00,86,5.40,1004.80,0.70,25.1,130,6.00,5.6,27.7,974.12
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,22.87,08-02-2019,13:00:00,87,30.10,1001.22,0.00,19.7,300,8.00,22.2,22.0,842.44
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,30.82,08-02-2019,13:00:00,68,0.00,1002.12,0.00,24.5,180,10.00,9.3,31.1,959.47
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,31.31,08-02-2019,13:00:00,72,0.00,1001.77,0.00,24.8,260,15.00,9.3,30.5,957.19
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,30.80,08-02-2019,13:00:00,75,0.00,1003.11,0.00,24.5,120,12.00,9.3,29.4,966.07
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,30.31,08-02-2019,13:00:00,71,1.80,1002.56,0.00,24.3,160,8.00,13.0,30.0,958.32
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,31.48,08-02-2019,13:00:00,73,0.00,1003.86,0.00,24.9,180,10.00,11.1,30.3,977.58
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,26.35,08-02-2019,13:00:00,59,7.50,1004.71,0.00,22.0,270,16.00,18.5,30.8,983.32
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,30.83,08-02-2019,13:00:00,87,13.20,1006.41,5.20,24.5,000,8.00,0.0,27.0,982.38
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,27.55,08-02-2019,13:00:00,65,2.90,1004.05,0.00,22.7,150,10.00,5.6,30.0,970.09
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,30.56,08-02-2019,13:00:00,81,17.30,1005.24,0.50,24.4,000,5.00,0.0,28.0,977.92
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,25.76,08-02-2019,13:00:00,61,0.20,1003.88,0.00,21.6,240,10.00,13.0,29.9,970.83
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,30.31,08-02-2019,13:00:00,71,0.01,1003.88,0.01,24.3,210,12.00,7.4,30.0,985.64
48331,NAN,น่าน,น่าน,18.77972,100.77778,34.40,08-02-2019,13:00:00,72,0.00,1003.43,0.00,26.4,000,10.00,0.0,32.1,981.11
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,29.74,08-02-2019,13:00:00,74,0.00,1003.89,0.00,23.9,000,10.00,0.0,29.0,974.36
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,31.79,08-02-2019,13:00:00,92,36.60,1004.59,3.40,25.1,000,6.00,0.0,26.5,969.21
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,28.68,08-02-2019,13:00:00,57,0.00,1001.45,0.00,23.3,280,17.00,11.1,33.0,972.53
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,29.81,08-02-2019,13:00:00,68,5.50,1005.06,0.00,24.0,210,8.00,11.1,30.6,997.86
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,32.00,08-02-2019,13:00:00,63,0.20,1001.32,0.00,25.2,230,20.00,14.8,33.2,981.95
48353,LOEI,เลย,เลย,17.45000,101.73333,24.01,08-02-2019,13:00:00,48,0.00,1002.48,0.00,20.4,260,15.00,25.9,33.0,974.54
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,30.03,08-02-2019,13:00:00,62,0.00,1002.01,0.00,24.1,240,15.00,13.0,32.4,982.31
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,28.53,08-02-2019,13:00:00,68,7.60,1002.39,0.00,23.3,230,15.00,11.1,29.8,980.97
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,29.00,08-02-2019,13:00:00,69,0.00,1001.96,0.00,23.5,200,15.00,13.0,29.9,982.77
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,32.45,08-02-2019,13:00:00,89,2.90,1002.52,0.40,25.4,000,9.00,0.0,27.4,985.88
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,30.64,08-02-2019,13:00:00,82,0.90,1002.74,0.00,24.4,000,12.00,0.0,27.9,985.46
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,28.25,08-02-2019,13:00:00,58,0.00,1001.14,0.00,23.1,270,13.00,9.3,32.5,975.99
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,28.53,08-02-2019,13:00:00,58,1.30,1003.90,0.00,23.3,270,10.00,11.1,32.5,998.24
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,27.93,08-02-2019,13:00:00,61,0.90,1004.43,0.00,22.9,310,12.00,9.3,31.2,998.35
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,28.78,08-02-2019,13:00:00,74,0.30,1005.64,0.00,23.4,000,10.00,0.0,28.5,989.31
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,28.67,08-02-2019,13:00:00,88,56.00,1005.64,1.50,23.3,230,10.00,9.3,25.4,983.24
48376,TAK,ตาก,ตาก,16.87833,99.14333,25.30,08-02-2019,13:00:00,61,1.60,1005.52,0.00,21.3,260,8.00,24.1,29.5,991.27
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,26.74,08-02-2019,13:00:00,63,0.50,1004.41,0.00,22.2,120,7.00,9.3,30.0,988.23
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,27.55,08-02-2019,13:00:00,65,4.80,1005.33,0.01,22.7,280,10.00,14.8,30.0,1000.17
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,30.01,08-02-2019,13:00:00,75,2.80,1003.48,0.00,24.1,000,12.00,0.0,29.0,990.42
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,24.98,08-02-2019,13:00:00,50,4.40,1004.31,0.00,21.1,300,12.00,7.4,32.8,995.19
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,27.50,08-02-2019,13:00:00,67,0.20,1003.60,0.00,22.7,240,10.00,14.8,29.4,982.16
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,27.83,08-02-2019,13:00:00,70,0.00,1003.41,0.00,22.9,200,12.00,24.1,29.0,986.09
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,27.82,08-02-2019,13:00:00,66,23.00,1002.25,0.00,22.8,230,12.00,5.6,30.0,986.65
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,28.91,08-02-2019,13:00:00,72,0.00,1002.71,0.00,23.5,230,10.00,7.4,29.0,984.03
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,24.48,08-02-2019,13:00:00,65,21.30,1007.83,0.00,20.8,270,11.00,9.3,28.0,956.95
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,26.69,08-02-2019,13:00:00,57,4.20,1005.00,0.00,22.2,330,10.00,11.1,31.7,1001.11
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,23.81,08-02-2019,13:00:00,92,27.10,1006.42,0.50,20.3,230,6.00,22.2,21.7,911.45
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,29.19,08-02-2019,13:00:00,77,0.01,1003.83,0.01,23.6,210,8.00,11.1,28.0,987.95
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,29.13,08-02-2019,13:00:00,56,0.20,1004.62,0.00,23.6,320,12.00,1.9,33.5,1000.68
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,23.17,08-02-2019,13:00:00,44,4.90,1005.83,0.00,19.9,230,10.00,11.1,33.7,995.40
