WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,DewPoint,Rainfall24Hr,LandVisibility,VaporPressure,Rainfall,StationPressure,WindSpeed,AirTemperature,WindDirection,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,60,10-12-2019,16:00:00,24.0,0.00,15.00,29.91,0.00,975.85,0.0,32.9,000,1006.05
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,81,10-12-2019,16:00:00,21.1,0.00,8.00,25.02,0.00,847.96,14.8,24.6,180,1006.30
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,57,10-12-2019,16:00:00,22.6,0.00,12.00,27.38,0.00,963.40,9.3,32.2,360,1006.06
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,55,10-12-2019,16:00:00,22.1,0.00,15.00,26.56,0.00,961.63,0.0,32.2,000,1006.16
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,60,10-12-2019,16:00:00,24.2,0.00,12.00,30.20,0.00,969.74,0.0,32.9,000,1006.49
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,67,10-12-2019,16:00:00,23.9,0.00,12.00,29.65,0.00,962.40,5.6,30.8,270,1006.71
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,65,10-12-2019,16:00:00,23.2,0.00,12.00,28.50,0.00,981.30,3.7,30.5,090,1007.66
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,77,10-12-2019,16:00:00,25.7,12.30,15.00,33.00,12.30,985.35,0.0,30.2,000,1006.83
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,58,10-12-2019,16:00:00,24.8,0.00,10.00,31.26,0.00,982.73,0.0,34.1,000,1006.21
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,51,10-12-2019,16:00:00,22.4,0.00,12.00,27.01,0.00,972.34,5.6,34.0,130,1005.93
