WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,StationPressure,VaporPressure,DewPoint,RelativeHumidity,MeanSeaLevelPressure,AirTemperature,LandVisibility,Rainfall24Hr,WindDirection,Rainfall
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.0,08-30-2019,16:00:00,995.31,32.77,25.6,92,1000.21,27.0,7.00,16.50,000,0.80
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,3.7,08-30-2019,16:00:00,996.99,28.59,23.3,66,1000.22,30.4,12.00,0.00,270,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,3.7,08-30-2019,16:00:00,999.19,31.53,24.9,78,1000.28,29.2,6.00,0.60,270,0.01
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,3.7,08-30-2019,16:00:00,1000.20,32.63,25.5,82,1000.50,28.9,7.00,0.90,220,0.40
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,5.6,08-30-2019,16:00:00,1000.01,31.29,24.8,79,1000.69,28.8,8.00,1.10,220,0.20
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,5.6,08-30-2019,16:00:00,999.89,31.46,24.9,80,1000.38,28.6,7.00,1.10,150,0.20
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,16.7,08-30-2019,16:00:00,999.37,31.79,25.1,83,1000.77,28.2,8.00,1.20,220,1.20
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,24.1,08-30-2019,16:00:00,999.17,36.22,27.3,92,1000.83,28.8,9.00,0.10,190,0.01
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,3.7,08-30-2019,16:00:00,994.07,30.97,24.6,84,1002.02,27.5,10.00,6.20,230,0.01
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.0,08-30-2019,16:00:00,999.78,31.53,24.9,78,1000.06,29.2,10.00,0.40,000,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,7.4,08-30-2019,16:00:00,997.34,31.13,24.7,78,1000.43,29.0,10.00,0.01,130,0.01
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,9.3,08-30-2019,16:00:00,994.05,31.94,25.1,81,1000.91,28.7,10.00,0.00,270,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,3.7,08-30-2019,16:00:00,994.69,33.21,25.8,90,1000.24,27.5,7.00,2.00,200,0.01
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,9.3,08-30-2019,16:00:00,991.95,35.10,26.7,84,1001.12,29.8,10.00,0.00,230,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,7.4,08-30-2019,16:00:00,999.69,28.51,23.2,62,1000.93,31.5,14.00,2.30,270,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,25.9,08-30-2019,16:00:00,999.71,28.65,23.3,64,1000.13,31.0,11.00,4.30,260,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,7.4,08-30-2019,16:00:00,988.90,30.66,24.5,70,1000.94,30.6,10.00,0.00,260,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,11.1,08-30-2019,16:00:00,1000.06,29.73,23.9,67,1000.76,30.7,10.00,0.00,240,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,11.1,08-30-2019,16:00:00,999.06,30.31,24.3,71,1001.46,30.0,10.00,0.01,220,0.01
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,22.2,08-30-2019,16:00:00,1000.58,30.85,24.6,77,1001.10,29.0,10.00,0.01,230,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,11.1,08-30-2019,16:00:00,995.80,29.63,23.9,75,1000.89,28.8,10.00,0.01,170,0.01
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,9.3,08-30-2019,16:00:00,1000.93,31.29,24.8,79,1001.34,28.8,8.00,8.50,220,2.50
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,20.4,08-30-2019,16:00:00,999.03,32.96,25.7,85,1001.78,28.5,8.00,6.00,200,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,3.7,08-30-2019,16:00:00,1001.52,27.56,22.7,69,1002.30,29.0,10.00,0.30,260,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,11.1,08-30-2019,16:00:00,1002.22,32.81,25.6,90,1002.68,27.3,6.00,50.00,250,8.40
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.0,08-30-2019,16:00:00,1003.41,30.15,24.2,94,1004.10,25.2,6.00,47.10,000,5.40
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,3.7,08-30-2019,16:00:00,1002.66,29.52,23.8,93,1004.19,25.0,8.00,36.80,230,7.40
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,3.7,08-30-2019,16:00:00,1004.48,29.70,23.9,93,1005.40,25.1,9.00,57.80,230,11.10
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,5.6,08-30-2019,16:00:00,1003.85,29.78,24.0,87,1004.54,26.3,10.00,1.30,280,0.80
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.0,08-30-2019,16:00:00,1004.45,33.35,25.9,98,1005.24,26.3,8.00,17.60,000,2.50
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,7.4,08-30-2019,16:00:00,1004.03,31.82,25.1,90,1004.66,26.8,7.00,10.40,150,1.60
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.0,08-30-2019,16:00:00,1005.12,31.00,24.6,88,1005.53,26.8,10.00,5.80,000,0.10
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,13.0,08-30-2019,16:00:00,1002.44,29.35,23.7,85,1006.65,26.5,6.00,2.70,220,0.30
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.0,08-30-2019,16:00:00,1005.63,30.75,24.5,98,1007.25,24.8,8.00,21.60,000,1.20
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.0,08-30-2019,16:00:00,1002.92,32.55,25.5,81,1006.36,29.0,8.00,20.10,000,2.50
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,3.7,08-30-2019,16:00:00,1004.62,31.04,24.7,97,1005.98,25.1,4.00,19.50,250,6.30
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.0,08-30-2019,16:00:00,1004.88,30.17,24.2,93,1005.77,25.5,10.00,102.00,000,7.80
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.0,08-30-2019,16:00:00,1002.05,30.30,24.3,90,1005.61,26.0,10.00,65.70,000,0.20
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.0,08-30-2019,16:00:00,1004.98,30.15,24.2,78,1005.41,28.5,10.00,38.40,000,0.20
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,13.0,08-30-2019,16:00:00,1004.65,28.67,23.3,80,1005.64,27.0,7.00,77.50,310,0.70
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,22.2,08-30-2019,16:00:00,1005.12,31.97,25.2,88,1005.93,27.3,10.00,45.40,270,2.20
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,5.6,08-30-2019,16:00:00,1004.58,29.15,23.6,95,1006.41,24.5,12.00,46.60,160,9.60
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,20.4,08-30-2019,16:00:00,1005.56,26.64,22.1,78,1006.31,26.3,11.00,16.20,270,12.30
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,7.4,08-30-2019,16:00:00,1002.86,28.83,23.4,90,1006.88,25.2,10.00,14.40,250,7.20
48570,SATUN,สตูล,สตูล,6.65000,100.08333,7.4,08-30-2019,16:00:00,1006.19,27.51,22.7,92,1006.88,24.0,10.00,34.00,270,16.30
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.0,08-30-2019,16:00:00,1005.26,30.10,24.1,85,1006.38,26.9,10.00,3.40,000,1.20
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,3.7,08-30-2019,16:00:00,1003.99,29.39,23.8,97,1006.94,24.2,7.00,27.50,200,24.50
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,13.0,08-30-2019,16:00:00,1004.10,34.36,26.4,94,1004.79,27.5,10.00,0.80,180,0.80
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,5.6,08-30-2019,16:00:00,1001.09,28.00,23.0,56,1005.12,32.8,8.00,7.50,240,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,14.8,08-30-2019,16:00:00,1004.31,24.67,20.9,48,1004.88,33.5,10.00,0.30,240,0.00
