WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,RelativeHumidity,WindSpeed,WindDirection,Rainfall,MeanSeaLevelPressure,Rainfall24Hr,DewPoint,LandVisibility,VaporPressure,AirTemperature
48376,TAK,ตาก,ตาก,16.87833,99.14333,990.85,08-31-2019,22:00:00,96,0.0,000,0.20,1005.28,51.90,24.8,5.00,31.25,25.5
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,988.46,08-31-2019,22:00:00,98,0.0,000,1.00,1004.97,86.80,23.7,6.00,29.30,24.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,999.80,08-31-2019,22:00:00,93,0.0,000,0.00,1005.04,7.30,24.8,10.00,31.30,26.1
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,990.72,08-31-2019,22:00:00,94,0.0,000,0.60,1003.96,107.90,24.2,10.00,30.15,25.2
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,995.44,08-31-2019,22:00:00,97,0.0,000,0.40,1004.77,67.00,25.6,10.00,32.87,26.2
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,984.00,08-31-2019,22:00:00,93,1.9,200,0.10,1005.73,29.10,24.6,10.00,30.92,25.9
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,987.99,08-31-2019,22:00:00,80,7.4,200,0.00,1005.49,80.50,22.8,7.00,27.77,26.5
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,990.14,08-31-2019,22:00:00,98,0.0,000,1.40,1006.05,49.30,24.9,10.00,31.49,25.2
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,985.77,08-31-2019,22:00:00,92,0.0,000,0.00,1004.66,52.20,24.7,8.00,31.03,26.1
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,953.20,08-31-2019,22:00:00,92,0.0,000,0.00,1004.58,17.00,22.7,7.00,27.51,24.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1000.63,08-31-2019,22:00:00,86,7.4,090,0.40,1004.59,53.50,24.0,4.00,29.89,26.5
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,910.42,08-31-2019,22:00:00,98,7.4,230,1.70,1005.66,84.30,20.3,.50,23.78,20.6
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,989.94,08-31-2019,22:00:00,98,5.6,150,0.20,1005.99,8.70,25.2,6.00,32.07,25.5
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1001.07,08-31-2019,22:00:00,77,7.4,180,0.00,1005.08,9.90,23.3,10.00,28.63,27.7
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,995.43,08-31-2019,22:00:00,90,0.0,000,0.00,1006.11,24.00,24.8,7.00,31.24,26.5
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1003.71,08-31-2019,22:00:00,84,5.6,150,0.00,1005.64,10.40,24.1,9.00,30.02,27.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,985.13,08-31-2019,22:00:00,94,0.0,000,0.00,1006.07,35.70,24.5,10.00,30.71,25.5
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,987.94,08-31-2019,22:00:00,99,0.0,000,0.01,1005.69,9.90,24.9,10.00,31.58,25.1
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,989.64,08-31-2019,22:00:00,98,5.6,140,0.10,1005.85,6.60,25.4,9.00,32.45,25.7
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,992.55,08-31-2019,22:00:00,94,0.0,000,8.00,1006.68,13.50,23.9,10.00,29.61,24.9
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,993.52,08-31-2019,22:00:00,96,0.0,000,1.80,1008.46,8.80,24.3,7.00,30.32,25.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,992.69,08-31-2019,22:00:00,99,0.0,000,0.00,1007.45,8.20,24.9,5.00,31.58,25.1
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1001.45,08-31-2019,22:00:00,80,0.0,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.00,1004.45,20.80,23.8,10.00,29.52,27.6
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,997.64,08-31-2019,22:00:00,93,0.0,000,0.01,1005.60,18.40,25.0,7.00,31.76,26.2
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1005.14,08-31-2019,22:00:00,83,7.4,140,0.00,1006.25,1.20,24.3,8.00,30.42,27.5
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,987.16,08-31-2019,22:00:00,91,3.7,100,0.00,1001.77,10.60,25.2,8.00,32.10,26.8
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,872.76,08-31-2019,22:00:00,99,11.1,190,6.60,1007.76,39.20,19.5,.05,22.71,19.7
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1000.18,08-31-2019,22:00:00,92,5.6,180,0.00,1006.07,18.40,25.0,10.00,31.60,26.4
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1006.09,08-31-2019,22:00:00,85,3.7,180,0.00,1006.89,0.01,25.1,7.00,31.95,28.0
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1004.45,08-31-2019,22:00:00,80,9.3,230,0.00,1004.89,0.00,24.6,10.00,30.98,28.5
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,995.02,08-31-2019,22:00:00,97,0.0,000,0.20,1006.38,18.70,24.7,3.00,31.14,25.3
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1005.38,08-31-2019,22:00:00,85,0.0,000,0.00,1006.39,0.01,25.1,10.00,31.95,28.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1004.33,08-31-2019,22:00:00,87,5.6,150,0.00,1006.15,4.20,25.2,8.00,32.08,27.5
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1005.17,08-31-2019,22:00:00,76,0.0,000,0.00,1005.94,0.01,22.5,8.00,27.27,27.1
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1006.16,08-31-2019,22:00:00,85,18.5,200,1.20,1006.87,2.20,24.1,10.00,30.10,26.9
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1006.24,08-31-2019,22:00:00,84,5.6,180,0.10,1006.95,5.60,24.3,7.00,30.39,27.2
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,985.30,08-31-2019,22:00:00,86,0.0,000,0.00,1006.49,4.30,23.7,10.00,29.33,26.2
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,989.69,08-31-2019,22:00:00,96,0.0,000,0.10,1006.48,28.00,24.8,7.00,31.25,25.5
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,990.77,08-31-2019,22:00:00,94,3.7,190,0.10,1007.27,14.60,24.7,6.00,31.08,25.7
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,985.12,08-31-2019,22:00:00,84,0.0,000,0.00,1007.03,4.70,23.4,10.00,28.72,26.3
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,963.13,08-31-2019,22:00:00,87,0.0,000,0.00,1006.71,1.20,22.3,12.00,26.84,24.5
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,986.08,08-31-2019,22:00:00,91,7.4,130,0.00,1006.69,5.60,24.5,8.00,30.76,26.1
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,987.04,08-31-2019,22:00:00,100,7.4,180,0.00,1007.99,12.00,25.3,8.00,32.23,25.3
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1006.21,08-31-2019,22:00:00,81,11.1,240,0.01,1006.65,0.30,24.1,10.00,30.07,27.6
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1005.70,08-31-2019,22:00:00,94,5.6,240,0.10,1007.13,0.50,25.0,8.00,31.65,26.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1002.14,08-31-2019,22:00:00,86,7.4,210,0.00,1007.07,0.00,24.4,7.00,30.56,27.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1002.80,08-31-2019,22:00:00,80,0.0,000,0.00,1006.08,0.40,23.8,10.00,29.52,27.6
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1004.01,08-31-2019,22:00:00,84,0.0,000,0.00,1005.11,0.01,24.6,10.00,30.97,27.5
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1006.43,08-31-2019,22:00:00,79,11.1,220,0.00,1006.73,0.01,24.5,10.00,30.70,28.5
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1005.98,08-31-2019,22:00:00,85,0.0,000,0.00,1006.47,1.70,25.0,10.00,31.64,27.7
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1005.59,08-31-2019,22:00:00,91,11.1,190,0.20,1007.00,6.60,25.3,9.00,32.30,26.9
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1000.88,08-31-2019,22:00:00,86,11.1,180,0.00,1008.92,0.00,23.7,10.00,29.33,26.2
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1006.61,08-31-2019,22:00:00,81,0.0,000,0.00,1006.89,0.00,24.2,10.00,30.26,27.7
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1003.77,08-31-2019,22:00:00,77,9.3,210,0.00,1006.89,0.00,23.8,10.00,29.49,28.3
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1000.54,08-31-2019,22:00:00,79,14.8,240,0.00,1007.47,3.10,23.8,10.00,29.44,27.7
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1001.93,08-31-2019,22:00:00,82,3.7,220,0.00,1007.52,0.01,24.0,10.00,29.77,27.3
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1005.94,08-31-2019,22:00:00,93,3.7,140,0.01,1007.20,1.40,24.9,8.00,31.49,26.2
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1006.18,08-31-2019,22:00:00,87,14.8,220,0.00,1006.61,0.01,24.2,11.00,30.16,26.5
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,995.38,08-31-2019,22:00:00,91,0.0,000,0.00,1007.75,5.80,22.8,10.00,27.77,24.3
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1006.34,08-31-2019,22:00:00,82,0.0,000,0.10,1007.06,1.60,22.9,10.00,27.93,26.3
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1005.00,08-31-2019,22:00:00,73,14.8,240,0.00,1007.42,3.10,22.9,10.00,27.95,28.2
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1007.56,08-31-2019,22:00:00,79,24.1,280,0.00,1008.08,1.40,24.3,10.00,30.31,28.3
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1002.53,08-31-2019,22:00:00,77,1.9,270,0.00,1007.67,0.60,23.3,9.00,28.63,27.7
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1007.79,08-31-2019,22:00:00,87,0.0,000,0.00,1008.21,35.00,24.8,7.00,31.22,27.2
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1005.91,08-31-2019,22:00:00,96,0.0,000,0.00,1008.69,10.30,25.2,8.00,32.01,25.9
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1007.42,08-31-2019,22:00:00,84,0.0,000,0.00,1008.21,5.80,22.1,10.00,26.52,24.9
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1008.29,08-31-2019,22:00:00,94,0.0,000,0.10,1008.75,14.70,24.5,6.00,30.71,25.5
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1007.64,08-31-2019,22:00:00,92,0.0,000,0.00,1008.33,5.00,23.5,7.00,29.00,25.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1006.48,08-31-2019,22:00:00,84,3.7,220,0.00,1008.01,4.60,23.1,8.00,28.18,26.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1007.73,08-31-2019,22:00:00,92,0.0,000,0.00,1008.65,37.90,23.2,10.00,28.37,24.5
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1008.08,08-31-2019,22:00:00,72,7.4,250,0.00,1008.77,0.60,21.7,10.00,25.98,27.1
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1008.43,08-31-2019,22:00:00,99,0.0,000,0.00,1009.24,0.60,23.8,9.00,29.56,24.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1007.82,08-31-2019,22:00:00,82,0.0,000,0.00,1008.45,0.00,23.0,10.00,28.11,26.4
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1008.33,08-31-2019,22:00:00,91,0.0,000,0.00,1008.74,0.00,23.6,10.00,29.10,25.2
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1006.52,08-31-2019,22:00:00,96,0.0,000,0.00,1010.77,5.60,24.7,5.00,31.06,25.4
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1006.59,08-31-2019,22:00:00,96,0.0,000,0.00,1008.22,6.50,24.1,8.00,29.95,24.8
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1005.56,08-31-2019,22:00:00,96,0.0,000,0.00,1009.07,0.20,23.5,7.00,28.88,24.2
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1006.79,08-31-2019,22:00:00,85,0.0,000,0.00,1008.15,2.10,22.9,7.00,27.90,25.7
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1007.30,08-31-2019,22:00:00,94,0.0,000,0.00,1008.19,8.60,23.7,10.00,29.25,24.7
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1005.86,08-31-2019,22:00:00,95,0.0,000,0.00,1009.46,2.80,23.4,10.00,28.79,24.3
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1008.01,08-31-2019,22:00:00,91,0.0,000,0.00,1008.44,11.20,25.0,10.00,31.71,26.6
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1007.08,08-31-2019,22:00:00,94,0.0,000,0.00,1008.08,3.90,24.2,9.00,30.15,25.2
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1007.87,08-31-2019,22:00:00,92,0.0,000,0.00,1008.70,8.60,23.4,10.00,28.82,24.9
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1006.87,08-31-2019,22:00:00,96,0.0,000,0.00,1008.71,2.80,23.6,10.00,29.05,24.3
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1007.88,08-31-2019,22:00:00,81,3.7,150,0.00,1008.63,0.01,23.7,10.00,29.23,27.3
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1004.86,08-31-2019,22:00:00,87,0.0,000,0.00,1008.87,0.00,23.9,10.00,29.60,26.2
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1008.79,08-31-2019,22:00:00,92,0.0,000,0.00,1009.48,0.00,25.1,10.00,31.79,26.5
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1008.00,08-31-2019,22:00:00,89,0.0,000,0.00,1009.12,0.00,23.9,10.00,29.66,25.8
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1005.91,08-31-2019,22:00:00,90,0.0,000,0.00,1008.84,0.00,24.3,10.00,30.30,26.0
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1007.32,08-31-2019,22:00:00,92,0.0,000,0.00,1008.01,0.00,24.8,7.00,31.22,26.2
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1005.40,08-31-2019,22:00:00,90,0.0,000,0.00,1009.56,0.01,23.4,7.00,28.83,25.2
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1008.38,08-31-2019,22:00:00,90,0.0,000,0.20,1008.97,11.40,23.2,7.00,28.48,25.0
