WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,RelativeHumidity,WindSpeed,WindDirection,Rainfall,MeanSeaLevelPressure,Rainfall24Hr,DewPoint,LandVisibility,VaporPressure,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,972.95,08-31-2019,22:00:00,95,0.0,000,0.00,1003.86,46.60,24.2,10.00,30.23,25.1
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,840.74,08-31-2019,22:00:00,99,20.4,120,16.20,1001.63,41.80,17.6,.10,20.15,17.8
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,960.23,08-31-2019,22:00:00,91,0.0,000,4.10,1003.88,5.70,23.0,9.00,28.11,24.5
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,958.47,08-31-2019,22:00:00,96,0.0,000,20.40,1004.10,38.80,23.3,10.00,28.53,24.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,967.23,08-31-2019,22:00:00,100,0.0,000,8.50,1005.03,29.60,23.8,5.00,29.46,23.8
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,958.08,08-31-2019,22:00:00,96,7.4,090,3.70,1003.38,29.90,22.2,7.00,26.83,23.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,978.56,08-31-2019,22:00:00,97,0.0,000,2.00,1005.35,7.80,24.2,6.00,30.22,24.8
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,982.97,08-31-2019,22:00:00,94,0.0,000,0.00,1004.80,82.10,23.6,10.00,29.07,24.6
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,981.12,08-31-2019,22:00:00,94,0.0,000,0.00,1005.36,48.40,23.0,6.00,28.01,24.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,969.49,08-31-2019,22:00:00,93,0.0,000,0.10,1004.05,8.30,23.5,10.00,28.98,24.7
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,978.55,08-31-2019,22:00:00,97,0.0,000,8.80,1006.31,36.60,23.0,10.00,28.17,23.5
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,970.30,08-31-2019,22:00:00,94,0.0,000,0.00,1003.93,127.80,23.5,10.00,28.89,24.5
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,986.13,08-31-2019,22:00:00,92,3.7,270,0.00,1004.68,47.70,23.5,10.00,29.00,25.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,982.05,08-31-2019,22:00:00,97,0.0,000,1.40,1004.95,26.90,24.4,10.00,30.48,24.8
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,975.08,08-31-2019,22:00:00,95,0.0,000,5.10,1005.09,30.10,23.6,6.00,29.15,24.5
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,969.24,08-31-2019,22:00:00,98,0.0,000,0.60,1004.96,53.30,23.4,4.00,28.77,23.7
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,975.02,08-31-2019,22:00:00,97,0.0,000,0.00,1004.79,22.40,24.6,10.00,30.85,25.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,997.67,08-31-2019,22:00:00,96,0.0,000,0.01,1005.00,7.10,24.9,8.00,31.44,25.6
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,986.19,08-31-2019,22:00:00,98,0.0,000,0.00,1006.10,28.20,25.9,10.00,33.35,26.3
48353,LOEI,เลย,เลย,17.45000,101.73333,976.26,08-31-2019,22:00:00,91,0.0,000,0.00,1004.91,21.00,24.4,10.00,30.57,26.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,985.09,08-31-2019,22:00:00,90,3.7,120,0.20,1005.23,12.50,24.8,12.00,31.35,26.7
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,984.90,08-31-2019,22:00:00,89,0.0,000,0.00,1006.65,33.10,24.4,12.00,30.51,26.4
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,986.10,08-31-2019,22:00:00,90,3.7,180,0.00,1005.62,26.40,24.2,12.00,30.11,25.9
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,990.15,08-31-2019,22:00:00,89,0.0,000,0.00,1006.90,45.60,24.7,10.00,31.08,26.7
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,989.58,08-31-2019,22:00:00,95,0.0,000,0.00,1007.05,54.10,24.7,10.00,31.17,25.6
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,980.81,08-31-2019,22:00:00,88,0.0,000,0.00,1006.61,11.20,24.3,10.00,30.43,26.5
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,998.66,08-31-2019,22:00:00,100,0.0,000,0.00,1004.45,9.10,26.0,10.00,33.60,26.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,998.19,08-31-2019,22:00:00,97,0.0,000,0.01,1004.40,4.90,25.1,7.00,31.79,25.5
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,989.21,08-31-2019,22:00:00,94,0.0,000,0.60,1005.74,21.70,24.0,8.00,29.79,25.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,981.50,08-31-2019,22:00:00,95,0.0,000,0.30,1003.95,66.20,23.4,10.00,28.79,24.3
