WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,DewPoint,WindDirection,Rainfall24Hr,StationPressure,LandVisibility,WindSpeed,MeanSeaLevelPressure,RelativeHumidity,AirTemperature,Rainfall
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,29.05,07-15-2019,04:00:00,23.6,150,8.20,981.72,8.00,3.7,1004.17,96,24.3,0.40
48376,TAK,ตาก,ตาก,16.87833,99.14333,26.86,07-15-2019,04:00:00,22.3,270,0.00,990.65,7.00,5.6,1004.97,73,27.6,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,26.34,07-15-2019,04:00:00,21.9,000,2.00,987.46,8.00,0.0,1003.75,71,27.6,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,30.59,07-15-2019,04:00:00,24.4,000,0.01,999.37,10.00,0.0,1004.60,89,26.3,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,31.63,07-15-2019,04:00:00,25.0,000,0.00,990.27,10.00,0.0,1003.43,90,26.7,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,26.16,07-15-2019,04:00:00,21.8,000,0.00,995.22,10.00,0.0,1004.51,73,27.2,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,29.82,07-15-2019,04:00:00,24.0,000,0.00,982.10,10.00,0.0,1003.65,79,27.9,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,28.78,07-15-2019,04:00:00,23.4,000,0.00,986.48,10.00,0.0,1003.83,74,28.5,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,30.43,07-15-2019,04:00:00,24.3,000,0.00,987.57,10.00,0.0,1003.37,88,26.5,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,30.31,07-15-2019,04:00:00,24.3,230,0.00,983.99,10.00,5.6,1002.71,79,28.3,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,25.60,07-15-2019,04:00:00,21.5,000,1.80,953.82,4.00,0.0,1005.41,91,23.0,0.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,30.81,07-15-2019,04:00:00,24.5,000,0.10,1000.55,5.00,0.0,1004.51,88,26.7,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,23.39,07-15-2019,04:00:00,20.0,240,1.40,911.23,2.00,20.4,1006.49,95,20.8,0.01
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,29.52,07-15-2019,04:00:00,23.8,000,0.20,987.57,6.00,0.0,1003.47,80,27.6,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,31.38,07-15-2019,04:00:00,24.8,000,0.01,1000.30,10.00,0.0,1004.32,88,27.0,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,27.56,07-15-2019,04:00:00,22.7,000,0.00,995.07,7.00,0.0,1005.77,83,25.8,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,26.47,07-15-2019,04:00:00,22.0,180,0.00,1003.13,7.00,3.7,1005.06,77,26.5,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,27.21,07-15-2019,04:00:00,22.5,230,0.00,983.98,10.00,5.6,1004.75,74,27.5,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,28.12,07-15-2019,04:00:00,23.0,000,0.00,986.08,10.00,0.0,1003.62,74,28.0,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,30.42,07-15-2019,04:00:00,24.3,000,0.00,987.43,1.00,0.0,1003.45,78,28.5,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,30.15,07-15-2019,04:00:00,24.2,000,40.50,990.52,10.00,0.0,1004.61,94,25.2,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,29.33,07-15-2019,04:00:00,23.7,000,11.90,990.12,8.00,0.0,1005.03,95,24.6,0.30
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,31.38,07-15-2019,04:00:00,24.8,000,0.01,989.83,6.00,0.0,1004.46,88,27.0,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,26.57,07-15-2019,04:00:00,22.1,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.00,1001.41,10.00,0.0,1004.40,68,28.6,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,27.52,07-15-2019,04:00:00,22.7,000,0.00,996.58,7.00,0.0,1004.52,78,26.8,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,27.42,07-15-2019,04:00:00,22.6,230,0.00,1004.05,8.00,5.6,1005.16,79,26.6,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,30.02,07-15-2019,04:00:00,24.1,000,0.00,987.72,8.00,0.0,1002.33,84,27.0,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,21.52,07-15-2019,04:00:00,18.7,280,0.00,870.77,.05,9.3,1005.81,98,19.0,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,30.94,07-15-2019,04:00:00,24.6,000,0.00,999.16,10.00,0.0,1005.04,91,26.2,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,30.70,07-15-2019,04:00:00,24.5,240,0.00,1005.62,8.00,3.7,1006.42,79,28.5,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,33.53,07-15-2019,04:00:00,26.0,000,0.00,1004.87,10.00,0.0,1005.31,86,28.5,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,29.25,07-15-2019,04:00:00,23.7,000,1.60,995.28,4.00,0.0,1006.66,94,24.7,0.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,28.49,07-15-2019,04:00:00,23.2,210,0.00,1004.60,10.00,9.3,1005.61,80,26.9,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,27.62,07-15-2019,04:00:00,22.7,000,0.00,1003.66,7.00,0.0,1005.48,77,27.0,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,25.04,07-15-2019,04:00:00,21.1,200,0.00,1004.77,8.00,3.7,1005.53,72,26.7,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,26.06,07-15-2019,04:00:00,21.8,250,0.00,1005.15,10.00,11.1,1005.86,73,27.0,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,30.20,07-15-2019,04:00:00,24.2,000,0.00,1004.52,7.00,0.0,1005.22,79,28.1,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,26.78,07-15-2019,04:00:00,22.2,290,0.00,983.68,10.00,9.3,1004.73,72,27.7,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,28.34,07-15-2019,04:00:00,23.2,000,0.00,987.89,6.00,0.0,1004.63,85,25.8,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,28.92,07-15-2019,04:00:00,23.5,210,0.00,988.85,6.00,5.6,1005.26,83,26.7,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,26.80,07-15-2019,04:00:00,22.2,000,0.00,982.64,10.00,0.0,1004.51,79,26.1,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,24.20,07-15-2019,04:00:00,20.6,230,0.00,961.79,12.00,11.1,1005.14,74,25.6,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,26.06,07-15-2019,04:00:00,21.8,240,0.00,984.18,10.00,9.3,1004.69,73,27.0,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,29.64,07-15-2019,04:00:00,23.9,260,0.00,984.91,7.00,11.1,1005.71,84,26.8,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,28.18,07-15-2019,04:00:00,23.1,290,0.00,1005.75,10.00,5.6,1006.18,76,27.6,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,31.33,07-15-2019,04:00:00,24.8,000,0.00,1003.91,6.00,0.0,1005.33,91,26.4,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,31.38,07-15-2019,04:00:00,24.8,000,0.00,1000.41,7.00,0.0,1005.35,93,26.0,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,27.36,07-15-2019,04:00:00,22.6,000,0.00,1002.85,10.00,0.0,1006.14,77,27.0,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,28.07,07-15-2019,04:00:00,23.0,000,0.00,1004.64,10.00,0.0,1005.75,86,25.5,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,27.40,07-15-2019,04:00:00,22.6,290,0.00,1005.08,10.00,3.7,1005.38,73,27.9,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,26.98,07-15-2019,04:00:00,22.3,200,0.00,1004.72,10.00,5.6,1005.21,71,28.1,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,26.03,07-15-2019,04:00:00,21.8,250,0.00,1004.25,10.00,16.7,1005.65,68,28.3,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,29.56,07-15-2019,04:00:00,23.8,000,0.00,999.09,10.00,0.0,1007.13,90,25.6,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,29.74,07-15-2019,04:00:00,23.9,000,0.00,1005.08,10.00,0.0,1005.36,74,29.0,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,28.37,07-15-2019,04:00:00,23.2,000,0.00,1002.63,10.00,0.0,1005.74,71,29.0,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,27.03,07-15-2019,04:00:00,22.4,240,0.00,1000.32,10.00,5.6,1007.21,68,29.0,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,30.02,07-15-2019,04:00:00,24.1,250,0.00,1001.72,7.00,3.7,1007.32,84,27.0,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,27.86,07-15-2019,04:00:00,22.9,000,0.00,1005.95,10.00,0.0,1007.22,91,24.5,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,26.43,07-15-2019,04:00:00,22.0,210,0.00,1006.29,11.00,3.7,1006.72,72,27.5,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,26.25,07-15-2019,04:00:00,21.9,000,0.00,993.97,8.00,0.0,1006.34,88,24.0,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,27.86,07-15-2019,04:00:00,22.9,000,0.00,1005.23,10.00,0.0,1005.94,80,26.7,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,28.64,07-15-2019,04:00:00,23.3,310,0.00,1005.56,10.00,14.8,1006.08,72,29.0,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,29.21,07-15-2019,04:00:00,23.6,000,0.00,1000.84,10.00,0.0,1005.99,82,27.0,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,31.49,07-15-2019,04:00:00,24.9,000,18.90,1005.49,7.00,0.0,1005.91,93,26.2,18.90
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,31.93,07-15-2019,04:00:00,25.1,040,8.30,1003.29,8.00,7.4,1006.06,95,26.0,8.30
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,28.04,07-15-2019,04:00:00,23.0,240,0.00,1005.76,10.00,1.9,1006.55,80,26.8,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,29.61,07-15-2019,04:00:00,23.9,000,12.80,1006.16,3.00,0.0,1006.62,94,24.9,11.20
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,28.97,07-15-2019,04:00:00,23.5,000,0.00,1006.65,8.00,0.0,1007.33,86,26.0,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,28.48,07-15-2019,04:00:00,23.2,000,0.00,1005.71,6.00,0.0,1007.24,90,25.0,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,29.82,07-15-2019,04:00:00,24.0,000,0.60,1007.18,10.00,0.0,1008.11,91,25.6,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,29.48,07-15-2019,04:00:00,23.8,000,0.00,1007.01,10.00,0.0,1007.70,83,27.0,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,26.91,07-15-2019,04:00:00,22.3,000,0.00,1007.46,5.00,0.0,1008.27,95,23.2,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,29.33,07-15-2019,04:00:00,23.7,000,0.10,1007.22,10.00,0.0,1007.86,95,24.6,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,29.33,07-15-2019,04:00:00,23.7,000,0.01,1007.24,8.00,0.0,1007.65,95,24.6,0.00
