WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,WindSpeed,Rainfall24Hr,RelativeHumidity,DewPoint,LandVisibility,StationPressure,Rainfall,AirTemperature,VaporPressure,MeanSeaLevelPressure
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,000,10-13-2019,04:00:00,0.0,6.30,97,24.1,6.00,992.86,0.00,24.5,29.93,1009.75
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,000,10-13-2019,04:00:00,0.0,9.30,98,23.8,4.00,993.97,0.00,24.1,29.48,1010.62
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,000,10-13-2019,04:00:00,0.0,0.01,97,23.3,2.00,988.11,0.00,23.7,28.52,1010.27
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,070,10-13-2019,04:00:00,3.7,4.30,95,20.2,7.00,966.06,0.00,21.0,23.69,1010.30
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,000,10-13-2019,04:00:00,0.0,0.01,99,23.9,7.00,989.00,0.00,24.1,29.74,1009.81
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,260,10-13-2019,04:00:00,3.7,29.80,100,23.0,6.00,990.21,0.00,23.0,28.07,1011.40
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",10-13-2019,04:00:00,0.0,0.00,85,25.9,10.00,1008.43,0.00,28.7,33.37,1008.87
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,000,10-13-2019,04:00:00,0.0,0.00,96,23.8,6.00,1007.60,0.00,24.5,29.41,1009.03
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,000,10-13-2019,04:00:00,0.0,0.90,99,24.8,4.00,1004.31,0.00,25.0,31.39,1009.29
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,000,10-13-2019,04:00:00,0.0,0.00,93,25.9,10.00,1005.72,0.00,27.2,33.46,1009.01
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,000,10-13-2019,04:00:00,0.0,0.00,98,25.8,10.00,1007.46,0.00,26.1,33.23,1008.57
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,000,10-13-2019,04:00:00,0.0,0.01,94,25.9,8.00,1008.59,0.00,27.0,33.34,1008.89
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,000,10-13-2019,04:00:00,0.0,0.00,82,24.0,10.00,1007.84,0.00,27.3,29.77,1008.33
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,100,10-13-2019,04:00:00,7.4,0.01,91,24.6,9.00,1007.49,0.00,26.2,30.94,1008.90
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,000,10-13-2019,04:00:00,0.0,0.90,98,23.4,10.00,1003.33,0.00,23.7,28.77,1011.46
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,000,10-13-2019,04:00:00,0.0,4.50,97,25.8,2.00,1008.47,0.00,26.4,33.27,1008.75
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,000,10-13-2019,04:00:00,0.0,15.90,90,25.4,10.00,1005.50,0.00,27.3,32.53,1008.63
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,000,10-13-2019,04:00:00,0.0,24.70,93,25.2,10.00,1001.81,0.00,26.5,32.07,1008.78
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,000,10-13-2019,04:00:00,0.0,0.00,97,25.0,.80,1003.78,0.00,25.6,31.71,1009.42
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,000,10-13-2019,04:00:00,0.0,0.00,93,25.4,5.00,1008.75,0.00,26.5,32.35,1010.02
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,000,10-13-2019,04:00:00,0.0,0.10,96,26.7,11.00,1007.71,0.00,27.4,35.02,1008.15
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,000,10-13-2019,04:00:00,0.0,0.00,95,23.7,8.00,996.57,0.00,24.6,29.33,1008.95
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,000,10-13-2019,04:00:00,0.0,0.00,90,25.1,8.00,1007.90,0.00,27.0,31.94,1008.61
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,010,10-13-2019,04:00:00,7.4,1.10,92,24.6,8.00,1006.64,0.00,26.0,30.84,1009.09
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,000,10-13-2019,04:00:00,0.0,0.20,92,25.1,10.00,1008.18,0.00,26.5,31.79,1008.71
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,000,10-13-2019,04:00:00,0.0,1.50,90,24.1,6.00,1003.58,0.00,25.8,29.93,1008.76
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,000,10-13-2019,04:00:00,0.0,0.00,94,23.7,7.00,1008.59,0.00,24.7,29.25,1009.01
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,000,10-13-2019,04:00:00,0.0,0.00,95,23.9,8.00,1006.53,0.00,24.8,29.69,1009.33
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,000,10-13-2019,04:00:00,0.0,0.00,91,24.0,10.00,1008.06,0.00,25.6,29.82,1008.85
48501,TRAD,ตราด,ตราด,11.76667,102.88333,100,10-13-2019,04:00:00,7.4,0.00,94,23.5,6.00,1008.70,0.00,24.5,28.89,1009.16
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,000,10-13-2019,04:00:00,0.0,0.00,93,23.3,7.00,1008.25,0.00,24.5,28.63,1008.94
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,000,10-13-2019,04:00:00,0.0,0.00,93,23.0,6.00,1007.41,0.00,24.2,28.10,1008.96
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,000,10-13-2019,04:00:00,0.0,10.30,92,23.2,10.00,1008.29,0.00,24.5,28.37,1009.22
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,300,10-13-2019,04:00:00,5.6,0.00,92,25.0,10.00,1008.39,0.00,26.4,31.60,1009.08
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,000,10-13-2019,04:00:00,0.0,0.00,96,23.8,7.00,1008.39,0.00,24.5,29.41,1009.19
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,000,10-13-2019,04:00:00,0.0,0.00,93,24.4,10.00,1008.46,0.00,25.7,30.54,1009.09
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,000,10-13-2019,04:00:00,0.0,0.30,97,24.4,8.00,1008.44,0.00,25.0,30.58,1008.85
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,000,10-13-2019,04:00:00,0.0,0.00,98,23.4,5.00,1006.50,0.00,23.7,28.77,1010.77
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,000,10-13-2019,04:00:00,0.0,0.00,98,24.1,5.00,1006.85,0.00,24.4,30.02,1008.48
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,000,10-13-2019,04:00:00,0.0,1.40,96,23.3,7.00,1005.83,0.00,24.0,28.53,1009.35
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,250,10-13-2019,04:00:00,3.7,0.01,98,24.9,7.00,1007.60,0.01,25.2,31.49,1008.96
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,000,10-13-2019,04:00:00,0.0,7.10,98,24.8,10.00,1007.69,0.00,25.1,31.31,1008.58
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,000,10-13-2019,04:00:00,0.0,0.00,96,23.8,10.00,1005.28,0.00,24.5,29.41,1008.87
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,000,10-13-2019,04:00:00,0.0,0.00,88,24.3,10.00,1008.41,0.00,26.5,30.43,1008.85
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,000,10-13-2019,04:00:00,0.0,0.00,91,24.3,9.00,1006.79,0.00,25.9,30.38,1007.79
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,090,10-13-2019,04:00:00,11.1,11.40,96,23.9,10.00,1007.87,0.20,24.6,29.59,1008.70
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,000,10-13-2019,04:00:00,0.0,4.10,97,23.9,8.00,1007.58,0.00,24.5,29.67,1009.41
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,200,10-13-2019,04:00:00,3.7,0.00,87,23.9,10.00,1008.16,0.00,26.2,29.60,1008.91
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,990,10-13-2019,04:00:00,3.7,1.60,99,24.2,10.00,1005.51,0.00,24.4,30.28,1009.55
48570,SATUN,สตูล,สตูล,6.65000,100.08333,000,10-13-2019,04:00:00,0.0,0.00,96,25.3,10.00,1008.72,0.00,26.0,32.20,1009.40
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,000,10-13-2019,04:00:00,0.0,3.40,94,23.6,10.00,1008.04,0.00,24.6,29.07,1009.17
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,000,10-13-2019,04:00:00,0.0,3.10,97,23.9,10.00,1006.66,3.10,24.3,29.57,1009.61
