WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,StationPressure,WindSpeed,Rainfall24Hr,VaporPressure,WindDirection,LandVisibility,Rainfall,MeanSeaLevelPressure,DewPoint,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,31.0,07-10-2019,13:00:00,975.63,0.0,1.80,30.90,000,12.00,0.00,1006.02,24.6,69
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,19.3,07-10-2019,13:00:00,844.44,9.3,7.20,20.62,270,8.00,0.00,1005.16,18.0,92
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,29.1,07-10-2019,13:00:00,962.58,11.1,0.60,25.37,230,10.00,0.00,1005.65,21.3,63
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,29.0,07-10-2019,13:00:00,960.67,5.6,0.80,27.03,210,15.00,0.00,1005.63,22.4,68
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,31.3,07-10-2019,13:00:00,968.55,0.0,3.20,29.24,000,10.00,0.00,1005.45,23.7,64
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,30.5,07-10-2019,13:00:00,961.56,5.6,0.20,28.50,190,9.00,0.00,1005.88,23.2,65
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,31.5,07-10-2019,13:00:00,980.77,7.4,1.60,27.68,180,10.00,0.00,1007.03,22.8,60
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,30.9,07-10-2019,13:00:00,985.53,9.3,0.00,28.73,210,12.00,0.00,1006.97,23.4,64
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,28.5,07-10-2019,13:00:00,983.47,0.0,2.80,31.54,000,8.00,0.40,1007.41,24.9,81
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,30.4,07-10-2019,13:00:00,972.16,3.7,1.70,26.41,280,10.00,0.00,1006.15,22.0,61
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,33.5,07-10-2019,13:00:00,979.22,0.0,0.00,25.76,000,10.00,0.00,1006.08,21.6,50
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,32.2,07-10-2019,13:00:00,972.60,9.3,0.00,25.20,240,10.00,0.00,1005.46,21.2,52
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,33.1,07-10-2019,13:00:00,987.65,11.1,0.00,26.64,270,15.00,0.00,1005.74,22.1,53
48331,NAN,น่าน,น่าน,18.77972,100.77778,32.0,07-10-2019,13:00:00,983.67,0.0,0.40,27.00,000,10.00,0.00,1006.05,22.3,57
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,30.9,07-10-2019,13:00:00,976.91,3.7,1.40,27.08,240,12.00,0.00,1006.33,22.4,61
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,32.5,07-10-2019,13:00:00,971.20,0.0,0.00,25.49,000,7.00,0.00,1005.94,21.4,52
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,34.3,07-10-2019,13:00:00,975.88,5.6,0.00,29.33,270,15.00,0.00,1004.77,23.7,54
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,32.8,07-10-2019,13:00:00,1000.84,18.5,0.00,28.56,230,10.00,0.00,1008.01,23.3,57
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,32.7,07-10-2019,13:00:00,985.78,7.4,0.00,30.94,190,15.00,0.00,1005.26,24.6,63
48353,LOEI,เลย,เลย,17.45000,101.73333,34.8,07-10-2019,13:00:00,977.32,18.5,0.00,24.15,280,17.00,0.00,1005.17,20.5,43
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,33.0,07-10-2019,13:00:00,986.12,9.3,0.00,27.84,240,15.00,0.00,1005.86,22.9,55
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,32.7,07-10-2019,13:00:00,984.81,7.4,0.00,30.07,240,15.00,0.00,1006.10,24.1,61
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,32.8,07-10-2019,13:00:00,986.12,3.7,3.10,29.42,300,15.00,0.00,1005.19,23.8,59
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,32.7,07-10-2019,13:00:00,989.64,5.6,0.00,30.65,220,12.00,0.00,1006.05,24.5,62
