WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,StationPressure,WindSpeed,Rainfall24Hr,VaporPressure,WindDirection,LandVisibility,Rainfall,MeanSeaLevelPressure,DewPoint,RelativeHumidity
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,33.6,07-10-2019,13:00:00,989.03,7.4,0.00,31.97,120,12.00,0.00,1006.05,25.2,61
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,33.5,07-10-2019,13:00:00,978.80,11.1,0.00,26.04,240,15.00,0.00,1003.95,21.8,50
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,33.0,07-10-2019,13:00:00,1002.23,0.0,0.00,29.25,000,10.00,0.00,1007.91,23.7,58
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,32.8,07-10-2019,13:00:00,1000.91,9.3,0.00,28.85,200,12.00,0.00,1006.98,23.4,58
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,31.0,07-10-2019,13:00:00,991.47,0.0,0.00,28.09,000,10.00,0.00,1007.70,23.0,63
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,28.5,07-10-2019,13:00:00,984.80,7.4,11.60,28.78,270,10.00,0.10,1007.01,23.4,74
48376,TAK,ตาก,ตาก,16.87833,99.14333,30.7,07-10-2019,13:00:00,993.77,14.8,1.20,28.89,280,8.00,0.00,1007.99,23.5,65
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,31.0,07-10-2019,13:00:00,991.09,0.0,0.00,29.48,000,12.00,0.00,1007.26,23.8,66
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,32.0,07-10-2019,13:00:00,1002.65,5.6,0.01,30.65,190,8.00,0.01,1007.80,24.5,64
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,31.8,07-10-2019,13:00:00,993.44,3.7,3.10,31.68,210,12.00,0.00,1006.42,25.0,67
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,32.8,07-10-2019,13:00:00,998.14,3.7,0.00,29.13,220,11.00,0.00,1007.29,23.6,59
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,34.2,07-10-2019,13:00:00,984.55,13.0,5.00,25.74,270,10.00,0.00,1005.70,21.6,48
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,36.5,07-10-2019,13:00:00,989.13,11.1,0.00,26.37,230,12.00,0.00,1006.08,22.0,43
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,31.0,07-10-2019,13:00:00,990.50,0.0,0.00,30.33,000,12.00,0.00,1006.11,24.3,68
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,35.0,07-10-2019,13:00:00,986.68,9.3,0.00,27.32,190,10.00,0.00,1005.04,22.5,49
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,27.8,07-10-2019,13:00:00,955.35,0.0,1.50,24.64,000,11.00,0.00,1006.18,20.9,66
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,31.3,07-10-2019,13:00:00,1003.74,0.0,7.70,30.65,000,8.00,0.00,1007.64,24.5,67
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,23.4,07-10-2019,13:00:00,913.31,24.1,6.60,25.03,210,6.00,0.00,1007.92,21.1,87
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,34.5,07-10-2019,13:00:00,990.13,0.0,0.00,28.88,000,10.00,0.00,1005.71,23.5,53
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,32.9,07-10-2019,13:00:00,1003.73,7.4,0.01,29.91,160,10.00,0.01,1007.69,24.0,60
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,31.5,07-10-2019,13:00:00,998.30,3.7,0.30,28.23,220,9.00,0.00,1008.84,23.1,61
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,33.6,07-10-2019,13:00:00,1005.76,7.4,0.00,25.95,150,10.00,0.00,1007.65,21.7,50
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,33.2,07-10-2019,13:00:00,986.13,18.5,0.00,27.95,250,12.00,0.00,1006.56,22.9,55
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,34.7,07-10-2019,13:00:00,988.49,18.5,0.00,25.88,240,10.00,0.00,1005.69,21.7,47
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,35.1,07-10-2019,13:00:00,989.57,9.3,0.00,26.67,220,10.00,0.00,1005.28,22.2,47
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,32.6,07-10-2019,13:00:00,993.27,0.0,7.00,28.45,000,10.00,0.00,1007.05,23.2,58
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,32.5,07-10-2019,13:00:00,992.35,0.0,47.60,31.11,000,10.00,0.00,1006.91,24.7,64
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,32.4,07-10-2019,13:00:00,992.58,11.1,6.40,30.03,240,10.00,0.00,1006.99,24.1,62
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,34.3,07-10-2019,13:00:00,1004.43,0.0,0.00,27.05,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",10.00,0.00,1007.38,22.4,50
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,32.3,07-10-2019,13:00:00,999.59,0.0,3.40,30.12,000,10.00,0.00,1007.40,24.2,62
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,33.1,07-10-2019,13:00:00,1007.21,18.5,0.00,27.47,220,8.00,0.00,1008.30,22.6,54
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,34.5,07-10-2019,13:00:00,992.30,0.0,1.30,28.02,000,8.00,0.00,1006.62,23.0,51
48417,NAKORNNAYOK,นครนายก,นครนายก,{'@attributes': {'Unit': 'decimal degree'}},{'@attributes': {'Unit': 'decimal degree'}},22.8,07-10-2019,13:00:00,873.51,5.6,0.20,24.56,250,8.00,0.00,1007.14,20.8,89
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,34.5,07-10-2019,13:00:00,1002.01,3.7,0.00,31.22,180,10.00,0.00,1007.75,24.8,57
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,34.0,07-10-2019,13:00:00,1007.53,9.3,11.10,35.92,300,11.00,0.00,1008.31,27.1,68
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,31.5,07-10-2019,13:00:00,1008.11,14.8,17.00,30.49,230,10.00,0.00,1008.55,24.4,66
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,30.8,07-10-2019,13:00:00,997.64,0.0,0.10,31.06,000,7.00,0.10,1008.82,24.7,70
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,34.4,07-10-2019,13:00:00,1006.92,3.7,0.00,27.81,190,12.00,0.00,1007.91,22.8,51
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,33.5,07-10-2019,13:00:00,1006.37,9.3,1.80,28.84,190,12.00,0.00,1008.16,23.4,56
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,35.5,07-10-2019,13:00:00,1007.43,0.0,0.00,27.19,000,9.00,0.00,1008.18,22.5,47
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,31.9,07-10-2019,13:00:00,1008.03,14.8,18.80,29.31,200,10.00,0.00,1008.73,23.7,62
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,33.5,07-10-2019,13:00:00,1007.68,5.6,0.00,33.25,200,8.00,0.00,1008.37,25.8,64
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,34.6,07-10-2019,13:00:00,986.35,11.1,0.00,29.09,280,10.00,0.00,1006.99,23.6,53
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,33.2,07-10-2019,13:00:00,990.71,13.0,6.70,27.95,240,9.00,0.00,1007.09,22.9,55
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,34.0,07-10-2019,13:00:00,991.32,7.4,10.60,30.46,230,11.00,0.00,1007.39,24.3,57
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,33.5,07-10-2019,13:00:00,985.74,3.7,0.00,25.49,260,10.00,0.00,1007.14,21.4,49
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,30.2,07-10-2019,13:00:00,965.03,22.2,0.00,25.78,220,14.00,0.00,1007.86,21.6,60
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,33.2,07-10-2019,13:00:00,987.28,11.1,0.00,27.67,240,12.00,0.00,1007.43,22.8,54
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,34.0,07-10-2019,13:00:00,988.19,14.8,1.60,29.58,260,10.00,0.00,1008.57,23.9,56
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,31.6,07-10-2019,13:00:00,1007.84,22.2,0.10,29.55,170,12.00,0.00,1008.26,23.8,64
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,32.2,07-10-2019,13:00:00,1008.03,5.6,3.50,32.23,260,10.00,0.00,1009.43,25.3,67
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,32.1,07-10-2019,13:00:00,1003.34,3.7,42.90,33.20,300,9.00,0.00,1008.20,25.8,69
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,35.2,07-10-2019,13:00:00,1004.80,3.7,0.00,28.88,140,12.00,0.00,1008.01,23.5,51
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,34.3,07-10-2019,13:00:00,1007.00,3.7,0.00,30.21,250,10.00,0.00,1008.08,24.2,56
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,32.5,07-10-2019,13:00:00,1008.33,14.8,20.10,30.24,220,10.00,0.00,1008.63,24.2,62
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,32.3,07-10-2019,13:00:00,1007.39,7.4,7.70,30.12,240,10.00,0.00,1008.07,24.2,62
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,33.0,07-10-2019,13:00:00,1007.79,3.7,10.20,29.25,160,10.00,0.00,1008.27,23.7,58
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,32.8,07-10-2019,13:00:00,1006.75,13.0,8.80,27.72,210,10.00,0.00,1008.14,22.8,56
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,30.0,07-10-2019,13:00:00,1007.25,16.7,0.90,28.64,220,10.00,0.00,1008.92,23.3,68
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,32.0,07-10-2019,13:00:00,1002.48,5.6,0.00,25.91,230,10.00,0.00,1010.38,21.7,54
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,33.3,07-10-2019,13:00:00,1008.57,13.0,2.00,30.45,270,12.00,0.00,1008.85,24.3,60
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,31.5,07-10-2019,13:00:00,1005.81,5.6,0.00,30.49,230,12.00,0.00,1008.90,24.4,66
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,31.6,07-10-2019,13:00:00,1002.05,13.0,0.00,30.12,270,12.00,0.00,1008.90,24.2,65
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,33.3,07-10-2019,13:00:00,1003.06,9.3,0.00,29.58,240,8.00,0.00,1008.55,23.9,58
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,31.8,07-10-2019,13:00:00,999.62,11.1,0.00,30.24,230,10.00,0.00,1008.80,24.2,64
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,34.0,07-10-2019,13:00:00,1007.98,7.4,0.00,29.87,270,14.00,0.00,1009.22,24.0,56
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,34.5,07-10-2019,13:00:00,1008.17,22.2,0.00,32.73,150,11.00,0.00,1008.59,25.5,60
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,33.6,07-10-2019,13:00:00,996.47,14.8,0.00,27.34,300,10.00,0.00,1008.48,22.6,53
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,31.8,07-10-2019,13:00:00,1008.03,11.1,0.30,32.27,120,10.00,0.00,1008.73,25.3,69
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,33.1,07-10-2019,13:00:00,1006.68,11.1,0.00,28.60,250,10.00,0.00,1009.07,23.3,57
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,30.5,07-10-2019,13:00:00,1009.37,11.1,0.00,32.17,270,10.00,0.00,1009.89,25.3,74
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,32.4,07-10-2019,13:00:00,1003.58,3.7,0.00,30.61,220,12.00,0.00,1008.65,24.4,63
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,32.6,07-10-2019,13:00:00,1008.69,0.0,13.10,31.02,000,9.00,0.00,1009.09,24.7,63
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,31.7,07-10-2019,13:00:00,1006.82,20.4,27.20,30.32,210,8.00,0.00,1009.55,24.3,65
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,32.7,07-10-2019,13:00:00,1008.27,9.3,0.00,24.52,270,10.00,0.00,1009.04,20.8,50
48501,TRAD,ตราด,ตราด,11.76667,102.88333,32.2,07-10-2019,13:00:00,1008.92,5.6,4.10,33.12,310,8.00,0.00,1009.37,25.8,69
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,33.0,07-10-2019,13:00:00,1008.75,0.0,0.80,27.84,000,10.00,0.00,1009.42,22.9,55
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,32.8,07-10-2019,13:00:00,1008.24,3.7,0.00,28.56,270,10.00,0.00,1009.75,23.3,57
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,32.1,07-10-2019,13:00:00,1009.36,7.4,0.00,31.15,240,10.00,0.00,1010.26,24.7,65
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,31.9,07-10-2019,13:00:00,1009.24,11.1,0.00,31.60,170,10.00,0.00,1009.92,25.0,67
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,34.3,07-10-2019,13:00:00,1008.84,0.0,0.00,31.09,000,10.00,0.00,1009.62,24.7,57
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,33.6,07-10-2019,13:00:00,1008.02,11.1,0.00,29.62,090,12.00,0.00,1008.64,23.9,57
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,34.9,07-10-2019,13:00:00,1008.72,7.4,0.01,31.49,120,10.00,0.00,1009.12,24.9,56
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,34.6,07-10-2019,13:00:00,1006.54,7.4,0.00,29.38,280,8.00,0.00,1010.66,23.7,53
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,34.4,07-10-2019,13:00:00,1007.70,7.4,0.00,26.41,180,12.00,0.00,1009.27,22.0,49
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,33.5,07-10-2019,13:00:00,1005.88,3.7,0.00,27.43,270,12.00,0.00,1009.29,22.6,53
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,33.5,07-10-2019,13:00:00,1005.94,0.0,1.20,29.70,000,10.00,0.00,1007.26,23.9,57
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,31.4,07-10-2019,13:00:00,1009.22,11.1,0.00,32.01,270,10.00,0.00,1010.09,25.2,70
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,32.5,07-10-2019,13:00:00,1006.09,9.3,1.50,29.09,240,10.00,0.00,1009.59,23.6,59
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,34.2,07-10-2019,13:00:00,1008.90,7.4,0.00,33.28,120,10.00,0.00,1009.32,25.8,62
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,30.7,07-10-2019,13:00:00,1008.45,0.0,0.00,32.01,000,9.00,0.00,1009.43,25.2,72
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,33.9,07-10-2019,13:00:00,1009.25,9.3,0.00,32.02,210,10.00,0.00,1010.05,25.2,61
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,34.2,07-10-2019,13:00:00,1007.67,9.3,0.00,29.71,200,14.00,0.00,1009.44,23.9,55
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,31.7,07-10-2019,13:00:00,1008.36,11.1,1.30,30.90,080,12.00,0.00,1009.10,24.6,66
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,35.1,07-10-2019,13:00:00,1005.05,7.4,0.00,26.67,990,10.00,0.00,1008.94,22.2,47
48570,SATUN,สตูล,สตูล,6.65000,100.08333,33.5,07-10-2019,13:00:00,1008.88,0.0,0.00,30.28,000,10.00,0.00,1009.55,24.2,59
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,34.0,07-10-2019,13:00:00,1007.45,0.0,0.00,27.86,000,10.00,0.00,1008.54,22.9,52
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,35.0,07-10-2019,13:00:00,1006.02,0.0,0.00,29.63,000,11.00,0.00,1008.86,23.9,53
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,33.4,07-10-2019,13:00:00,1008.31,0.0,1.80,31.83,000,10.00,0.00,1008.98,25.1,62
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,33.2,07-10-2019,13:00:00,1005.70,5.6,0.00,32.30,140,10.00,0.00,1009.75,25.3,63
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,32.9,07-10-2019,13:00:00,1008.68,11.1,0.00,27.92,060,12.00,0.00,1009.26,22.9,56
