WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,WindDirection,MeanSeaLevelPressure,DewPoint,Rainfall,LandVisibility,WindSpeed,VaporPressure,AirTemperature,RelativeHumidity,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,970.23,08-05-2019,10:00:00,000,1000.85,24.8,1.70,6.00,0.0,31.38,27.0,88,18.10
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,839.83,08-05-2019,10:00:00,120,999.84,19.0,4.80,.10,16.7,21.95,19.0,100,61.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,959.26,08-05-2019,10:00:00,160,1002.86,23.0,1.50,8.00,7.4,28.11,24.5,91,72.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,957.00,08-05-2019,10:00:00,000,1002.54,23.4,0.80,5.00,0.0,28.70,24.1,96,68.60
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,971.07,08-05-2019,10:00:00,000,1008.93,20.7,1.70,7.00,0.0,24.37,24.5,79,76.60
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,957.77,08-05-2019,10:00:00,110,1002.75,23.7,0.10,6.00,11.1,29.26,25.0,92,50.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,977.49,08-05-2019,10:00:00,000,1004.18,24.4,2.20,7.00,0.0,30.63,25.6,93,89.60
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,980.71,08-05-2019,10:00:00,000,1002.37,24.4,0.40,7.00,0.0,30.59,26.3,89,17.70
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,977.81,08-05-2019,10:00:00,000,1001.88,24.2,3.40,5.00,0.0,30.23,25.1,95,12.70
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,967.97,08-05-2019,10:00:00,000,1002.55,23.4,7.10,4.00,0.0,28.78,24.0,97,21.30
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,975.53,08-05-2019,10:00:00,000,1003.14,23.8,17.70,5.00,0.0,29.39,24.2,97,59.40
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,968.41,08-05-2019,10:00:00,000,1002.00,23.9,16.80,6.00,0.0,29.57,24.3,97,34.30
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,984.68,08-05-2019,10:00:00,000,1003.12,24.3,4.20,10.00,0.0,30.43,26.5,88,16.70
48331,NAN,น่าน,น่าน,18.77972,100.77778,980.96,08-05-2019,10:00:00,000,1003.79,22.3,0.20,10.00,0.0,26.87,25.4,83,52.10
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,974.12,08-05-2019,10:00:00,000,1004.00,23.4,0.70,7.00,0.0,28.85,25.5,88,48.50
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,967.61,08-05-2019,10:00:00,000,1003.20,23.6,13.00,4.00,0.0,29.13,24.2,97,38.20
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,974.50,08-05-2019,10:00:00,140,1004.23,24.0,0.60,4.00,5.6,29.80,25.3,92,5.50
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,996.75,08-05-2019,10:00:00,000,1004.05,23.9,0.01,7.00,0.0,29.60,26.2,87,14.70
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,984.70,08-05-2019,10:00:00,220,1004.39,24.7,0.00,20.00,3.7,31.05,29.1,77,1.90
48353,LOEI,เลย,เลย,17.45000,101.73333,975.82,08-05-2019,10:00:00,160,1004.45,23.5,0.20,4.00,5.6,28.97,26.0,86,4.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,984.58,08-05-2019,10:00:00,100,1004.51,24.1,0.00,15.00,5.6,30.08,29.6,73,0.20
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,983.75,08-05-2019,10:00:00,200,1005.35,24.1,0.00,15.00,7.4,30.01,28.0,79,1.40
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,985.25,08-05-2019,10:00:00,230,1004.56,23.8,0.00,18.00,7.4,29.54,28.9,74,2.40
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,989.06,08-05-2019,10:00:00,050,1005.69,24.6,0.00,12.00,3.7,30.90,28.6,79,12.80
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,988.21,08-05-2019,10:00:00,270,1005.49,24.1,0.00,10.00,5.6,30.07,28.6,77,13.20
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,977.47,08-05-2019,10:00:00,200,1003.00,23.4,0.00,15.00,5.6,28.78,28.5,74,0.01
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,997.43,08-05-2019,10:00:00,140,1003.19,26.1,1.60,6.00,9.3,33.74,27.2,94,16.50
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,997.39,08-05-2019,10:00:00,000,1003.55,25.6,1.20,8.00,0.0,32.77,27.0,92,14.80
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,988.69,08-05-2019,10:00:00,180,1005.03,23.6,0.00,10.00,9.3,29.19,28.0,77,3.80
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,979.66,08-05-2019,10:00:00,140,1001.77,23.9,0.00,10.00,14.8,29.57,28.2,77,53.90
48376,TAK,ตาก,ตาก,16.87833,99.14333,988.96,08-05-2019,10:00:00,100,1003.31,24.7,0.70,8.00,5.6,31.16,26.6,90,13.70
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,986.31,08-05-2019,10:00:00,000,1002.67,24.6,1.00,6.00,0.0,30.84,26.0,92,10.70
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,998.91,08-05-2019,10:00:00,120,1004.11,23.9,0.00,10.00,9.3,29.74,28.0,79,6.80
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,989.94,08-05-2019,10:00:00,000,1003.02,24.4,0.00,12.00,0.0,30.59,28.3,80,15.70
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,994.05,08-05-2019,10:00:00,150,1003.33,24.8,0.10,10.00,7.4,31.22,27.2,87,4.80
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,983.06,08-05-2019,10:00:00,230,1004.62,22.4,0.00,10.00,11.1,27.06,28.0,72,0.01
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,986.84,08-05-2019,10:00:00,230,1004.18,23.9,0.00,12.00,11.1,29.74,29.0,74,0.01
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,988.95,08-05-2019,10:00:00,000,1004.61,23.6,0.00,12.00,0.0,29.16,29.7,70,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,985.02,08-05-2019,10:00:00,170,1003.74,24.5,0.00,10.00,5.6,30.82,28.7,78,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,952.53,08-05-2019,10:00:00,000,1004.02,21.8,1.60,10.00,0.0,26.17,23.2,92,14.50
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,999.86,08-05-2019,10:00:00,180,1003.79,25.0,0.01,8.00,14.8,31.62,28.4,82,0.01
