WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,LandVisibility,MeanSeaLevelPressure,StationPressure,Rainfall24Hr,VaporPressure,AirTemperature,WindSpeed,Rainfall,DewPoint,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,000,09-07-2019,16:00:00,3.00,1005.60,974.93,3.40,30.01,28.0,0.0,2.00,24.1,79
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,280,09-07-2019,16:00:00,8.00,1000.18,843.14,0.00,22.51,25.3,5.6,0.00,19.4,70
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,000,09-07-2019,16:00:00,15.00,1002.10,959.67,6.50,29.21,32.7,0.0,0.00,23.7,59
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,000,09-07-2019,16:00:00,15.00,1002.10,957.92,25.80,28.92,33.4,0.0,0.00,23.5,56
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,160,09-07-2019,16:00:00,12.00,1003.74,967.03,0.00,32.36,32.4,14.8,0.00,25.4,67
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,180,09-07-2019,16:00:00,15.00,1002.52,958.55,0.00,27.27,32.0,9.3,0.00,22.5,57
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,240,09-07-2019,16:00:00,12.00,1004.25,977.98,0.00,31.39,30.4,3.7,0.00,24.9,72
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,000,09-07-2019,16:00:00,13.00,1004.94,983.46,1.20,34.00,29.7,0.0,1.20,26.2,82
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,09-07-2019,16:00:00,10.00,1006.53,982.61,3.80,30.98,28.5,0.0,2.00,24.6,80
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,220,09-07-2019,16:00:00,10.00,1004.01,970.29,0.00,28.41,32.3,5.6,0.00,23.2,59
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,000,09-07-2019,16:00:00,10.00,1004.75,977.44,2.00,33.37,28.0,0.0,2.00,25.9,88
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,000,09-07-2019,16:00:00,12.00,1003.30,970.57,0.40,27.52,32.7,0.0,0.00,22.7,56
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,180,09-07-2019,16:00:00,15.00,1004.40,986.13,0.20,31.77,29.6,1.9,0.20,25.0,77
48331,NAN,น่าน,น่าน,18.77972,100.77778,040,09-07-2019,16:00:00,10.00,1003.81,981.42,0.00,31.31,31.2,5.6,0.00,24.8,69
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,000,09-07-2019,16:00:00,12.00,1004.03,974.59,0.00,31.72,30.0,0.0,0.00,25.0,75
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,000,09-07-2019,16:00:00,8.00,1004.71,969.73,3.00,33.17,30.0,0.0,3.00,25.8,78
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,290,09-07-2019,16:00:00,17.00,1002.63,973.76,0.00,30.91,33.8,9.3,0.00,24.6,59
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,190,09-07-2019,16:00:00,11.00,1004.70,997.57,0.00,30.78,33.6,5.6,0.00,24.5,59
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,260,09-07-2019,16:00:00,20.00,1002.79,983.50,0.40,33.54,35.0,9.3,0.00,26.0,60
48353,LOEI,เลย,เลย,17.45000,101.73333,330,09-07-2019,16:00:00,17.00,1003.15,975.30,0.00,30.58,34.2,7.4,0.00,24.4,57
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,220,09-07-2019,16:00:00,15.00,1003.40,983.80,7.10,28.96,34.4,9.3,0.00,23.5,53
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,290,09-07-2019,16:00:00,15.00,1003.50,982.29,0.00,30.61,33.1,7.4,0.00,24.4,61
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,250,09-07-2019,16:00:00,15.00,1003.48,984.46,0.00,29.46,33.1,7.4,0.00,23.8,58
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,280,09-07-2019,16:00:00,12.00,1003.84,987.49,1.30,30.24,33.2,1.9,0.00,24.2,59
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,260,09-07-2019,16:00:00,13.00,1002.60,977.53,9.00,31.34,34.0,7.4,0.00,24.8,59
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,260,09-07-2019,16:00:00,10.00,1004.04,998.41,0.00,33.03,34.5,7.4,0.00,25.7,60
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,000,09-07-2019,16:00:00,12.00,1004.41,998.36,0.00,32.00,33.2,0.0,0.00,25.2,63
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,000,09-07-2019,16:00:00,12.00,1005.12,989.00,0.00,28.41,32.3,0.0,0.00,23.2,59
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,240,09-07-2019,16:00:00,10.00,1005.34,983.09,11.50,28.35,27.4,7.4,3.30,23.2,78
48376,TAK,ตาก,ตาก,16.87833,99.14333,260,09-07-2019,16:00:00,10.00,1006.17,991.93,0.00,27.80,29.7,18.5,0.00,22.8,67
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,250,09-07-2019,16:00:00,12.00,1004.63,988.53,0.00,29.07,31.5,7.4,0.00,23.6,63
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,240,09-07-2019,16:00:00,10.00,1004.99,999.86,0.00,32.58,32.5,5.6,0.00,25.5,67
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,000,09-07-2019,16:00:00,12.00,1004.05,990.95,1.30,33.33,28.4,0.0,1.30,25.9,86
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,000,09-07-2019,16:00:00,12.00,1004.79,995.66,0.00,31.48,32.4,0.0,0.00,24.9,65
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,180,09-07-2019,16:00:00,10.00,1004.74,983.10,14.40,32.49,27.0,3.7,6.00,25.4,91
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,000,09-07-2019,16:00:00,10.00,1004.14,986.95,1.00,30.49,31.5,0.0,0.00,24.4,66
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,000,09-07-2019,16:00:00,11.00,1003.73,988.07,1.40,33.74,29.3,0.0,1.40,26.1,83
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,000,09-07-2019,16:00:00,7.00,1003.94,985.12,2.00,32.61,27.2,0.0,1.60,25.5,90
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,250,09-07-2019,16:00:00,10.00,1008.81,957.88,17.20,23.97,28.0,13.0,0.00,20.4,63
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,140,09-07-2019,16:00:00,10.00,1004.78,1000.90,2.60,32.58,32.5,7.4,0.00,25.5,67
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,250,09-07-2019,16:00:00,1.20,1007.30,912.12,6.60,23.67,21.3,25.9,1.00,20.2,94
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,240,09-07-2019,16:00:00,10.00,1003.79,988.15,0.00,33.01,32.7,5.6,0.00,25.7,67
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,200,09-07-2019,16:00:00,12.00,1005.03,1001.10,0.01,29.29,34.0,9.3,0.00,23.7,55
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,220,09-07-2019,16:00:00,8.00,1005.79,995.33,2.80,29.58,32.6,5.6,0.00,23.9,60
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,000,09-07-2019,16:00:00,10.00,1005.36,1003.47,7.90,29.66,32.5,0.0,0.00,23.9,61
