WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,DewPoint,RelativeHumidity,StationPressure,WindDirection,VaporPressure,MeanSeaLevelPressure,Rainfall24Hr,MinimumTemperature,LandVisibility,AirTemperature,WindSpeed
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,10-08-2019,07:00:00,19.3,92,851.68,180,22.42,1013.02,0.00,18.7,8.00,20.6,11.1
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,10-08-2019,07:00:00,20.5,89,969.46,000,24.17,1013.84,0.00,21.1,6.00,22.4,0.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,10-08-2019,07:00:00,20.0,95,967.13,000,23.39,1013.68,0.00,19.5,12.00,20.8,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,10-08-2019,07:00:00,20.3,99,975.87,000,23.86,1014.44,0.00,20.0,8.00,20.5,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,10-08-2019,07:00:00,21.2,95,968.10,000,25.21,1014.04,0.00,20.8,6.00,22.0,0.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,10-08-2019,07:00:00,21.2,95,986.92,000,25.21,1014.20,4.60,21.6,10.00,22.0,0.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1.70,10-08-2019,07:00:00,21.6,97,990.75,000,25.85,1012.94,4.70,21.9,6.00,22.1,0.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,10-08-2019,07:00:00,22.4,96,988.74,000,27.16,1013.24,0.00,21.4,5.00,23.2,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,10-08-2019,07:00:00,21.6,91,978.47,000,25.76,1013.53,0.01,22.9,10.00,23.1,0.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,10-08-2019,07:00:00,22.7,98,985.66,000,27.57,1013.67,0.00,22.5,.50,23.0,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,10-08-2019,07:00:00,21.7,95,979.19,000,25.93,1013.35,0.00,22.4,7.00,22.6,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,10-08-2019,07:00:00,22.2,96,994.15,000,26.83,1012.98,0.00,22.2,3.00,23.0,0.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,10-08-2019,07:00:00,21.6,92,990.47,000,25.84,1013.70,0.00,22.1,10.00,23.0,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,10-08-2019,07:00:00,20.8,94,983.30,000,24.58,1013.83,0.00,21.3,10.00,21.9,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,10-08-2019,07:00:00,21.0,97,977.67,000,24.91,1013.97,0.60,21.3,4.00,21.5,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,10-08-2019,07:00:00,21.5,97,982.64,000,25.69,1012.95,0.00,21.0,2.00,22.0,0.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,10-08-2019,07:00:00,22.9,92,1005.17,000,27.85,1012.58,0.00,24.2,7.00,24.2,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,10-08-2019,07:00:00,23.3,88,992.31,340,28.59,1012.40,0.00,24.6,6.00,25.5,3.7
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,10-08-2019,07:00:00,20.6,92,984.01,000,24.27,1013.28,0.00,21.7,3.00,22.0,0.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,10-08-2019,07:00:00,23.5,94,992.29,270,28.89,1012.73,0.00,23.3,8.00,24.5,3.7
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,10-08-2019,07:00:00,22.1,90,990.75,000,26.58,1012.81,0.00,22.4,7.00,23.9,0.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,10-08-2019,07:00:00,22.9,90,992.65,000,27.95,1012.38,0.10,23.2,8.00,24.7,0.0
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,10-08-2019,07:00:00,22.7,90,995.85,000,27.60,1012.83,2.00,22.7,9.00,24.5,0.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,10-08-2019,07:00:00,22.2,96,995.07,000,26.83,1012.80,20.20,20.5,6.00,23.0,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,10-08-2019,07:00:00,22.8,96,986.16,000,27.75,1012.37,0.00,23.2,8.00,23.4,0.0
