WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,WindDirection,WindSpeed,Rainfall,LandVisibility,VaporPressure,MeanSeaLevelPressure,DewPoint,AirTemperature,Rainfall24Hr,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,973.95,08-03-2019,13:00:00,180,1.9,0.00,15.00,30.03,1004.39,24.1,30.0,7.20,71
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,841.33,08-03-2019,13:00:00,330,22.2,0.00,8.00,21.50,1000.54,18.7,20.9,4.40,87
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,958.54,08-03-2019,13:00:00,140,9.3,0.00,12.00,29.60,1001.13,23.9,31.2,2.10,65
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,956.90,08-03-2019,13:00:00,000,0.0,0.00,15.00,29.33,1001.61,23.7,29.5,13.50,71
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,965.24,08-03-2019,13:00:00,150,7.4,0.00,12.00,29.96,1002.25,24.1,29.4,0.00,73
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,957.98,08-03-2019,13:00:00,210,14.8,0.00,11.00,27.27,1001.92,22.5,32.0,0.00,57
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,976.21,08-03-2019,13:00:00,090,5.6,0.00,12.00,30.32,1002.32,24.3,31.7,0.00,65
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,982.29,08-03-2019,13:00:00,240,13.0,0.00,15.00,23.53,1003.56,20.1,32.3,0.00,49
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,982.48,08-03-2019,13:00:00,000,0.0,0.00,10.00,28.50,1006.23,23.2,30.5,6.00,65
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,969.32,08-03-2019,13:00:00,150,3.7,0.00,10.00,24.20,1003.06,20.6,31.8,1.40,51
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,976.54,08-03-2019,13:00:00,270,5.6,0.00,10.00,24.40,1003.45,20.7,32.2,1.30,51
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,970.50,08-03-2019,13:00:00,240,7.4,0.00,12.00,25.92,1003.41,21.7,31.0,0.00,58
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,984.66,08-03-2019,13:00:00,220,3.7,0.00,15.00,27.49,1002.73,22.6,32.4,1.10,57
48331,NAN,น่าน,น่าน,18.77972,100.77778,979.55,08-03-2019,13:00:00,250,13.0,0.00,10.00,30.03,1001.76,24.1,33.1,0.00,59
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,972.81,08-03-2019,13:00:00,000,0.0,0.00,12.00,28.66,1001.99,23.3,32.0,0.00,60
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,968.42,08-03-2019,13:00:00,000,0.0,0.00,8.00,24.84,1003.27,21.0,30.7,0.00,56
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,971.98,08-03-2019,13:00:00,280,11.1,0.00,17.00,25.74,1000.96,21.6,32.2,0.00,54
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,995.86,08-03-2019,13:00:00,220,11.1,0.00,11.00,28.25,1003.00,23.1,32.5,0.00,58
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,980.99,08-03-2019,13:00:00,260,7.4,0.00,15.00,29.48,1000.49,23.8,31.0,0.00,66
48353,LOEI,เลย,เลย,17.45000,101.73333,973.33,08-03-2019,13:00:00,260,18.5,0.00,18.00,21.97,1001.30,19.0,32.3,0.00,45
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,981.47,08-03-2019,13:00:00,260,18.5,0.00,15.00,25.06,1001.22,21.1,31.4,0.00,55
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,979.94,08-03-2019,13:00:00,230,11.1,0.00,15.00,27.57,1001.29,22.7,30.3,0.00,64
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,981.62,08-03-2019,13:00:00,230,11.1,0.00,15.00,28.15,1000.75,23.0,30.6,0.00,64
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,984.83,08-03-2019,13:00:00,000,0.0,0.00,12.00,30.48,1001.41,24.4,28.1,21.80,80
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,984.38,08-03-2019,13:00:00,260,9.3,0.01,9.00,28.78,1001.60,23.4,28.5,1.60,74
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,975.63,08-03-2019,13:00:00,270,11.1,0.00,12.00,24.28,1000.84,20.6,31.7,0.00,52
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,997.99,08-03-2019,13:00:00,250,20.4,0.00,10.00,27.35,1003.67,22.6,31.9,0.40,58
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,997.56,08-03-2019,13:00:00,250,9.3,0.00,10.00,26.86,1003.64,22.3,31.5,0.20,58
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,988.03,08-03-2019,13:00:00,210,5.6,0.00,10.00,21.92,1004.23,19.0,30.5,0.00,50
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,982.98,08-03-2019,13:00:00,240,7.4,0.10,8.00,29.08,1005.29,23.6,26.5,39.70,84
48376,TAK,ตาก,ตาก,16.87833,99.14333,991.37,08-03-2019,13:00:00,260,22.2,0.00,8.00,25.68,1005.60,21.5,30.0,0.00,61
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,988.01,08-03-2019,13:00:00,120,14.8,0.00,7.00,26.01,1004.06,21.7,32.2,0.00,54
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,999.56,08-03-2019,13:00:00,270,9.3,0.00,10.00,25.20,1004.69,21.2,32.2,0.60,52
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,990.28,08-03-2019,13:00:00,000,0.0,0.00,12.00,24.57,1003.22,20.8,32.0,0.00,52
