WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,Rainfall,DewPoint,StationPressure,RelativeHumidity,VaporPressure,WindSpeed,WindDirection,MeanSeaLevelPressure,AirTemperature,LandVisibility
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.20,08-29-2019,22:00:00,0.00,22.5,1003.89,70,27.26,3.7,270,1004.65,28.4,5.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.01,08-29-2019,22:00:00,0.01,22.8,1003.99,73,27.77,9.3,260,1004.69,28.1,10.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,33.00,08-29-2019,22:00:00,0.00,25.8,1003.59,85,33.24,5.6,240,1004.28,28.5,7.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,5.80,08-29-2019,22:00:00,0.01,24.6,982.44,86,30.94,3.7,270,1003.50,27.2,7.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,17.90,08-29-2019,22:00:00,3.10,25.6,986.10,95,32.91,0.0,000,1002.78,26.5,7.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,16.80,08-29-2019,22:00:00,3.20,25.1,986.68,92,31.79,5.6,270,1003.08,26.5,5.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,2.10,08-29-2019,22:00:00,0.01,24.5,981.92,86,30.75,0.0,000,1003.69,27.1,10.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,11.50,08-29-2019,22:00:00,0.00,23.0,960.99,85,28.08,7.4,230,1004.28,25.8,10.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,14.30,08-29-2019,22:00:00,0.30,25.1,982.67,92,31.79,3.7,220,1003.19,26.5,5.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,19.40,08-29-2019,22:00:00,2.60,25.6,983.26,100,32.81,13.0,240,1004.11,25.6,7.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1.30,08-29-2019,22:00:00,0.00,23.6,1003.87,77,29.19,1.9,340,1004.30,28.0,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,13.20,08-29-2019,22:00:00,0.10,25.6,1002.71,92,32.77,0.0,000,1004.12,27.0,8.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,6.70,08-29-2019,22:00:00,0.20,25.2,999.38,94,32.04,0.0,000,1004.31,26.2,7.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,08-29-2019,22:00:00,0.00,22.6,1001.97,71,27.44,5.6,320,1005.24,28.5,10.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.01,08-29-2019,22:00:00,0.00,23.7,1003.92,79,29.36,3.7,280,1005.02,27.8,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.01,08-29-2019,22:00:00,0.01,23.3,1004.36,72,28.54,0.0,000,1004.65,28.8,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,08-29-2019,22:00:00,0.00,23.5,1004.22,75,28.95,0.0,000,1004.71,28.3,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.80,08-29-2019,22:00:00,0.00,23.3,1003.30,73,28.62,14.8,250,1004.70,28.7,10.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,15.40,08-29-2019,22:00:00,0.00,25.0,997.84,91,31.71,3.7,180,1005.84,26.6,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,8.60,08-29-2019,22:00:00,0.00,24.9,1004.33,81,31.54,0.0,000,1004.61,28.5,10.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,19.70,08-29-2019,22:00:00,0.00,23.8,1001.38,72,29.49,11.1,120,1004.48,29.3,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.40,08-29-2019,22:00:00,0.00,23.2,998.11,71,28.37,9.3,210,1004.99,29.0,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,6.60,08-29-2019,22:00:00,0.00,25.1,998.81,92,31.79,5.6,260,1004.40,26.5,7.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,2.80,08-29-2019,22:00:00,0.00,23.7,1004.23,86,29.25,7.4,270,1005.50,26.3,10.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,7.20,08-29-2019,22:00:00,0.00,22.8,1004.42,76,27.73,0.0,000,1004.85,27.5,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,08-29-2019,22:00:00,0.00,21.6,992.91,75,25.79,0.0,000,1005.17,26.4,8.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,08-29-2019,22:00:00,0.00,22.6,1004.19,74,27.49,5.6,240,1004.90,27.8,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.01,08-29-2019,22:00:00,0.00,23.4,1003.60,70,28.86,7.4,240,1006.02,29.4,10.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.90,08-29-2019,22:00:00,0.01,24.5,1004.88,78,30.73,14.8,250,1005.40,28.8,9.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.01,08-29-2019,22:00:00,0.00,23.9,999.77,77,29.57,0.0,000,1004.89,28.2,9.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,17.50,08-29-2019,22:00:00,1.00,26.0,1004.97,97,33.67,0.0,000,1005.39,26.6,6.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,50.90,08-29-2019,22:00:00,0.80,25.3,1002.96,97,32.29,0.0,000,1005.74,25.9,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,2.80,08-29-2019,22:00:00,0.00,23.3,1005.49,80,28.67,0.0,000,1006.27,27.0,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,64.90,08-29-2019,22:00:00,11.00,24.6,1004.89,92,30.84,5.6,250,1005.35,26.0,6.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,13.60,08-29-2019,22:00:00,0.60,23.5,1007.09,95,28.97,0.0,000,1007.78,24.4,8.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,31.20,08-29-2019,22:00:00,0.80,21.9,1005.18,90,26.25,0.0,000,1006.73,23.7,7.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,51.30,08-29-2019,22:00:00,0.00,23.5,1008.06,95,28.97,0.0,000,1008.99,24.4,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.50,08-29-2019,22:00:00,0.00,23.7,1007.56,86,29.33,0.0,000,1008.25,26.2,10.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,6.40,08-29-2019,22:00:00,0.20,23.4,1008.32,98,28.77,3.7,230,1009.13,23.7,8.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,9.90,08-29-2019,22:00:00,5.50,24.3,1007.58,96,30.32,0.0,000,1008.22,25.0,9.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,7.00,08-29-2019,22:00:00,0.80,24.3,1008.09,97,30.30,0.0,000,1008.50,24.7,10.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,5.30,08-29-2019,22:00:00,0.50,22.9,1006.95,96,27.83,0.0,000,1011.22,23.6,4.00
