WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,Rainfall24Hr,VaporPressure,WindSpeed,DewPoint,WindDirection,StationPressure,MeanSeaLevelPressure,AirTemperature,LandVisibility,Rainfall,RelativeHumidity
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,08-16-2019,10:00:00,1.20,32.14,9.3,25.2,250,985.23,1004.95,28.8,13.00,0.00,81
48353,LOEI,เลย,เลย,17.45000,101.73333,08-16-2019,10:00:00,6.70,30.15,5.6,24.2,070,976.56,1004.97,28.5,13.00,0.00,78
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,08-16-2019,10:00:00,0.40,30.66,3.7,24.5,280,985.09,1004.97,30.6,15.00,0.00,70
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,08-16-2019,10:00:00,4.70,31.62,9.3,25.0,210,983.74,1005.32,28.4,7.00,0.00,82
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,08-16-2019,10:00:00,7.30,32.10,9.3,25.2,190,985.70,1005.04,28.5,10.00,0.00,83
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,08-16-2019,10:00:00,12.60,32.69,0.0,25.5,000,989.67,1006.39,27.1,10.00,0.00,91
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,08-16-2019,10:00:00,62.50,33.86,3.7,26.1,240,988.90,1006.26,27.4,12.00,0.00,93
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,08-16-2019,10:00:00,0.20,32.34,3.7,25.3,270,978.66,1004.13,29.6,13.00,0.00,78
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,08-16-2019,10:00:00,0.00,32.67,0.0,25.5,000,999.98,1005.69,30.6,10.00,0.00,74
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,08-16-2019,10:00:00,0.00,32.01,9.3,25.2,270,999.64,1005.74,30.7,10.00,0.00,72
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,08-16-2019,10:00:00,0.00,31.56,0.0,24.9,000,989.93,1006.18,30.2,10.00,0.00,74
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,08-16-2019,10:00:00,0.00,30.83,0.0,24.5,000,983.96,1006.26,27.0,10.00,0.00,87
48376,TAK,ตาก,ตาก,16.87833,99.14333,08-16-2019,10:00:00,0.00,28.91,13.0,23.5,270,992.23,1006.47,30.0,7.00,0.00,68
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,08-16-2019,10:00:00,0.00,27.96,0.0,22.9,000,989.47,1005.70,29.5,7.00,0.00,68
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,08-16-2019,10:00:00,0.00,31.76,9.3,25.0,220,1001.15,1006.30,31.0,10.00,0.00,71
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,08-16-2019,10:00:00,0.00,32.26,0.0,25.3,000,991.69,1004.77,29.0,12.00,0.00,81
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,08-16-2019,10:00:00,0.00,31.23,3.7,24.8,330,996.82,1006.02,30.6,10.00,0.00,71
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,08-16-2019,10:00:00,1.70,30.80,11.1,24.5,210,984.17,1005.65,29.4,10.00,0.00,75
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,08-16-2019,10:00:00,5.80,32.75,13.0,25.6,200,988.98,1006.26,30.5,10.00,0.00,75
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,08-16-2019,10:00:00,4.20,31.79,7.4,25.1,200,989.84,1005.58,28.2,12.00,0.00,83
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,08-16-2019,10:00:00,6.30,30.92,5.6,24.6,190,985.97,1004.64,29.6,10.00,0.00,75
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,08-16-2019,10:00:00,10.10,27.49,0.0,22.6,000,958.01,1009.26,26.2,11.00,0.00,81
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,08-16-2019,10:00:00,0.00,33.17,0.0,25.8,000,1002.01,1005.91,30.7,6.00,0.00,75
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,08-16-2019,10:00:00,0.10,25.13,7.4,21.2,230,912.57,1007.42,22.4,7.00,0.01,93
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,08-16-2019,10:00:00,4.20,33.37,0.0,25.9,000,990.00,1005.88,28.7,8.00,0.00,85
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,08-16-2019,10:00:00,0.20,33.75,3.7,26.1,170,1002.45,1006.44,30.0,9.00,0.00,80
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,08-16-2019,10:00:00,0.00,31.44,0.0,24.9,000,996.86,1007.43,30.0,10.00,0.00,74
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,08-16-2019,10:00:00,0.00,31.72,3.7,25.0,210,1004.98,1006.89,30.0,10.00,0.00,75
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,08-16-2019,10:00:00,0.00,28.20,14.8,23.1,200,985.39,1006.01,30.2,10.00,0.00,66
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,08-16-2019,10:00:00,14.70,32.38,13.0,25.4,200,988.27,1005.78,29.2,10.00,0.00,80
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,08-16-2019,10:00:00,0.30,31.85,11.1,25.1,200,989.66,1005.67,29.5,10.00,0.00,77
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,08-16-2019,10:00:00,0.00,29.65,9.3,23.9,220,993.08,1006.93,30.8,10.00,0.00,67
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,08-16-2019,10:00:00,0.00,31.44,3.7,24.9,150,993.09,1007.78,30.0,10.00,0.00,74
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,08-16-2019,10:00:00,0.00,32.63,14.8,25.5,250,993.25,1007.74,31.0,10.00,0.00,73
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,08-16-2019,10:00:00,12.20,33.05,0.0,25.7,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1003.73,1006.71,30.5,10.00,0.00,76
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,08-16-2019,10:00:00,0.00,32.75,0.0,25.6,000,998.40,1006.26,30.5,10.00,0.00,75
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,08-16-2019,10:00:00,0.00,30.03,11.1,24.1,230,1006.43,1007.53,30.0,8.00,0.00,71
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,08-16-2019,10:00:00,0.00,29.11,0.0,23.6,000,991.28,1005.89,28.1,9.00,0.00,77
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,08-16-2019,10:00:00,55.40,23.42,5.6,20.0,190,873.78,1008.70,20.2,.05,0.00,99
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,08-16-2019,10:00:00,0.00,31.72,5.6,25.0,230,1001.05,1006.87,30.0,10.00,0.00,75
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,08-16-2019,10:00:00,0.00,27.84,18.5,22.9,240,1007.40,1008.19,33.0,9.00,0.00,55
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,08-16-2019,10:00:00,0.00,32.34,13.0,25.4,230,1007.21,1007.65,31.0,10.00,0.00,72
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,08-16-2019,10:00:00,0.20,31.29,0.0,24.8,000,997.45,1008.70,28.8,8.00,0.00,79
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,08-16-2019,10:00:00,0.30,30.69,5.6,24.5,300,1005.96,1006.96,31.6,12.00,0.00,66
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,08-16-2019,10:00:00,0.00,30.46,3.7,24.3,170,1005.37,1007.18,30.5,7.00,0.00,70
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,08-16-2019,10:00:00,0.00,28.84,0.0,23.4,000,1006.05,1006.80,31.1,9.00,0.00,64
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,08-16-2019,10:00:00,0.00,30.41,13.0,24.3,220,1006.57,1007.27,31.6,10.00,0.00,65
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,08-16-2019,10:00:00,0.60,34.52,3.7,26.4,240,1006.69,1007.38,32.7,7.00,0.00,70
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,08-16-2019,10:00:00,0.00,27.00,11.1,22.3,270,985.79,1006.59,32.0,10.00,0.00,57
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,08-16-2019,10:00:00,0.00,30.90,11.1,24.6,210,990.59,1007.09,31.0,11.00,0.00,69
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,08-16-2019,10:00:00,0.00,31.52,13.0,24.9,200,990.95,1007.11,32.0,9.00,0.00,66
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,08-16-2019,10:00:00,0.01,28.56,13.0,23.3,240,985.07,1006.50,32.8,10.00,0.00,57
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,08-16-2019,10:00:00,0.00,28.45,11.1,23.2,230,964.19,1007.17,28.9,14.00,0.00,71
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,08-16-2019,10:00:00,11.00,30.94,9.3,24.6,230,985.98,1006.14,32.7,10.00,0.00,63
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,08-16-2019,10:00:00,0.80,34.13,20.4,26.3,220,987.72,1008.24,31.7,9.00,0.00,73
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,08-16-2019,10:00:00,3.50,29.15,3.7,23.6,170,1007.18,1007.60,31.4,10.00,0.00,63
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,08-16-2019,10:00:00,0.00,34.90,0.0,26.6,000,1005.72,1007.11,31.5,10.00,0.00,76
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,08-16-2019,10:00:00,0.00,32.88,7.4,25.6,240,1002.27,1007.14,30.7,9.00,0.00,74
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,08-16-2019,10:00:00,0.00,28.94,7.4,23.5,320,1004.09,1007.33,32.0,11.00,0.00,61
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,08-16-2019,10:00:00,0.00,29.31,11.1,23.7,270,1006.26,1007.35,31.9,10.00,0.00,62
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,08-16-2019,10:00:00,0.00,30.94,5.6,24.6,230,1007.27,1007.56,32.7,10.00,0.00,63
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,08-16-2019,10:00:00,0.00,31.98,7.4,25.2,240,1006.67,1007.35,32.5,10.00,0.00,65
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,08-16-2019,10:00:00,0.00,31.11,3.7,24.7,150,1007.50,1007.98,32.5,10.00,0.00,64
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,08-16-2019,10:00:00,0.00,28.00,14.8,23.0,240,1006.40,1007.78,32.8,10.00,0.00,56
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,08-16-2019,10:00:00,0.00,35.35,13.0,26.9,220,1005.96,1007.62,29.5,10.00,0.00,86
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,08-16-2019,10:00:00,0.00,30.82,7.4,24.5,180,1001.31,1009.22,31.1,12.00,0.00,68
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,08-16-2019,10:00:00,0.00,31.31,7.4,24.8,250,1004.36,1007.46,30.5,10.00,0.00,72
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,08-16-2019,10:00:00,0.00,31.56,9.3,24.9,240,1000.93,1007.80,30.2,12.00,0.00,74
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,08-16-2019,10:00:00,0.00,29.66,5.6,23.9,240,1000.81,1006.30,32.5,8.00,0.00,61
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,08-16-2019,10:00:00,0.00,31.39,9.3,24.9,230,998.44,1007.65,30.4,10.00,0.00,72
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,08-16-2019,10:00:00,5.60,30.90,7.4,24.6,270,1006.89,1008.14,31.0,14.00,0.00,69
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,08-16-2019,10:00:00,16.80,33.81,0.0,26.1,000,1007.28,1007.71,31.0,11.00,0.00,75
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,08-16-2019,10:00:00,0.00,30.03,0.0,24.1,000,995.54,1007.68,30.0,9.00,0.00,71
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,08-16-2019,10:00:00,0.00,30.78,7.4,24.5,240,1006.69,1007.39,30.8,10.00,0.00,69
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,08-16-2019,10:00:00,0.00,31.98,11.1,25.2,180,1005.50,1007.89,32.5,10.00,0.00,65
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,08-16-2019,10:00:00,0.00,34.66,13.0,26.5,230,1007.84,1008.36,30.7,10.00,0.00,78
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,08-16-2019,10:00:00,0.00,30.81,5.6,24.5,170,1002.46,1007.53,31.8,11.00,0.00,66
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,08-16-2019,10:00:00,0.40,33.88,0.0,26.1,000,1008.09,1008.50,30.2,8.00,0.00,79
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,08-16-2019,10:00:00,0.00,33.17,5.6,25.8,230,1005.86,1008.61,30.0,8.00,0.00,78
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,08-16-2019,10:00:00,0.00,32.49,18.5,25.4,270,1007.26,1008.03,32.6,10.00,0.00,66
48501,TRAD,ตราด,ตราด,11.76667,102.88333,08-16-2019,10:00:00,6.90,35.51,5.6,26.9,290,1008.48,1008.94,29.3,6.00,2.60,87
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,08-16-2019,10:00:00,5.20,30.70,3.7,24.5,270,1008.61,1009.29,28.5,8.00,0.40,79
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,08-16-2019,10:00:00,1.40,30.96,0.0,24.6,000,1007.35,1008.87,29.2,8.00,1.00,76
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,08-16-2019,10:00:00,65.50,31.99,5.6,25.2,180,1009.62,1010.54,26.6,7.00,19.10,92
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,08-16-2019,10:00:00,5.50,31.19,5.6,24.7,270,1009.58,1010.26,30.3,12.00,0.00,72
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,08-16-2019,10:00:00,4.60,33.46,7.4,25.9,210,1009.62,1010.41,30.0,10.00,0.00,79
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,08-16-2019,10:00:00,2.60,29.31,0.0,23.7,000,1009.20,1009.83,31.9,10.00,0.00,62
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,08-16-2019,10:00:00,0.00,31.85,18.5,25.1,200,1009.61,1010.01,31.6,12.00,0.00,69
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,08-16-2019,10:00:00,3.10,29.58,9.3,23.9,230,1007.71,1011.89,30.2,7.00,0.00,69
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,08-16-2019,10:00:00,9.60,30.67,0.0,24.5,000,1009.16,1010.77,28.2,12.00,0.00,80
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,08-16-2019,10:00:00,2.40,31.70,0.0,25.0,000,1007.47,1010.94,28.3,10.00,0.00,82
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,08-16-2019,10:00:00,2.70,30.87,0.0,24.6,000,1009.94,1011.31,25.3,10.00,2.00,96
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,08-16-2019,10:00:00,18.40,33.33,13.0,25.9,240,1009.48,1010.37,27.7,8.00,2.00,90
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,08-16-2019,10:00:00,16.70,31.80,5.6,25.1,190,1007.38,1010.94,27.5,10.00,0.00,87
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,08-16-2019,10:00:00,19.60,31.11,3.7,24.7,270,1010.14,1010.58,28.0,9.00,0.01,82
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,08-16-2019,10:00:00,22.10,30.26,13.0,24.2,290,1009.26,1010.25,28.7,9.00,0.10,77
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,08-16-2019,10:00:00,63.80,32.38,20.4,25.4,240,1010.78,1011.60,26.8,8.00,4.80,92
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,08-16-2019,10:00:00,93.60,29.04,9.3,23.6,200,1010.59,1012.44,24.0,4.00,47.60,97
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,08-16-2019,10:00:00,4.60,27.69,9.3,22.8,240,1010.73,1011.47,29.5,11.00,0.00,67
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,08-16-2019,10:00:00,0.40,28.08,9.3,23.0,230,1007.85,1011.86,27.4,10.00,0.01,77
48570,SATUN,สตูล,สตูล,6.65000,100.08333,08-16-2019,10:00:00,4.10,30.26,0.0,24.2,000,1011.15,1011.84,26.7,10.00,0.00,86
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,08-16-2019,10:00:00,0.00,30.90,0.0,24.6,000,1010.22,1011.33,28.6,10.00,0.00,79
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,08-16-2019,10:00:00,7.50,31.28,5.6,24.8,210,1009.16,1012.09,27.8,10.00,0.00,84
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,08-16-2019,10:00:00,0.00,31.13,9.3,24.7,240,1010.33,1011.01,29.0,12.00,0.00,78
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,08-16-2019,10:00:00,0.00,29.46,0.0,23.8,000,1008.05,1012.17,29.0,10.00,0.00,74
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,08-16-2019,10:00:00,3.00,30.86,0.0,24.6,000,1010.54,1011.12,30.7,12.00,0.00,70
