WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,Rainfall24Hr,VaporPressure,WindSpeed,DewPoint,WindDirection,StationPressure,MeanSeaLevelPressure,AirTemperature,LandVisibility,Rainfall,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,08-16-2019,10:00:00,0.40,30.26,0.0,24.2,000,975.35,1006.17,26.7,10.00,0.01,86
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,08-16-2019,10:00:00,31.40,22.37,44.4,19.3,300,843.16,1003.64,19.3,.90,2.30,100
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,08-16-2019,10:00:00,6.60,29.56,7.4,23.8,160,961.21,1004.55,26.9,10.00,0.00,83
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,08-16-2019,10:00:00,5.50,29.72,5.6,23.9,220,959.35,1004.80,25.4,8.00,0.01,92
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,08-16-2019,10:00:00,21.70,30.43,0.0,24.3,000,969.02,1006.54,26.5,8.00,0.20,88
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,08-16-2019,10:00:00,16.70,31.17,3.7,24.7,100,960.26,1005.26,25.6,6.00,0.80,95
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,08-16-2019,10:00:00,14.40,30.40,0.0,24.3,000,979.56,1006.25,26.2,7.00,0.01,89
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,08-16-2019,10:00:00,0.00,29.00,5.6,23.5,150,984.01,1005.48,29.9,12.00,0.00,69
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,08-16-2019,10:00:00,0.30,27.44,0.0,22.6,000,983.27,1007.20,28.5,9.00,0.00,71
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,08-16-2019,10:00:00,0.70,30.02,0.0,24.1,000,971.47,1005.83,27.0,10.00,0.20,84
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,08-16-2019,10:00:00,0.00,31.31,0.0,24.8,000,978.47,1005.80,28.1,10.00,0.00,82
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,08-16-2019,10:00:00,0.00,33.90,0.0,26.1,000,972.02,1005.27,28.4,10.00,0.00,88
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,08-16-2019,10:00:00,10.20,31.08,1.9,24.7,300,987.21,1005.74,25.7,7.00,1.80,94
48331,NAN,น่าน,น่าน,18.77972,100.77778,08-16-2019,10:00:00,16.00,30.43,0.0,24.3,000,982.80,1005.58,26.5,10.00,0.10,88
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,08-16-2019,10:00:00,12.20,28.67,0.0,23.3,000,975.85,1005.79,25.4,10.00,0.20,88
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,08-16-2019,10:00:00,0.00,31.54,0.0,24.9,000,970.38,1005.56,28.5,7.00,0.00,81
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,08-16-2019,10:00:00,5.20,33.99,5.6,26.2,040,974.85,1004.22,29.0,15.00,0.00,85
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,08-16-2019,10:00:00,0.01,32.56,0.0,25.5,000,998.58,1005.86,27.6,9.00,0.00,88
