WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,DewPoint,Rainfall24Hr,WindDirection,WindSpeed,StationPressure,Rainfall,MeanSeaLevelPressure,LandVisibility,AirTemperature,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,69,07-30-2019,16:00:00,23.6,0.60,070,5.6,972.73,0.30,1003.12,10.00,30.0,29.19
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,96,07-30-2019,16:00:00,19.3,9.50,250,11.1,842.18,0.00,1002.13,7.00,19.9,22.32
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,73,07-30-2019,16:00:00,24.7,1.70,110,7.4,958.51,1.70,1001.26,10.00,30.1,31.07
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,90,07-30-2019,16:00:00,25.6,3.60,200,11.1,956.59,3.60,1001.62,15.00,27.3,32.81
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,88,07-30-2019,16:00:00,23.8,21.80,000,0.0,966.17,0.00,1003.64,12.00,26.0,29.50
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,88,07-30-2019,16:00:00,25.4,1.80,000,0.0,957.86,1.80,1002.46,7.00,27.5,32.36
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,84,07-30-2019,16:00:00,24.6,52.90,140,3.7,977.24,0.00,1003.75,12.00,27.5,30.97
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,46,07-30-2019,16:00:00,21.2,0.00,240,3.7,980.57,0.00,1001.64,15.00,34.6,25.13
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,65,07-30-2019,16:00:00,23.1,8.30,000,0.0,980.42,0.00,1004.12,10.00,30.5,28.23
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,59,07-30-2019,16:00:00,22.8,0.01,210,5.6,968.58,0.01,1002.26,10.00,32.0,27.82
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,50,07-30-2019,16:00:00,21.9,0.00,000,0.0,975.33,0.00,1002.07,10.00,33.8,26.34
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,50,07-30-2019,16:00:00,21.4,0.00,290,9.3,969.33,0.00,1001.96,15.00,33.2,25.46
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,55,07-30-2019,16:00:00,22.9,0.00,270,9.3,983.81,0.00,1001.83,12.00,33.0,27.84
48331,NAN,น่าน,น่าน,18.77972,100.77778,79,07-30-2019,16:00:00,24.2,8.30,000,0.0,980.63,0.00,1003.23,10.00,28.2,30.12
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,82,07-30-2019,16:00:00,24.5,12.70,000,0.0,973.52,0.00,1003.14,12.00,27.8,30.72
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,54,07-30-2019,16:00:00,22.8,0.00,000,0.0,968.76,0.00,1003.33,8.00,33.2,27.67
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,79,07-30-2019,16:00:00,25.3,0.80,020,7.4,972.74,0.00,1002.01,15.00,29.4,32.22
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,51,07-30-2019,16:00:00,22.5,0.00,180,5.6,995.82,0.00,1002.93,11.00,34.0,27.29
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,82,07-30-2019,16:00:00,25.2,26.10,260,5.6,982.74,0.00,1002.43,20.00,28.6,32.02
48353,LOEI,เลย,เลย,17.45000,101.73333,70,07-30-2019,16:00:00,23.3,1.00,090,3.7,974.41,0.00,1002.68,12.00,29.4,28.59
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,71,07-30-2019,16:00:00,23.7,18.70,300,9.3,983.10,0.00,1003.01,15.00,29.5,29.33
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,71,07-30-2019,16:00:00,24.7,22.60,320,3.7,981.37,0.00,1002.74,15.00,30.5,31.03
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,70,07-30-2019,16:00:00,24.2,9.60,310,11.1,982.52,0.00,1001.68,15.00,30.2,30.14
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,71,07-30-2019,16:00:00,24.3,8.70,270,5.6,985.90,0.00,1002.40,12.00,30.0,30.31
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,68,07-30-2019,16:00:00,24.9,13.80,000,0.0,985.18,0.00,1002.25,12.00,31.4,31.43
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,72,07-30-2019,16:00:00,24.0,20.20,300,3.7,976.81,0.00,1002.24,11.00,29.5,29.88
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,49,07-30-2019,16:00:00,23.3,0.80,270,20.4,996.45,0.00,1002.05,10.00,35.6,28.55
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,52,07-30-2019,16:00:00,23.1,1.60,270,11.1,996.03,0.00,1002.04,10.00,34.5,28.30
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,57,07-30-2019,16:00:00,22.7,0.20,000,0.0,987.36,0.00,1003.45,10.00,32.3,27.58
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,88,07-30-2019,16:00:00,23.8,7.20,280,3.7,981.98,5.20,1004.31,10.00,26.0,29.50
48376,TAK,ตาก,ตาก,16.87833,99.14333,56,07-30-2019,16:00:00,22.0,0.00,260,24.1,990.61,0.00,1004.72,10.00,32.0,26.45
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,49,07-30-2019,16:00:00,22.1,0.00,120,13.0,986.81,0.00,1002.73,7.00,34.5,26.60
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,48,07-30-2019,16:00:00,21.7,11.60,260,13.0,997.83,0.00,1002.91,12.00,34.3,25.93
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,53,07-30-2019,16:00:00,23.2,0.00,000,0.0,989.35,0.00,1002.18,12.00,34.0,28.43
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,45,07-30-2019,16:00:00,21.6,0.00,280,11.1,993.77,0.00,1002.80,14.00,35.2,25.75
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,62,07-30-2019,16:00:00,23.5,0.40,310,3.7,981.44,0.00,1002.70,12.00,31.7,28.91
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,67,07-30-2019,16:00:00,25.6,1.80,230,14.8,985.82,0.00,1002.93,12.00,32.5,32.87
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,96,07-30-2019,16:00:00,25.3,20.60,210,3.7,986.43,10.80,1002.24,9.00,26.0,32.20
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,65,07-30-2019,16:00:00,24.0,3.60,000,0.0,983.27,0.00,1001.78,8.00,31.5,29.92
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,66,07-30-2019,16:00:00,22.0,3.60,000,0.0,954.01,0.00,1004.57,11.00,29.0,26.50
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,53,07-30-2019,16:00:00,23.0,0.00,270,13.0,999.10,0.00,1002.95,8.00,34.0,28.14
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,92,07-30-2019,16:00:00,20.6,2.50,240,11.1,910.62,0.01,1005.41,.50,22.0,24.27
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,86,07-30-2019,16:00:00,26.6,18.40,000,0.0,987.09,9.60,1002.90,7.00,29.1,34.79
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,51,07-30-2019,16:00:00,23.7,0.00,290,9.3,999.62,0.00,1003.53,10.00,35.3,29.38
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,43,07-30-2019,16:00:00,21.1,0.00,320,5.6,993.58,0.00,1003.93,8.00,35.5,24.94
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,45,07-30-2019,16:00:00,21.7,0.00,270,11.1,1001.62,0.00,1003.49,10.00,35.6,25.98
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,43,07-30-2019,16:00:00,19.2,0.00,290,9.3,981.84,0.00,1002.17,10.00,33.3,22.18
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,91,07-30-2019,16:00:00,26.4,26.40,000,0.0,984.99,13.00,1002.51,10.00,28.1,34.44
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,91,07-30-2019,16:00:00,25.4,31.70,000,0.0,986.44,9.00,1002.53,10.00,27.0,32.49
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,65,07-30-2019,16:00:00,23.7,48.30,330,11.1,988.59,0.00,1002.37,10.00,31.2,29.32
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,83,07-30-2019,16:00:00,26.3,27.40,000,0.0,988.21,0.00,1002.85,10.00,29.5,34.16
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,66,07-30-2019,16:00:00,24.6,70.70,190,16.7,988.29,0.00,1002.67,8.00,31.7,30.90
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,40,07-30-2019,16:00:00,19.7,0.10,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.0,1000.89,0.00,1003.81,10.00,35.3,22.92
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,54,07-30-2019,16:00:00,22.7,1.50,230,5.6,995.14,0.00,1002.89,10.00,33.3,27.59
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,50,07-30-2019,16:00:00,22.9,0.00,310,5.6,1002.66,0.00,1003.74,9.00,35.0,27.89
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,79,07-30-2019,16:00:00,27.5,24.80,000,0.0,990.63,0.00,1005.06,9.00,31.6,36.65
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,86,07-30-2019,16:00:00,20.5,2.60,000,0.0,871.10,0.00,1004.26,7.00,23.0,24.16
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,45,07-30-2019,16:00:00,22.2,0.00,270,5.6,997.44,0.00,1003.13,10.00,36.0,26.78
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,45,07-30-2019,16:00:00,21.6,0.00,270,1.9,1003.32,0.00,1004.10,8.00,35.5,25.78
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,64,07-30-2019,16:00:00,24.2,0.00,240,18.5,1003.78,0.00,1004.21,10.00,31.8,30.24
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,55,07-30-2019,16:00:00,22.2,0.00,000,0.0,995.08,0.00,1006.18,10.00,32.3,26.75
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,49,07-30-2019,16:00:00,22.7,0.00,190,3.7,1002.74,0.00,1003.72,12.00,35.0,27.61
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,44,07-30-2019,16:00:00,21.4,0.00,230,3.7,1002.13,0.00,1003.90,9.00,35.5,25.50
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,51,07-30-2019,16:00:00,21.6,0.00,270,7.4,1003.34,0.00,1004.09,9.00,33.2,25.73
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,48,07-30-2019,16:00:00,21.2,0.20,300,24.1,1003.69,0.00,1004.38,10.00,33.6,25.13
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,56,07-30-2019,16:00:00,23.5,0.00,270,5.6,1003.27,0.00,1003.95,9.00,33.4,28.92
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,52,07-30-2019,16:00:00,22.9,0.10,300,9.3,982.27,0.00,1002.84,10.00,34.2,27.98
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,54,07-30-2019,16:00:00,22.4,48.10,250,7.4,986.29,0.00,1002.60,11.00,33.0,27.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,57,07-30-2019,16:00:00,23.3,44.90,270,3.7,987.12,0.00,1003.17,9.00,33.0,28.68
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,48,07-30-2019,16:00:00,20.6,0.01,240,9.3,981.74,0.01,1003.09,4.00,33.0,24.28
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,43,07-30-2019,16:00:00,20.0,1.00,250,20.4,982.22,0.00,1002.19,10.00,34.5,23.31
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,78,07-30-2019,16:00:00,26.1,26.00,350,1.9,983.90,0.00,1004.43,10.00,30.4,33.72
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,50,07-30-2019,16:00:00,21.5,0.00,270,9.3,1004.60,0.00,1005.02,10.00,33.3,25.65
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,66,07-30-2019,16:00:00,25.4,0.40,000,0.0,1002.45,0.00,1003.83,11.00,32.7,32.41
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,61,07-30-2019,16:00:00,24.5,0.00,360,3.7,999.28,0.00,1004.10,8.00,33.0,30.69
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,51,07-30-2019,16:00:00,21.8,0.00,300,11.1,1001.57,0.00,1004.78,12.00,33.4,26.12
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,49,07-30-2019,16:00:00,21.6,0.00,240,7.4,1003.39,0.00,1004.47,10.00,33.8,25.79
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,48,07-30-2019,16:00:00,22.1,0.00,320,11.1,1004.04,0.00,1004.34,10.00,34.6,26.52
