WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,RelativeHumidity,Rainfall24Hr,MeanSeaLevelPressure,WindDirection,StationPressure,DewPoint,WindSpeed,LandVisibility,VaporPressure,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,09-19-2019,22:00:00,88,9.70,1010.41,000,979.50,24.9,0.0,10.00,31.58,27.1
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,09-19-2019,22:00:00,99,26.60,1011.14,140,849.07,18.3,18.5,8.00,21.06,18.5
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,09-19-2019,22:00:00,88,1.50,1011.10,210,967.23,23.0,1.9,10.00,28.14,25.1
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,09-19-2019,22:00:00,91,3.00,1011.21,000,965.33,23.0,0.0,12.00,28.11,24.5
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,09-19-2019,22:00:00,98,12.60,1012.33,000,974.35,24.2,0.0,5.00,30.20,24.5
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,09-19-2019,22:00:00,96,12.40,1010.76,000,965.20,22.8,0.0,8.00,27.66,23.5
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,09-19-2019,22:00:00,93,23.70,1012.29,000,985.40,24.4,0.0,7.00,30.54,25.7
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,09-19-2019,22:00:00,92,10.20,1010.82,000,988.89,23.9,0.0,14.00,29.62,25.2
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,09-19-2019,22:00:00,94,1.80,1010.63,000,986.46,25.5,0.0,8.00,32.63,26.5
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,09-19-2019,22:00:00,90,89.10,1011.14,000,976.44,23.8,0.0,10.00,29.56,25.6
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,09-19-2019,22:00:00,96,73.60,1013.07,000,985.26,24.3,0.0,10.00,30.32,25.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,09-19-2019,22:00:00,96,25.70,1011.25,000,977.48,24.8,0.0,10.00,31.25,25.5
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,09-19-2019,22:00:00,92,6.40,1010.34,000,991.76,24.8,0.0,8.00,31.22,26.2
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,09-19-2019,22:00:00,93,25.80,1010.82,000,987.91,25.1,0.0,10.00,31.88,26.4
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,09-19-2019,22:00:00,93,10.40,1011.00,000,980.87,23.8,0.0,8.00,29.52,25.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,09-19-2019,22:00:00,96,19.20,1011.21,000,975.31,23.3,0.0,6.00,28.53,24.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,09-19-2019,22:00:00,95,4.30,1010.35,000,980.31,23.1,0.0,6.00,28.27,24.0
