WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,Rainfall24Hr,LandVisibility,RelativeHumidity,MeanSeaLevelPressure,StationPressure,Rainfall,AirTemperature,VaporPressure,DewPoint,WindSpeed,WindDirection
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,09-07-2019,13:00:00,0.00,11.00,67,1008.17,1007.74,0.00,32.7,33.31,25.8,9.3,150
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,09-07-2019,13:00:00,0.00,10.00,54,1008.05,996.02,0.00,33.0,27.00,22.4,7.4,230
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,09-07-2019,13:00:00,0.00,10.00,68,1008.47,1007.77,0.00,31.6,31.56,24.9,7.4,110
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,09-07-2019,13:00:00,0.00,10.00,56,1008.67,1006.28,0.00,34.0,29.87,24.0,18.5,240
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,09-07-2019,13:00:00,0.00,10.00,75,1009.02,1008.51,0.00,30.0,31.72,25.0,14.8,270
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,09-07-2019,13:00:00,0.00,14.00,57,1008.30,1003.23,0.00,32.4,27.49,22.6,5.6,210
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,09-07-2019,13:00:00,0.20,8.00,72,1008.49,1008.09,0.00,31.4,32.89,25.6,14.8,190
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,09-07-2019,13:00:00,0.00,8.00,75,1008.52,1005.78,0.00,30.5,32.75,25.6,11.1,210
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,09-07-2019,13:00:00,0.00,10.00,51,1008.91,1008.13,0.00,32.8,25.52,21.4,18.5,280
48501,TRAD,ตราด,ตราด,11.76667,102.88333,09-07-2019,13:00:00,4.90,8.00,76,1009.26,1008.80,0.00,30.9,33.89,26.1,5.6,320
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,09-07-2019,13:00:00,0.00,8.00,54,1008.99,1008.32,0.00,33.1,27.20,22.5,9.3,280
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,09-07-2019,13:00:00,0.00,9.00,56,1010.15,1008.65,0.00,32.8,28.00,23.0,3.7,270
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,09-07-2019,13:00:00,0.00,10.00,65,1009.95,1009.05,0.00,32.1,31.15,24.7,11.1,270
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,09-07-2019,13:00:00,0.00,10.00,76,1009.10,1008.42,0.00,30.6,33.26,25.8,18.5,150
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,09-07-2019,13:00:00,0.00,10.00,53,1008.98,1008.20,0.00,35.2,30.05,24.1,7.4,210
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,09-07-2019,13:00:00,0.00,10.00,58,1008.06,1007.44,0.00,34.0,30.75,24.5,13.0,080
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,09-07-2019,13:00:00,0.00,12.00,65,1008.39,1007.99,0.00,33.5,33.55,26.0,18.5,080
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,09-07-2019,13:00:00,0.00,10.00,51,1010.58,1006.46,0.00,34.2,27.41,22.6,7.4,240
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,09-07-2019,13:00:00,0.00,10.00,48,1009.26,1007.68,0.00,33.4,24.75,20.9,9.3,330
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,09-07-2019,13:00:00,0.00,10.00,66,1008.73,1005.29,0.00,31.0,29.48,23.8,0.0,000
