WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,Rainfall,AirTemperature,MeanSeaLevelPressure,StationPressure,WindDirection,DewPoint,WindSpeed,Rainfall24Hr,LandVisibility,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,93,07-24-2019,01:00:00,15.50,25.3,1006.85,975.86,000,24.1,0.0,24.50,8.00,30.07
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,99,07-24-2019,01:00:00,0.00,17.6,1005.06,843.52,290,17.4,18.5,10.90,6.00,19.90
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,94,07-24-2019,01:00:00,0.00,24.5,1005.50,961.79,000,23.5,0.0,20.20,10.00,28.89
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,96,07-24-2019,01:00:00,0.80,23.7,1005.90,960.14,000,23.0,0.0,22.80,7.00,28.01
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,99,07-24-2019,01:00:00,1.40,23.8,1006.61,968.75,000,23.6,0.0,9.00,5.00,29.20
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,97,07-24-2019,01:00:00,0.40,24.2,1006.24,960.98,080,23.8,3.7,37.40,7.00,29.39
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,94,07-24-2019,01:00:00,0.40,25.0,1006.98,980.17,000,24.0,0.0,18.80,6.00,29.79
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,72,07-24-2019,01:00:00,0.20,27.6,1006.15,984.51,210,22.1,1.9,0.20,11.00,26.60
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,97,07-24-2019,01:00:00,0.50,24.5,1007.53,983.27,000,24.1,0.0,9.70,6.00,29.93
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,92,07-24-2019,01:00:00,0.20,25.4,1006.21,971.66,000,23.9,0.0,10.50,10.00,29.72
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,84,07-24-2019,01:00:00,0.00,27.0,1007.07,979.61,000,24.1,0.0,0.50,10.00,30.02
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,93,07-24-2019,01:00:00,0.00,26.0,1006.09,972.55,000,24.7,0.0,1.30,10.00,31.11
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,95,07-24-2019,01:00:00,0.01,26.3,1005.81,987.32,000,25.4,0.0,2.80,10.00,32.51
48331,NAN,น่าน,น่าน,18.77972,100.77778,97,07-24-2019,01:00:00,0.20,24.6,1006.39,983.45,000,24.0,0.0,53.00,10.00,29.85
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,97,07-24-2019,01:00:00,0.20,24.4,1006.81,976.74,000,23.8,0.0,21.80,7.00,29.49
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,81,07-24-2019,01:00:00,0.00,26.4,1006.63,971.17,000,22.9,0.0,0.00,7.00,27.85
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,93,07-24-2019,01:00:00,0.50,25.0,1005.10,975.31,000,23.8,0.0,0.50,8.00,29.52
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,81,07-24-2019,01:00:00,0.30,27.5,1005.74,998.46,000,23.9,0.0,0.30,9.00,29.60
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,95,07-24-2019,01:00:00,19.50,25.2,1005.29,985.32,000,24.3,0.0,33.50,6.00,30.42
48353,LOEI,เลย,เลย,17.45000,101.73333,90,07-24-2019,01:00:00,0.40,26.7,1005.66,977.06,000,24.8,0.0,0.40,8.00,31.35
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,90,07-24-2019,01:00:00,0.30,26.4,1005.72,985.55,350,24.7,7.4,0.40,9.00,31.05
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,90,07-24-2019,01:00:00,0.00,25.2,1005.23,983.43,000,23.4,0.0,12.00,10.00,28.83
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,96,07-24-2019,01:00:00,0.00,25.0,1004.63,985.07,000,24.3,0.0,17.90,10.00,30.32
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,93,07-24-2019,01:00:00,0.01,24.0,1006.37,988.81,000,22.8,0.0,11.20,8.00,27.76
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,91,07-24-2019,01:00:00,0.00,27.3,998.86,973.34,270,25.7,7.4,0.00,10.00,33.09
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,75,07-24-2019,01:00:00,0.00,28.3,1005.77,1000.02,260,23.5,5.6,0.00,10.00,28.95
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,81,07-24-2019,01:00:00,0.00,28.0,1005.33,999.17,000,24.4,0.0,0.00,12.00,30.56
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,81,07-24-2019,01:00:00,0.50,27.2,1006.49,990.08,000,23.7,0.0,0.50,8.00,29.31
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,93,07-24-2019,01:00:00,7.60,25.3,1005.96,983.54,000,24.1,0.0,10.60,8.00,30.07
