WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,VaporPressure,MaximumTemperature,DewPoint,WindDirection,MeanSeaLevelPressure,AirTemperature,RelativeHumidity,Rainfall,StationPressure,WindSpeed,Rainfall24Hr
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,8.00,09-04-2019,19:00:00,30.15,34.0,24.2,000,1003.25,28.5,78,0.00,973.70,0.0,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,6.00,09-04-2019,19:00:00,33.50,31.8,25.9,000,1003.88,27.5,91,0.00,968.65,0.0,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,12.00,09-04-2019,19:00:00,32.47,33.9,25.4,000,1002.00,28.4,84,0.00,972.63,0.0,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,10.00,09-04-2019,19:00:00,33.88,33.5,26.1,000,1003.67,30.2,79,0.00,996.47,0.0,0.01
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,15.00,09-04-2019,19:00:00,31.79,34.2,25.1,130,1002.93,26.5,92,0.00,983.09,13.0,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,14.00,09-04-2019,19:00:00,32.91,33.2,25.6,000,1002.42,29.6,79,0.00,974.18,0.0,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,12.00,09-04-2019,19:00:00,29.33,32.0,23.7,090,1003.69,26.2,86,0.00,983.55,11.1,0.50
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,7.00,09-04-2019,19:00:00,29.62,27.2,23.9,000,1004.47,25.2,92,5.00,982.69,0.0,12.70
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,7.00,09-04-2019,19:00:00,31.04,27.3,24.7,000,1003.50,25.1,97,2.80,983.97,0.0,7.60
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,7.00,09-04-2019,19:00:00,29.41,26.5,23.8,000,1003.70,24.5,96,3.30,986.88,0.0,32.70
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,8.00,09-04-2019,19:00:00,30.40,26.0,24.3,000,1003.90,24.9,97,5.90,986.43,0.0,55.60
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,12.00,09-04-2019,19:00:00,30.96,32.5,24.6,110,1002.40,29.2,76,0.00,976.95,7.4,0.60
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,10.00,09-04-2019,19:00:00,34.69,34.2,26.5,260,1003.80,30.3,80,0.00,998.09,5.6,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,12.00,09-04-2019,19:00:00,32.05,33.8,25.2,000,1003.83,30.3,74,0.00,997.72,0.0,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,10.00,09-04-2019,19:00:00,29.74,33.2,23.9,000,1003.87,29.0,74,0.00,987.60,0.0,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,10.00,09-04-2019,19:00:00,27.63,30.8,22.7,000,1004.90,25.4,85,0.00,982.51,0.0,3.70
48376,TAK,ตาก,ตาก,16.87833,99.14333,10.00,09-04-2019,19:00:00,26.90,33.0,22.3,270,1005.04,28.2,70,0.00,990.74,16.7,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,10.00,09-04-2019,19:00:00,27.71,35.0,22.8,000,1004.25,29.8,66,0.00,988.06,0.0,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10.00,09-04-2019,19:00:00,33.17,34.0,25.8,000,1004.31,30.0,78,0.00,999.15,0.0,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,10.00,09-04-2019,19:00:00,31.54,32.5,24.9,000,1002.44,28.5,81,0.00,989.37,0.0,0.60
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,10.00,09-04-2019,19:00:00,30.56,33.2,24.4,000,1004.55,27.0,86,0.01,995.25,0.0,0.01
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,10.00,09-04-2019,19:00:00,32.76,29.8,25.6,000,1003.33,27.7,88,0.00,981.77,0.0,1.80
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,10.00,09-04-2019,19:00:00,29.60,31.0,23.9,000,1004.71,27.5,81,0.00,987.29,0.0,17.10
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,10.00,09-04-2019,19:00:00,29.67,25.5,23.9,210,1002.77,24.5,97,4.40,986.88,3.7,41.10
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,8.00,09-04-2019,19:00:00,31.00,29.9,24.6,000,1002.28,27.8,83,0.00,983.54,0.0,1.60
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,8.00,09-04-2019,19:00:00,25.92,27.4,21.7,000,1008.22,23.2,91,1.70,956.52,0.0,4.20
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,10.00,09-04-2019,19:00:00,30.57,32.9,24.4,230,1004.06,29.0,76,0.00,1000.14,11.1,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,5.00,09-04-2019,19:00:00,23.46,24.6,20.1,260,1006.60,21.0,94,0.01,911.40,7.4,3.20
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,7.00,09-04-2019,19:00:00,31.71,26.9,25.0,000,1003.44,25.6,97,0.00,987.44,0.0,23.10
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,8.00,09-04-2019,19:00:00,30.40,33.1,24.3,210,1004.90,26.2,89,1.80,1000.86,9.3,2.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,7.00,09-04-2019,19:00:00,28.14,32.7,23.0,000,1005.94,27.0,79,0.00,995.27,0.0,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,8.00,09-04-2019,19:00:00,29.21,32.2,23.6,000,1005.40,27.0,82,0.00,1003.48,0.0,1.50
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,10.00,09-04-2019,19:00:00,29.74,30.6,23.9,220,1003.68,28.0,79,0.00,982.96,3.7,0.80
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,10.00,09-04-2019,19:00:00,31.17,27.0,24.7,160,1003.17,25.6,95,0.00,985.49,3.7,19.60
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10.00,09-04-2019,19:00:00,31.98,26.7,25.2,000,1003.21,25.6,97,0.00,987.04,0.0,18.60
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,7.00,09-04-2019,19:00:00,30.32,25.4,24.3,220,1003.73,25.0,96,5.10,989.65,3.7,120.90
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,7.00,09-04-2019,19:00:00,30.48,25.0,24.4,000,1004.29,24.8,97,2.50,989.40,0.0,112.20
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,5.00,09-04-2019,19:00:00,31.87,25.9,25.1,190,1004.32,25.4,98,1.80,989.61,5.6,119.70
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,10.00,09-04-2019,19:00:00,30.94,33.0,24.6,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1004.90,26.2,91,8.50,1001.88,0.0,9.70
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,7.00,09-04-2019,19:00:00,31.69,31.7,25.0,000,1004.20,29.0,79,0.00,996.32,0.0,27.30
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,8.00,09-04-2019,19:00:00,34.24,32.8,26.3,000,1006.14,28.7,87,0.00,1005.04,0.0,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,5.00,09-04-2019,19:00:00,31.79,27.8,25.1,000,1004.42,26.5,92,0.00,989.75,0.0,85.10
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,.05,09-04-2019,19:00:00,22.37,19.9,19.3,300,1007.22,19.3,100,0.00,872.12,16.7,24.80
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,10.00,09-04-2019,19:00:00,31.82,31.0,25.1,190,1005.02,28.5,82,0.00,999.19,3.7,4.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,8.00,09-04-2019,19:00:00,32.42,31.5,25.4,230,1005.82,28.8,82,0.00,1005.02,5.6,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,10.00,09-04-2019,19:00:00,30.23,29.9,24.2,230,1005.95,28.4,78,0.00,1005.51,7.4,0.20
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,4.00,09-04-2019,19:00:00,28.48,28.3,23.2,000,1007.61,25.0,90,3.70,996.23,0.0,14.40
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,10.00,09-04-2019,19:00:00,30.40,32.2,24.3,000,1005.67,29.2,75,0.00,1004.67,0.0,0.40
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,8.00,09-04-2019,19:00:00,29.74,32.4,23.9,210,1005.47,29.0,74,0.00,1003.66,3.7,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,6.00,09-04-2019,19:00:00,25.96,30.9,21.7,270,1005.75,28.7,66,0.00,1004.99,7.4,2.50
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,15.00,09-04-2019,19:00:00,31.16,29.7,24.7,210,1006.60,27.6,84,0.00,1005.89,11.1,1.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,7.00,09-04-2019,19:00:00,32.12,30.5,25.2,260,1005.74,27.8,86,0.00,1005.04,5.6,10.10
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,10.00,09-04-2019,19:00:00,28.55,30.9,23.3,270,1004.91,27.8,76,0.00,983.86,7.4,5.70
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,8.00,09-04-2019,19:00:00,31.96,27.5,25.1,000,1004.28,26.3,93,0.00,987.58,0.0,55.30
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,6.00,09-04-2019,19:00:00,31.22,28.0,24.8,180,1004.75,26.2,92,0.00,988.31,3.7,53.40
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,10.00,09-04-2019,19:00:00,28.02,31.0,23.0,000,1004.99,27.8,75,0.00,983.24,0.0,14.10
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,10.00,09-04-2019,19:00:00,26.55,28.7,22.1,250,1005.41,26.1,79,0.00,962.12,11.1,3.90
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,10.00,09-04-2019,19:00:00,29.85,29.5,24.0,230,1004.29,27.2,83,0.00,983.80,7.4,24.40
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,9.00,09-04-2019,19:00:00,30.76,28.1,24.5,230,1005.38,26.1,91,0.00,984.54,11.1,25.40
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,10.00,09-04-2019,19:00:00,27.36,29.2,22.6,290,1006.33,28.6,70,0.00,1005.90,5.6,1.80
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,6.00,09-04-2019,19:00:00,31.05,29.8,24.7,000,1005.41,26.4,90,0.00,1003.99,0.0,15.60
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,7.00,09-04-2019,19:00:00,31.63,29.0,25.0,000,1005.39,26.7,90,0.00,1000.46,0.0,24.50
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,12.00,09-04-2019,19:00:00,28.92,30.4,23.5,270,1006.33,28.0,77,0.00,1003.05,5.6,4.90
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,10.00,09-04-2019,19:00:00,28.78,30.5,23.4,260,1005.95,28.5,74,0.00,1004.85,1.9,2.70
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,9.00,09-04-2019,19:00:00,31.54,30.0,24.9,230,1006.27,28.5,81,0.00,1005.97,3.7,0.40
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,10.00,09-04-2019,19:00:00,30.43,30.0,24.3,000,1006.11,26.5,88,0.00,1005.42,0.0,1.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10.00,09-04-2019,19:00:00,32.84,34.8,25.6,240,1005.95,28.3,85,0.00,1005.46,3.7,0.70
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,10.00,09-04-2019,19:00:00,31.84,30.0,25.1,210,1006.18,27.8,85,0.00,1004.78,9.3,0.40
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,10.00,09-04-2019,19:00:00,32.46,30.7,25.4,230,1006.44,29.1,81,0.00,1004.77,22.2,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,10.00,09-04-2019,19:00:00,30.24,29.2,24.2,230,1007.20,26.4,88,0.00,999.18,7.4,3.90
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,10.00,09-04-2019,19:00:00,31.52,30.0,24.9,000,1006.00,27.5,86,0.00,1005.72,0.0,0.30
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,10.00,09-04-2019,19:00:00,30.56,30.0,24.4,000,1006.10,28.0,81,0.00,1002.98,0.0,0.90
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,10.00,09-04-2019,19:00:00,29.75,29.2,24.0,220,1006.44,27.0,83,0.50,999.51,9.3,3.60
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,10.00,09-04-2019,19:00:00,30.97,29.5,24.6,260,1005.75,27.5,84,0.00,1000.16,5.6,33.30
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,10.00,09-04-2019,19:00:00,29.60,29.0,23.9,260,1007.30,27.5,81,0.01,998.01,18.5,1.60
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,10.00,09-04-2019,19:00:00,27.93,30.5,22.9,230,1007.26,27.9,74,0.00,1006.00,3.7,2.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,11.00,09-04-2019,19:00:00,28.76,29.6,23.4,000,1006.73,28.2,75,0.00,1006.30,0.0,3.60
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,10.00,09-04-2019,19:00:00,29.62,28.4,23.9,000,1007.37,26.5,86,0.00,995.09,0.0,4.80
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,10.00,09-04-2019,19:00:00,29.06,30.7,23.6,000,1006.64,27.5,79,0.00,1005.93,0.0,0.30
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,10.00,09-04-2019,19:00:00,28.45,30.6,23.2,250,1006.58,27.6,77,0.01,1004.15,7.4,3.70
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,10.00,09-04-2019,19:00:00,28.49,29.0,23.2,260,1006.40,28.2,75,0.01,1005.88,18.5,3.30
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,9.00,09-04-2019,19:00:00,29.37,29.5,23.7,240,1006.64,26.8,83,0.20,1001.49,1.9,2.10
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,7.00,09-04-2019,19:00:00,32.51,28.8,25.4,000,1007.02,26.3,95,0.00,1006.61,0.0,28.10
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,8.00,09-04-2019,19:00:00,31.25,27.0,24.8,050,1007.50,25.5,96,0.80,1004.72,7.4,69.60
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,10.00,09-04-2019,19:00:00,28.59,29.1,23.3,000,1008.16,27.1,80,0.00,1007.37,0.0,5.40
48501,TRAD,ตราด,ตราด,11.76667,102.88333,6.00,09-04-2019,19:00:00,31.38,26.0,24.8,250,1008.04,26.0,93,0.80,1007.58,7.4,147.50
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,7.00,09-04-2019,19:00:00,29.22,26.4,23.7,290,1008.54,24.1,97,0.80,1007.85,5.6,32.50
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,7.00,09-04-2019,19:00:00,29.69,27.8,23.9,000,1008.18,24.8,95,0.80,1006.64,0.0,12.40
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,10.00,09-04-2019,19:00:00,30.15,27.0,24.2,000,1009.19,25.2,94,0.30,1008.26,0.0,50.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,10.00,09-04-2019,19:00:00,28.96,31.8,23.5,250,1008.28,27.3,80,0.00,1007.59,5.6,0.30
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,10.00,09-04-2019,19:00:00,32.77,32.3,25.6,000,1008.71,27.0,92,0.00,1007.91,0.0,0.90
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,10.00,09-04-2019,19:00:00,31.71,33.7,25.0,090,1007.71,26.6,91,0.01,1007.08,3.7,0.30
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,10.00,09-04-2019,19:00:00,31.22,34.5,24.8,000,1008.15,26.2,92,0.10,1007.74,0.0,1.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,4.00,09-04-2019,19:00:00,30.87,32.7,24.6,000,1010.42,25.3,96,0.00,1006.18,0.0,16.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,12.00,09-04-2019,19:00:00,31.91,31.4,25.1,000,1008.70,26.7,91,0.00,1007.09,0.0,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,10.00,09-04-2019,19:00:00,30.56,32.0,24.4,000,1008.96,27.0,86,0.00,1005.48,0.0,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,8.00,09-04-2019,19:00:00,29.60,33.6,23.9,270,1008.54,29.5,72,0.00,1007.20,3.7,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,10.00,09-04-2019,19:00:00,31.62,30.7,25.0,250,1008.30,28.4,82,0.00,1007.42,9.3,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,10.00,09-04-2019,19:00:00,32.60,31.3,25.5,000,1008.54,27.9,87,0.00,1004.98,0.0,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,10.00,09-04-2019,19:00:00,32.30,32.3,25.3,000,1008.52,29.3,79,0.00,1008.08,0.0,7.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,10.00,09-04-2019,19:00:00,32.30,31.8,25.3,250,1008.47,29.3,79,0.00,1007.48,9.3,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,10.00,09-04-2019,19:00:00,33.74,30.3,26.1,280,1008.79,28.6,86,0.00,1007.98,11.1,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,10.00,09-04-2019,19:00:00,32.38,33.3,25.4,000,1008.74,29.2,80,0.00,1006.94,0.0,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,10.00,09-04-2019,19:00:00,28.79,36.2,23.4,270,1008.47,31.5,62,0.00,1007.73,7.4,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,10.00,09-04-2019,19:00:00,27.16,34.7,22.4,240,1008.60,28.2,71,0.00,1004.61,5.6,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,10.00,09-04-2019,19:00:00,33.25,34.0,25.8,000,1009.00,29.9,79,0.00,1008.32,0.0,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,10.00,09-04-2019,19:00:00,30.90,35.0,24.6,190,1008.33,31.0,69,0.00,1007.23,5.6,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,10.00,09-04-2019,19:00:00,33.66,34.2,26.0,000,1008.82,29.4,82,0.00,1005.92,0.0,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,8.00,09-04-2019,19:00:00,32.92,35.3,25.6,000,1008.19,30.3,76,0.00,1007.50,0.0,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,6.00,09-04-2019,19:00:00,26.89,35.0,22.3,230,1009.03,29.5,65,0.00,1004.93,7.4,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,10.00,09-04-2019,19:00:00,31.13,32.5,24.7,000,1008.88,29.0,78,0.00,1008.29,0.0,0.00
