WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,VaporPressure,MaximumTemperature,DewPoint,WindDirection,MeanSeaLevelPressure,AirTemperature,RelativeHumidity,Rainfall,StationPressure,WindSpeed,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,12.00,09-04-2019,19:00:00,30.88,34.2,24.6,150,1003.13,29.3,76,0.00,972.66,5.6,0.60
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,8.00,09-04-2019,19:00:00,20.73,24.1,18.1,150,1002.81,20.5,86,0.00,843.05,20.4,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,12.00,09-04-2019,19:00:00,28.15,33.3,23.0,000,1001.84,30.6,64,0.00,959.14,0.0,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,15.00,09-04-2019,19:00:00,31.13,33.5,24.7,000,1002.24,29.0,78,0.00,957.43,0.0,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,10.00,09-04-2019,19:00:00,32.09,34.5,25.2,000,1002.55,29.9,76,0.00,965.59,0.0,3.80
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,12.00,09-04-2019,19:00:00,32.71,33.0,25.5,000,1002.68,28.8,83,0.00,958.26,0.0,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,10.00,09-04-2019,19:00:00,32.01,34.8,25.2,180,1003.12,30.0,75,0.00,976.84,5.6,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,15.00,09-04-2019,19:00:00,32.34,34.0,25.4,190,1003.88,28.9,81,0.00,982.38,1.9,0.30
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,8.00,09-04-2019,19:00:00,31.79,30.5,25.1,000,1005.47,26.5,92,0.00,981.42,0.0,8.40
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10.00,09-04-2019,19:00:00,29.74,34.0,23.9,000,1003.01,29.0,74,0.30,968.97,0.0,5.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10.00,09-04-2019,19:00:00,33.50,33.5,25.9,000,1004.41,27.5,91,0.00,977.07,0.0,2.80
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,10.00,09-04-2019,19:00:00,31.56,34.7,24.9,000,1002.39,30.2,74,0.00,969.43,0.0,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,12.00,09-04-2019,19:00:00,31.46,33.1,24.9,260,1003.56,28.6,80,0.00,985.25,3.7,5.70
48331,NAN,น่าน,น่าน,18.77972,100.77778,10.00,09-04-2019,19:00:00,30.78,34.1,24.5,000,1003.35,30.8,69,0.00,980.94,0.0,0.00
