WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,WindDirection,DewPoint,StationPressure,VaporPressure,LandVisibility,RelativeHumidity,WindSpeed,AirTemperature,Rainfall,Rainfall24Hr
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1008.00,07-26-2019,04:00:00,000,23.9,991.88,29.59,5.00,96,0.0,24.6,0.00,10.70
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1008.54,07-26-2019,04:00:00,000,24.9,1004.48,31.49,10.00,98,0.0,25.2,1.50,11.90
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1009.86,07-26-2019,04:00:00,000,23.0,999.06,28.11,6.00,91,0.0,24.5,0.90,2.80
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1008.78,07-26-2019,04:00:00,000,24.0,1006.84,29.82,6.00,91,0.0,25.6,0.40,0.70
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1008.52,07-26-2019,04:00:00,000,23.7,987.45,29.23,6.00,96,0.0,24.4,4.30,6.10
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1008.20,07-26-2019,04:00:00,270,23.0,990.34,28.01,10.00,94,7.4,24.0,1.40,15.50
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1008.08,07-26-2019,04:00:00,260,23.2,991.75,28.36,6.00,94,7.4,24.2,1.40,11.80
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1009.31,07-26-2019,04:00:00,000,23.6,995.14,29.16,6.00,93,0.0,24.8,1.80,12.10
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1009.66,07-26-2019,04:00:00,000,24.3,994.69,30.32,6.00,96,0.0,25.0,0.40,1.60
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1009.69,07-26-2019,04:00:00,000,24.1,994.87,30.03,2.50,97,0.0,24.7,3.80,8.00
