WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,LandVisibility,DewPoint,MeanSeaLevelPressure,StationPressure,Rainfall24Hr,WindSpeed,WindDirection,Rainfall,VaporPressure,RelativeHumidity
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,24.8,09-16-2019,04:00:00,7.00,24.1,1005.77,986.78,0.00,0.0,000,0.00,29.95,96
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,22.0,09-16-2019,04:00:00,5.00,20.9,1008.82,956.88,0.00,0.0,000,0.00,24.74,94
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,26.0,09-16-2019,04:00:00,5.00,24.1,1006.42,1002.45,1.70,0.0,000,0.00,30.03,89
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,20.6,09-16-2019,04:00:00,4.00,20.0,1008.06,912.59,2.10,0.0,000,0.00,23.33,96
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,26.3,09-16-2019,04:00:00,7.00,25.7,1006.88,990.86,0.00,0.0,000,0.00,33.07,97
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,26.3,09-16-2019,04:00:00,10.00,24.7,1006.67,1002.63,0.00,0.0,000,0.00,31.13,91
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,24.6,09-16-2019,04:00:00,7.00,23.1,1007.56,996.79,0.00,0.0,000,0.00,28.29,92
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,25.5,09-16-2019,04:00:00,9.00,24.2,1006.52,1004.59,12.60,0.0,000,0.00,30.17,93
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,25.3,09-16-2019,04:00:00,10.00,23.5,1006.81,985.84,0.00,0.0,000,0.00,29.01,90
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,25.7,09-16-2019,04:00:00,10.00,25.4,1006.35,988.62,0.00,0.0,000,0.00,32.45,98
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,26.5,09-16-2019,04:00:00,10.00,25.9,1006.23,990.06,0.00,0.0,000,0.00,33.47,97
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,26.1,09-16-2019,04:00:00,10.00,24.4,1006.63,992.56,1.10,0.0,000,0.00,30.48,90
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,25.4,09-16-2019,04:00:00,8.00,24.7,1007.28,992.37,0.80,0.0,000,0.00,31.06,96
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,25.6,09-16-2019,04:00:00,5.00,25.4,1007.35,992.61,0.00,0.0,000,0.00,32.53,99
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,26.9,09-16-2019,04:00:00,10.00,25.6,1006.64,1003.63,0.00,0.0,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.00,32.86,93
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,26.9,09-16-2019,04:00:00,7.00,24.6,1006.12,998.17,2.50,0.0,000,0.00,30.91,87
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,26.3,09-16-2019,04:00:00,8.00,24.7,1006.25,1005.14,4.40,0.0,000,0.00,31.13,91
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,26.2,09-16-2019,04:00:00,8.00,25.2,1006.64,991.92,1.50,0.0,000,0.00,32.04,94
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,26.2,09-16-2019,04:00:00,10.00,25.2,1006.22,1000.33,0.00,0.0,000,0.00,32.04,94
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,25.4,09-16-2019,04:00:00,8.00,24.8,1006.16,1005.36,24.70,0.0,000,0.00,31.33,97
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,26.0,09-16-2019,04:00:00,10.00,24.6,1005.86,1005.41,12.30,0.0,000,0.00,30.84,92
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,25.0,09-16-2019,04:00:00,4.00,24.3,1007.31,995.92,4.30,0.0,000,0.00,30.32,96
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,26.5,09-16-2019,04:00:00,10.00,24.5,1006.48,1005.47,0.00,0.0,000,0.00,30.70,89
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,24.3,09-16-2019,04:00:00,7.00,23.9,1006.64,1004.80,46.90,0.0,000,0.00,29.57,97
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,26.4,09-16-2019,04:00:00,7.00,24.4,1006.07,1005.30,0.40,0.0,000,0.00,30.51,89
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,25.0,09-16-2019,04:00:00,10.00,22.3,1005.86,1005.15,0.40,7.4,300,0.00,26.94,85
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,26.4,09-16-2019,04:00:00,7.00,25.3,1006.02,1005.32,11.00,0.0,000,0.00,32.15,93
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,25.8,09-16-2019,04:00:00,10.00,23.9,1006.95,985.71,0.00,0.0,000,0.00,29.66,89
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,24.9,09-16-2019,04:00:00,6.00,23.9,1006.69,989.86,0.70,0.0,000,0.00,29.61,94
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,25.0,09-16-2019,04:00:00,6.00,24.1,1007.11,990.57,0.20,0.0,000,0.00,30.05,95
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,25.7,09-16-2019,04:00:00,10.00,23.9,1006.76,984.82,0.00,0.0,000,0.00,29.74,90
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,23.1,09-16-2019,04:00:00,8.00,22.5,1007.04,963.25,0.60,0.0,000,0.00,27.24,96
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,24.4,09-16-2019,04:00:00,8.00,23.8,1006.68,985.95,0.40,0.0,000,0.00,29.49,97
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,24.0,09-16-2019,04:00:00,6.00,24.0,1007.83,986.79,2.20,3.7,280,0.00,29.82,100
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,26.5,09-16-2019,04:00:00,10.00,25.4,1006.32,1005.88,0.00,3.7,360,0.00,32.35,93
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,25.6,09-16-2019,04:00:00,6.00,25.2,1006.20,1004.78,11.50,0.0,000,0.00,31.98,97
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,25.2,09-16-2019,04:00:00,7.00,24.9,1006.42,1001.46,4.20,0.0,000,0.00,31.49,98
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,26.3,09-16-2019,04:00:00,10.00,23.5,1006.49,1003.20,20.90,0.0,000,0.00,28.98,85
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,26.5,09-16-2019,04:00:00,10.00,25.2,1006.58,1005.47,1.00,0.0,000,0.00,32.07,93
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,25.4,09-16-2019,04:00:00,10.00,24.5,1006.24,1005.94,4.20,0.0,000,1.00,30.79,95
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,28.0,09-16-2019,04:00:00,10.00,25.4,1008.06,1007.57,0.00,0.0,000,0.00,32.52,86
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,25.1,09-16-2019,04:00:00,10.00,24.4,1006.30,1004.89,30.00,0.0,000,0.00,30.50,96
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,24.0,09-16-2019,04:00:00,10.00,23.7,1007.53,999.44,36.90,0.0,000,0.00,29.30,98
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,26.4,09-16-2019,04:00:00,8.00,25.8,1005.95,1005.67,43.20,0.0,000,0.00,33.27,97
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,27.5,09-16-2019,04:00:00,10.00,25.4,1005.78,1002.66,15.00,0.0,000,0.00,32.36,88
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,27.5,09-16-2019,04:00:00,10.00,24.6,1006.16,999.24,0.50,7.4,300,0.00,30.97,84
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,26.0,09-16-2019,04:00:00,9.00,24.6,1006.75,1001.13,0.00,0.0,000,0.00,30.84,92
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,25.8,09-16-2019,04:00:00,10.00,24.6,1007.29,1006.03,0.00,0.0,000,0.00,31.00,93
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,26.5,09-16-2019,04:00:00,11.00,24.2,1006.05,1005.62,2.30,0.0,000,0.00,30.16,87
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,25.1,09-16-2019,04:00:00,8.00,23.2,1006.85,994.52,0.01,0.0,000,0.00,28.40,89
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,26.0,09-16-2019,04:00:00,10.00,23.5,1006.64,1005.93,0.00,0.0,000,0.00,28.97,86
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,25.5,09-16-2019,04:00:00,10.00,24.2,1005.78,1003.33,38.10,0.0,000,0.00,30.17,93
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,25.5,09-16-2019,04:00:00,10.00,24.6,1006.04,1005.52,51.40,0.0,000,0.00,30.98,95
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,25.8,09-16-2019,04:00:00,8.00,24.1,1006.03,1000.86,10.60,0.0,000,0.00,29.93,90
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,25.0,09-16-2019,04:00:00,7.00,24.4,1005.88,1005.47,69.80,0.0,000,0.00,30.58,97
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,24.5,09-16-2019,04:00:00,8.00,23.8,1005.89,1003.10,414.50,0.0,000,0.20,29.41,96
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,25.5,09-16-2019,04:00:00,10.00,22.5,1007.29,1006.50,0.60,7.4,190,0.00,27.29,84
48501,TRAD,ตราด,ตราด,11.76667,102.88333,26.0,09-16-2019,04:00:00,3.00,25.3,1006.10,1005.64,192.90,11.1,270,21.60,32.20,96
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,25.6,09-16-2019,04:00:00,8.00,22.5,1008.14,1007.45,24.70,9.3,270,0.00,27.21,83
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,23.8,09-16-2019,04:00:00,7.00,22.6,1008.08,1006.54,14.60,0.0,000,0.20,27.42,93
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,24.0,09-16-2019,04:00:00,6.00,23.0,1009.44,1008.51,105.60,5.6,210,22.10,28.01,94
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,25.2,09-16-2019,04:00:00,10.00,23.6,1008.04,1007.35,3.10,11.1,290,0.10,29.10,91
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,23.6,09-16-2019,04:00:00,7.00,23.0,1009.10,1008.29,5.60,0.0,000,1.60,28.09,96
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,24.5,09-16-2019,04:00:00,9.00,23.5,1007.03,1006.39,3.80,0.0,000,1.50,28.89,94
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,25.5,09-16-2019,04:00:00,10.00,23.3,1007.31,1006.90,1.60,29.6,270,0.80,28.59,88
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,25.0,09-16-2019,04:00:00,5.00,24.7,1010.65,1006.40,4.20,9.3,230,0.90,31.12,98
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,23.8,09-16-2019,04:00:00,5.00,23.5,1008.95,1007.32,6.30,0.0,000,3.70,28.95,98
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,24.1,09-16-2019,04:00:00,4.00,23.7,1009.90,1006.38,2.60,0.0,000,2.20,29.22,97
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,25.3,09-16-2019,04:00:00,7.00,23.7,1007.63,1006.27,5.40,0.0,000,0.00,29.28,91
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,25.5,09-16-2019,04:00:00,10.00,24.5,1009.83,1008.94,47.20,18.5,270,23.60,30.71,94
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,23.9,09-16-2019,04:00:00,8.00,22.7,1008.79,1005.19,11.20,9.3,310,9.40,27.59,93
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,26.1,09-16-2019,04:00:00,9.00,24.7,1008.59,1008.15,0.40,13.0,310,0.20,31.03,92
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,26.1,09-16-2019,04:00:00,9.00,23.8,1008.86,1007.86,11.00,13.0,290,10.50,29.41,87
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,26.5,09-16-2019,04:00:00,10.00,24.2,1008.66,1007.84,12.20,16.7,340,2.00,30.16,87
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,24.8,09-16-2019,04:00:00,8.00,24.2,1008.59,1006.77,6.60,0.0,000,0.00,30.22,97
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,24.4,09-16-2019,04:00:00,10.00,23.5,1008.18,1007.43,15.20,1.9,180,0.00,28.97,95
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,23.7,09-16-2019,04:00:00,10.00,23.4,1008.64,1004.60,6.00,0.0,000,0.00,28.77,98
48570,SATUN,สตูล,สตูล,6.65000,100.08333,24.7,09-16-2019,04:00:00,10.00,24.1,1009.32,1008.63,4.90,0.0,000,1.00,30.03,97
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,23.5,09-16-2019,04:00:00,10.00,23.0,1008.88,1007.75,22.40,0.0,000,0.00,28.17,97
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,23.9,09-16-2019,04:00:00,10.00,23.5,1008.76,1005.81,2.70,0.0,000,0.00,28.86,97
