WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,VaporPressure,StationPressure,Rainfall,LandVisibility,Rainfall24Hr,WindDirection,RelativeHumidity,WindSpeed,AirTemperature,DewPoint
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1012.02,09-13-2019,01:00:00,29.41,1008.50,0.00,5.00,43.00,000,96,0.0,24.5,23.8
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1012.00,09-13-2019,01:00:00,29.05,1010.63,0.00,7.00,3.30,000,96,0.0,24.3,23.6
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1012.55,09-13-2019,01:00:00,30.15,1011.66,0.00,10.00,0.00,000,94,0.0,25.2,24.2
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1012.24,09-13-2019,01:00:00,28.92,1008.64,0.00,10.00,0.00,000,91,0.0,25.1,23.5
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1011.69,09-13-2019,01:00:00,31.38,1011.25,0.00,10.00,0.80,000,88,0.0,27.0,24.8
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1011.70,09-13-2019,01:00:00,28.85,1010.69,0.00,10.00,0.00,000,88,0.0,25.5,23.4
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1012.07,09-13-2019,01:00:00,28.94,1011.25,0.00,10.00,0.00,290,81,13.0,27.0,23.5
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1011.90,09-13-2019,01:00:00,31.08,1010.07,0.00,7.00,0.00,000,94,0.0,25.7,24.7
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1012.26,09-13-2019,01:00:00,28.67,1011.50,0.00,6.00,0.00,230,88,5.6,25.4,23.3
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1012.47,09-13-2019,01:00:00,28.43,1008.41,0.00,5.00,0.60,100,97,3.7,23.8,23.2
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1012.67,09-13-2019,01:00:00,27.30,1011.98,0.00,8.00,0.00,000,82,0.0,25.8,22.5
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1012.52,09-13-2019,01:00:00,29.95,1009.56,0.00,10.00,1.50,000,96,0.0,24.8,24.1
