WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,MeanSeaLevelPressure,AirTemperature,StationPressure,Rainfall,LandVisibility,DewPoint,RelativeHumidity,Rainfall24Hr,WindSpeed,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,000,08-06-2019,22:00:00,1006.37,25.9,975.46,0.10,8.00,24.2,90,13.00,0.0,30.11
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,000,08-06-2019,22:00:00,1004.37,18.7,843.48,0.00,8.00,18.4,98,16.60,0.0,21.11
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,260,08-06-2019,22:00:00,1005.41,26.3,961.96,0.00,12.00,24.3,89,10.30,3.7,30.32
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,000,08-06-2019,22:00:00,1005.36,25.5,959.90,0.00,15.00,23.7,90,0.00,0.0,29.38
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,000,08-06-2019,22:00:00,1005.01,25.0,967.36,0.00,5.00,23.5,92,20.60,0.0,29.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,150,08-06-2019,22:00:00,1005.75,27.0,960.93,0.00,12.00,22.6,77,0.00,9.3,27.36
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,160,08-06-2019,22:00:00,1006.03,27.5,979.46,0.00,8.00,23.9,81,17.10,7.4,29.60
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,000,08-06-2019,22:00:00,1006.92,25.9,985.13,0.10,10.00,24.6,93,0.50,0.0,30.92
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,08-06-2019,22:00:00,1007.40,24.8,983.18,2.50,6.00,23.9,95,19.10,0.0,29.69
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,000,08-06-2019,22:00:00,1006.44,26.8,972.03,0.01,9.00,23.6,83,0.30,0.0,29.10
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,000,08-06-2019,22:00:00,1006.86,26.6,979.37,0.00,10.00,23.7,84,5.10,0.0,29.27
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,000,08-06-2019,22:00:00,1006.09,26.6,972.62,0.00,10.00,25.0,91,2.00,0.0,31.71
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,270,08-06-2019,22:00:00,1006.26,27.0,987.80,0.00,15.00,25.4,91,4.00,3.7,32.49
48331,NAN,น่าน,น่าน,18.77972,100.77778,000,08-06-2019,22:00:00,1006.05,27.5,983.33,0.00,10.00,23.9,81,3.70,0.0,29.60
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,000,08-06-2019,22:00:00,1006.32,25.5,976.38,0.00,9.00,24.0,92,2.90,0.0,29.91
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,000,08-06-2019,22:00:00,1006.52,25.5,970.96,0.00,5.00,23.9,91,2.20,0.0,29.64
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,000,08-06-2019,22:00:00,1005.83,26.1,976.13,0.00,14.00,23.0,83,2.30,0.0,28.10
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,000,08-06-2019,22:00:00,1006.58,27.5,999.29,0.00,9.00,23.9,81,27.80,0.0,29.60
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,000,08-06-2019,22:00:00,1004.40,29.0,984.69,0.00,10.00,25.5,81,0.00,0.0,32.55
48353,LOEI,เลย,เลย,17.45000,101.73333,280,08-06-2019,22:00:00,1005.88,28.7,977.46,0.00,12.00,20.7,62,0.30,5.6,24.41
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,230,08-06-2019,22:00:00,1005.04,29.0,985.05,0.00,15.00,24.3,76,0.00,5.6,30.29
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,000,08-06-2019,22:00:00,1004.98,27.0,983.31,0.00,12.00,25.6,92,0.00,0.0,32.77
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,000,08-06-2019,22:00:00,1004.60,28.2,985.25,0.00,13.00,26.5,91,0.00,0.0,34.65
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,000,08-06-2019,22:00:00,1005.57,27.0,988.86,0.00,10.00,25.3,90,2.00,0.0,32.21
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,000,08-06-2019,22:00:00,1005.64,26.0,988.21,0.00,10.00,24.6,92,2.90,0.0,30.84
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,000,08-06-2019,22:00:00,1004.63,27.0,978.93,0.00,10.00,24.8,88,6.10,0.0,31.38
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,000,08-06-2019,22:00:00,1006.62,26.7,1000.83,0.00,10.00,26.1,97,11.30,0.0,33.87
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,000,08-06-2019,22:00:00,1006.73,26.0,1000.52,0.00,10.00,25.6,98,22.40,0.0,32.76
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,190,08-06-2019,22:00:00,1007.46,28.0,991.07,0.00,10.00,24.1,79,1.70,5.6,30.01
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,000,08-06-2019,22:00:00,1007.01,23.5,984.43,9.40,6.00,22.8,96,25.40,0.0,27.66
48376,TAK,ตาก,ตาก,16.87833,99.14333,000,08-06-2019,22:00:00,1007.67,26.0,993.23,1.50,5.00,24.8,93,7.90,0.0,31.38
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,000,08-06-2019,22:00:00,1007.24,24.5,990.72,3.00,7.00,23.8,96,14.20,0.0,29.41
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,000,08-06-2019,22:00:00,1007.13,28.0,1001.92,0.00,10.00,25.7,88,2.60,0.0,33.08
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,000,08-06-2019,22:00:00,1005.61,28.2,992.49,0.00,10.00,24.5,80,1.40,0.0,30.67
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,000,08-06-2019,22:00:00,1006.88,27.2,997.57,0.20,10.00,26.1,94,4.40,0.0,33.74
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,250,08-06-2019,22:00:00,1005.39,29.8,983.94,0.00,10.00,23.6,69,0.00,7.4,29.08
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,000,08-06-2019,22:00:00,1005.46,27.0,987.99,0.00,10.00,24.1,84,0.00,0.0,30.02
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,000,08-06-2019,22:00:00,1004.31,27.7,988.56,0.00,10.00,26.7,94,52.90,0.0,35.06
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,000,08-06-2019,22:00:00,1004.47,29.5,985.79,0.00,10.00,24.2,73,0.01,0.0,30.16
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,000,08-06-2019,22:00:00,1009.56,23.5,957.84,1.60,7.00,22.4,94,21.70,0.0,27.16
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,000,08-06-2019,22:00:00,1006.56,28.9,1002.63,0.00,7.00,25.8,83,0.20,0.0,33.20
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,000,08-06-2019,22:00:00,1008.22,21.1,912.89,3.50,.80,20.6,97,19.90,0.0,24.30
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,000,08-06-2019,22:00:00,1005.44,27.2,989.49,0.00,6.00,25.2,89,0.90,0.0,32.05
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,000,08-06-2019,22:00:00,1007.19,27.3,1003.16,4.00,8.00,26.9,98,6.90,0.0,35.39
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,000,08-06-2019,22:00:00,1008.59,27.2,997.91,0.00,7.00,24.8,87,0.00,0.0,31.22
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,180,08-06-2019,22:00:00,1007.93,27.0,1006.00,0.00,7.00,16.5,53,1.10,3.7,18.78
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,210,08-06-2019,22:00:00,1006.73,29.1,986.02,0.00,10.00,22.5,68,0.00,5.6,27.21
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,210,08-06-2019,22:00:00,1005.59,28.5,988.04,0.00,10.00,24.9,81,0.00,11.1,31.54
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,190,08-06-2019,22:00:00,1004.84,29.5,988.85,0.00,10.00,23.9,72,0.00,5.6,29.60
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,230,08-06-2019,22:00:00,1005.57,28.5,991.62,0.00,10.00,22.5,70,0.60,5.6,27.18
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,000,08-06-2019,22:00:00,1006.28,28.3,991.53,0.00,8.00,23.8,77,1.00,0.0,29.49
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,000,08-06-2019,22:00:00,1006.41,25.6,991.68,1.60,6.00,24.7,95,1.60,0.0,31.17
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",08-06-2019,22:00:00,1007.00,28.1,1003.99,0.10,10.00,24.5,81,0.80,0.0,30.75
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,000,08-06-2019,22:00:00,1007.14,28.6,999.23,0.00,8.00,24.3,78,0.00,0.0,30.34
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,150,08-06-2019,22:00:00,1007.91,28.0,1006.80,0.00,6.00,25.1,85,6.60,5.6,31.95
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,000,08-06-2019,22:00:00,1006.65,27.0,991.97,0.00,8.00,23.3,80,18.10,0.0,28.67
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,280,08-06-2019,22:00:00,1009.65,19.8,874.44,0.00,.05,19.6,99,18.80,9.3,22.85
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,200,08-06-2019,22:00:00,1007.71,28.6,1001.85,0.00,10.00,24.4,78,0.90,7.4,30.62
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,000,08-06-2019,22:00:00,1008.05,29.0,1007.26,0.00,8.00,25.2,80,6.50,0.0,31.98
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,210,08-06-2019,22:00:00,1007.02,28.9,1006.58,0.00,10.00,24.8,78,1.60,9.3,31.21
