WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,WindDirection,WindSpeed,LandVisibility,RelativeHumidity,Rainfall24Hr,Rainfall,StationPressure,DewPoint,MeanSeaLevelPressure,VaporPressure
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,24.6,09-23-2019,22:00:00,000,0.0,8.00,95,38.30,7.60,992.69,23.7,1014.89,29.33
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,23.0,09-23-2019,22:00:00,080,14.8,2.00,96,13.40,4.50,971.09,22.2,1015.26,26.83
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,24.1,09-23-2019,22:00:00,040,3.7,8.00,96,49.50,2.00,993.86,23.4,1014.77,28.70
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,24.5,09-23-2019,22:00:00,080,3.7,8.00,99,2.20,0.00,995.12,24.3,1016.30,30.46
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,25.1,09-23-2019,22:00:00,060,9.3,8.00,97,30.50,6.30,1012.89,24.5,1013.33,30.77
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,24.5,09-23-2019,22:00:00,000,0.0,6.00,96,5.90,2.10,1012.30,23.8,1013.74,29.41
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,24.7,09-23-2019,22:00:00,000,0.0,7.00,97,13.20,13.20,1009.31,24.3,1014.32,30.30
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,24.4,09-23-2019,22:00:00,000,0.0,4.00,94,30.30,2.50,1010.80,23.4,1014.15,28.71
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,24.8,09-23-2019,22:00:00,000,0.0,7.00,97,27.00,1.90,1013.21,24.4,1014.33,30.48
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,25.5,09-23-2019,22:00:00,040,5.6,10.00,93,12.90,0.20,1013.90,24.3,1014.20,30.44
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,24.9,09-23-2019,22:00:00,110,5.6,10.00,97,20.40,0.10,1013.26,24.3,1013.76,30.40
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,24.8,09-23-2019,22:00:00,060,7.4,9.00,98,16.40,0.20,1012.80,24.5,1014.23,30.75
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,24.0,09-23-2019,22:00:00,000,0.0,10.00,97,9.20,0.00,1007.71,23.6,1015.86,29.04
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,25.5,09-23-2019,22:00:00,020,9.3,8.00,96,35.40,0.00,1013.31,24.8,1013.59,31.25
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,26.5,09-23-2019,22:00:00,000,0.0,10.00,88,20.30,0.00,1010.21,24.3,1013.37,30.43
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,24.8,09-23-2019,22:00:00,000,0.0,10.00,95,23.70,0.00,1006.60,23.9,1013.64,29.69
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,25.9,09-23-2019,22:00:00,000,0.0,8.00,93,2.10,0.00,1008.18,24.6,1013.83,30.92
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,24.8,09-23-2019,22:00:00,000,0.0,2.00,99,63.20,1.60,1012.81,24.6,1014.09,31.02
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,27.6,09-23-2019,22:00:00,160,22.2,11.00,84,4.90,0.00,1013.00,24.6,1013.44,30.89
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,25.4,09-23-2019,22:00:00,180,3.7,10.00,92,6.30,0.00,994.75,24.1,1007.07,29.99
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,27.0,09-23-2019,22:00:00,000,0.0,10.00,87,8.30,0.00,1012.70,24.5,1013.42,30.83
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,25.4,09-23-2019,22:00:00,000,0.0,10.00,92,4.20,0.00,1011.56,23.9,1014.02,29.72
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,25.5,09-23-2019,22:00:00,000,0.0,7.00,93,0.90,0.00,1012.63,24.2,1013.16,30.17
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,25.0,09-23-2019,22:00:00,040,3.7,8.00,93,14.10,0.00,1008.41,23.8,1013.64,29.52
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,25.5,09-23-2019,22:00:00,010,5.6,7.00,93,6.30,0.00,1012.76,24.3,1013.18,30.44
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,25.0,09-23-2019,22:00:00,000,0.0,8.00,96,5.90,0.00,1010.42,24.3,1013.22,30.32
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,25.0,09-23-2019,22:00:00,000,0.0,10.00,96,2.10,0.00,1013.46,24.3,1014.26,30.32
48501,TRAD,ตราด,ตราด,11.76667,102.88333,25.0,09-23-2019,22:00:00,120,9.3,7.00,96,0.70,0.10,1012.13,24.3,1012.59,30.32
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,26.8,09-23-2019,22:00:00,000,0.0,7.00,90,0.20,0.00,1012.41,24.9,1013.09,31.55
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,26.6,09-23-2019,22:00:00,000,0.0,6.00,90,0.40,0.00,1011.25,24.9,1012.79,31.44
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,27.2,09-23-2019,22:00:00,040,5.6,10.00,73,0.00,0.00,1011.74,22.0,1012.66,26.41
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,26.8,09-23-2019,22:00:00,030,7.4,9.00,87,4.90,0.00,1012.66,24.5,1013.35,30.72
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,25.7,09-23-2019,22:00:00,000,0.0,8.00,92,8.50,0.00,1012.16,24.2,1012.97,30.28
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,25.5,09-23-2019,22:00:00,000,0.0,7.00,96,6.30,0.00,1011.97,24.8,1012.61,31.25
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,25.8,09-23-2019,22:00:00,000,0.0,8.00,95,9.20,0.00,1012.20,24.9,1012.61,31.55
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,26.2,09-23-2019,22:00:00,000,0.0,6.00,88,5.80,0.00,1010.37,24.0,1014.62,29.86
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,25.9,09-23-2019,22:00:00,000,0.0,6.00,91,1.00,0.00,1011.19,24.3,1012.82,30.38
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,25.5,09-23-2019,22:00:00,000,0.0,10.00,96,2.50,0.00,1009.00,24.8,1012.51,31.25
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,25.5,09-23-2019,22:00:00,000,0.0,3.00,96,24.30,0.00,1010.90,24.8,1012.27,31.25
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,26.5,09-23-2019,22:00:00,000,0.0,8.00,88,0.00,0.00,1011.07,24.3,1011.96,30.43
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,25.8,09-23-2019,22:00:00,050,5.6,7.00,90,0.00,0.00,1008.31,24.1,1011.90,29.93
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,28.4,09-23-2019,22:00:00,050,5.6,8.00,79,0.00,0.00,1011.27,24.4,1011.71,30.51
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,28.3,09-23-2019,22:00:00,000,0.0,5.00,77,0.01,0.00,1010.04,24.0,1011.03,29.76
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,27.8,09-23-2019,22:00:00,060,13.0,8.00,76,0.00,0.00,1010.96,23.3,1011.77,28.55
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,26.6,09-23-2019,22:00:00,000,0.0,6.00,87,1.20,0.00,1010.17,24.3,1012.00,30.34
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,28.5,09-23-2019,22:00:00,040,3.7,6.00,71,9.30,0.00,1011.38,22.8,1012.13,27.71
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,26.3,09-23-2019,22:00:00,000,0.0,6.00,86,0.01,0.00,1008.71,23.8,1012.73,29.52
48570,SATUN,สตูล,สตูล,6.65000,100.08333,27.6,09-23-2019,22:00:00,100,5.6,7.00,74,0.00,0.00,1011.30,22.6,1011.99,27.39
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,27.4,09-23-2019,22:00:00,090,9.3,7.00,78,0.80,0.00,1011.45,23.2,1012.57,28.35
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,26.1,09-23-2019,22:00:00,000,0.0,8.00,91,0.00,0.00,1009.29,24.5,1012.23,30.76
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,26.0,09-23-2019,22:00:00,000,0.0,5.00,96,0.00,0.00,1011.30,25.3,1011.99,32.20
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,25.2,09-23-2019,22:00:00,000,0.0,4.00,90,0.00,0.00,1008.52,23.4,1012.69,28.83
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,27.2,09-23-2019,22:00:00,000,0.0,7.00,85,0.00,0.00,1011.70,24.5,1012.29,30.67
