WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,WindDirection,WindSpeed,LandVisibility,RelativeHumidity,Rainfall24Hr,Rainfall,StationPressure,DewPoint,MeanSeaLevelPressure,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,24.1,09-23-2019,22:00:00,000,0.0,10.00,86,0.00,0.00,983.37,21.5,1014.72,25.68
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,18.2,09-23-2019,22:00:00,120,22.2,8.00,79,0.00,0.00,851.43,14.6,1014.13,16.57
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,23.2,09-23-2019,22:00:00,000,0.0,12.00,85,0.00,0.00,970.99,20.6,1015.32,24.23
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,22.1,09-23-2019,22:00:00,000,0.0,15.00,88,0.00,0.00,969.07,20.1,1015.51,23.48
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,22.2,09-23-2019,22:00:00,000,0.0,6.00,95,0.00,0.00,977.84,21.3,1016.26,25.29
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,23.8,09-23-2019,22:00:00,000,0.0,10.00,89,0.00,0.00,969.89,21.8,1015.62,26.17
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,25.9,09-23-2019,22:00:00,000,0.0,7.00,89,0.00,0.00,988.38,23.9,1015.34,29.58
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,24.9,09-23-2019,22:00:00,000,0.0,11.00,92,15.80,0.00,992.75,23.6,1014.78,29.08
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,24.0,09-23-2019,22:00:00,000,0.0,8.00,91,0.50,0.00,990.47,22.5,1014.94,27.25
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,26.0,09-23-2019,22:00:00,000,0.0,10.00,78,1.00,0.00,980.45,22.0,1015.25,26.37
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,25.4,09-23-2019,22:00:00,000,0.0,10.00,82,0.00,0.00,987.48,22.1,1015.32,26.61
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,26.3,09-23-2019,22:00:00,000,0.0,10.00,86,0.00,0.00,980.79,23.8,1014.59,29.52
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,25.9,09-23-2019,22:00:00,000,0.0,7.00,86,0.00,0.00,996.20,23.4,1014.89,28.78
48331,NAN,น่าน,น่าน,18.77972,100.77778,25.3,09-23-2019,22:00:00,000,0.0,10.00,86,3.40,0.00,992.23,22.8,1015.32,27.72
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,24.8,09-23-2019,22:00:00,000,0.0,10.00,89,0.20,0.00,985.02,22.9,1015.30,27.87
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,23.6,09-23-2019,22:00:00,000,0.0,7.00,90,0.00,0.00,979.18,21.9,1015.28,26.33
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,22.3,09-23-2019,22:00:00,000,0.0,3.00,88,0.00,0.00,984.85,20.3,1015.20,23.78
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,27.7,09-23-2019,22:00:00,000,0.0,8.00,73,0.00,0.00,1007.02,22.4,1014.36,27.04
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,27.4,09-23-2019,22:00:00,080,9.3,6.00,68,0.00,0.00,994.35,21.1,1014.36,24.97
48353,LOEI,เลย,เลย,17.45000,101.73333,23.4,09-23-2019,22:00:00,000,0.0,10.00,84,0.00,0.00,986.03,20.5,1015.23,24.07
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,26.7,09-23-2019,22:00:00,080,3.7,8.00,77,0.00,0.00,995.05,22.2,1015.39,26.82
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,25.0,09-23-2019,22:00:00,100,3.7,6.00,76,0.00,0.00,993.91,20.4,1015.96,23.96
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,25.6,09-23-2019,22:00:00,220,5.6,12.00,73,0.00,0.00,995.97,20.4,1015.71,23.96
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,25.1,09-23-2019,22:00:00,000,0.0,10.00,65,0.00,0.00,999.38,18.0,1016.38,20.56
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,23.0,09-23-2019,22:00:00,000,0.0,10.00,87,0.00,0.00,998.88,20.7,1016.68,24.39
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,24.7,09-23-2019,22:00:00,000,0.0,8.00,84,0.00,0.00,984.13,21.8,1010.16,26.18
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,28.3,09-23-2019,22:00:00,000,0.0,12.00,88,0.00,0.00,1007.74,26.2,1013.54,33.99
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,27.5,09-23-2019,22:00:00,000,0.0,10.00,84,0.00,0.00,1007.65,24.6,1013.87,30.97
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,26.4,09-23-2019,22:00:00,000,0.0,10.00,72,0.00,0.00,998.89,21.0,1015.50,24.78
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,26.5,09-23-2019,22:00:00,030,3.7,10.00,80,0.00,0.00,989.82,22.8,1012.29,27.77
48376,TAK,ตาก,ตาก,16.87833,99.14333,26.7,09-23-2019,22:00:00,000,0.0,6.00,88,0.00,0.00,1000.24,24.5,1014.75,30.81
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,25.0,09-23-2019,22:00:00,000,0.0,8.00,90,4.20,0.00,997.99,23.2,1014.60,28.48
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,27.0,09-23-2019,22:00:00,000,0.0,10.00,80,0.00,0.00,1009.27,23.3,1014.53,28.67
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,26.5,09-23-2019,22:00:00,000,0.0,10.00,80,0.00,0.00,999.95,22.8,1013.25,27.77
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,27.2,09-23-2019,22:00:00,170,3.7,10.00,75,0.00,0.00,1005.15,22.5,1014.54,27.19
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,26.2,09-23-2019,22:00:00,090,5.6,8.00,80,0.00,0.00,992.94,22.5,1014.85,27.23
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,26.7,09-23-2019,22:00:00,000,0.0,10.00,84,0.00,0.00,997.73,23.8,1015.39,29.45
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,26.6,09-23-2019,22:00:00,060,3.7,10.00,69,0.00,0.00,999.47,20.3,1015.45,23.87
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,25.7,09-23-2019,22:00:00,000,0.0,8.00,89,0.00,0.00,994.89,23.8,1013.98,29.48
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,23.0,09-23-2019,22:00:00,000,0.0,7.00,87,0.00,0.00,962.18,20.7,1014.22,24.39
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,27.6,09-23-2019,22:00:00,130,5.6,5.00,84,0.00,0.00,1010.04,24.6,1014.01,30.89
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,21.8,09-23-2019,22:00:00,000,0.0,4.00,84,0.01,0.00,918.99,18.9,1014.72,21.89
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,26.2,09-23-2019,22:00:00,100,5.6,8.00,82,0.00,0.00,999.04,22.8,1015.20,27.75
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,27.0,09-23-2019,22:00:00,000,0.0,8.00,77,0.00,0.00,1010.22,22.6,1014.28,27.36
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,25.5,09-23-2019,22:00:00,000,0.0,7.00,82,0.80,0.00,1004.52,22.2,1015.34,26.78
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,26.2,09-23-2019,22:00:00,000,0.0,7.00,86,0.80,0.00,1012.98,23.7,1014.93,29.33
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,26.1,09-23-2019,22:00:00,000,0.0,10.00,80,0.00,0.00,993.80,22.4,1014.88,27.06
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,26.0,09-23-2019,22:00:00,080,11.1,10.00,81,0.00,0.00,997.22,22.4,1015.08,27.14
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,27.1,09-23-2019,22:00:00,070,5.6,10.00,71,0.00,0.00,998.51,21.4,1014.79,25.47
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,26.0,09-23-2019,22:00:00,050,5.6,8.00,73,7.80,0.00,1000.39,20.7,1014.58,24.37
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,25.8,09-23-2019,22:00:00,000,0.0,7.00,70,12.80,0.00,1000.10,20.0,1015.10,23.31
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,26.8,09-23-2019,22:00:00,050,14.8,8.00,78,4.30,0.00,1000.11,22.7,1014.91,27.52
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,27.3,09-23-2019,22:00:00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.0,8.00,79,0.90,0.00,1011.23,23.4,1014.27,28.69
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,26.6,09-23-2019,22:00:00,000,0.0,7.00,80,0.00,0.00,1006.24,22.8,1014.26,27.69
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,25.0,09-23-2019,22:00:00,050,3.7,5.00,94,7.00,4.80,1012.86,24.0,1013.99,29.79
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,26.4,09-23-2019,22:00:00,090,3.7,8.00,85,0.00,0.00,999.77,23.6,1014.59,29.17
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,18.9,09-23-2019,22:00:00,150,5.6,4.00,99,31.30,5.00,879.24,18.7,1015.63,21.60
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,20.8,09-23-2019,22:00:00,000,0.0,8.00,88,0.00,0.00,1008.51,18.7,1014.56,21.58
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,24.7,09-23-2019,22:00:00,000,0.0,7.00,97,31.30,0.20,1013.36,24.1,1014.17,30.03
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,25.8,09-23-2019,22:00:00,120,5.6,10.00,92,61.40,0.00,1013.36,24.3,1013.81,30.46
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,24.7,09-23-2019,22:00:00,000,0.0,4.00,92,0.00,0.00,1002.12,23.4,1013.58,28.72
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,25.0,09-23-2019,22:00:00,000,0.0,6.00,98,1.60,1.40,1013.36,24.7,1014.38,31.12
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,25.2,09-23-2019,22:00:00,000,0.0,7.00,93,2.80,1.60,1012.75,24.0,1014.59,29.89
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,25.4,09-23-2019,22:00:00,000,0.0,6.00,94,10.10,0.80,1013.35,24.4,1014.12,30.52
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,25.2,09-23-2019,22:00:00,050,7.4,10.00,90,9.80,0.01,1013.03,23.4,1013.74,28.83
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,25.8,09-23-2019,22:00:00,090,5.6,7.00,93,6.70,0.40,1012.94,24.6,1013.65,31.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,25.3,09-23-2019,22:00:00,000,0.0,8.00,89,24.40,0.01,993.38,23.4,1014.81,28.75
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,26.9,09-23-2019,22:00:00,000,0.0,7.00,95,22.90,0.00,997.72,26.0,1014.56,33.70
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,26.0,09-23-2019,22:00:00,000,0.0,7.00,92,19.50,0.00,998.13,24.6,1014.74,30.84
