WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,Rainfall24Hr,DewPoint,VaporPressure,Rainfall,AirTemperature,LandVisibility,MeanSeaLevelPressure,WindDirection,WindSpeed,RelativeHumidity
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1007.87,07-10-2019,04:00:00,0.00,23.9,29.71,0.00,29.7,10.00,1008.38,240,14.8,71
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1003.06,07-10-2019,04:00:00,0.00,23.7,29.23,0.00,26.0,7.00,1008.24,000,0.0,87
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1008.41,07-10-2019,04:00:00,13.10,22.1,26.66,10.80,23.5,4.00,1008.82,000,0.0,92
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1006.17,07-10-2019,04:00:00,18.80,23.2,28.42,8.00,23.5,8.00,1008.98,040,7.4,98
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1007.35,07-10-2019,04:00:00,0.00,22.8,27.69,0.00,26.6,10.00,1008.14,000,0.0,80
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1009.07,07-10-2019,04:00:00,3.70,23.3,28.56,3.70,24.9,5.00,1009.53,330,5.6,91
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1008.67,07-10-2019,04:00:00,0.80,24.3,30.46,0.00,25.8,10.00,1009.35,000,0.0,92
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1005.96,07-10-2019,04:00:00,0.00,24.0,29.79,0.00,25.0,8.00,1007.50,000,0.0,94
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1008.66,07-10-2019,04:00:00,0.00,24.0,29.91,0.00,25.5,10.00,1009.58,000,0.0,92
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1008.55,07-10-2019,04:00:00,0.00,25.0,31.67,0.00,28.0,10.00,1009.24,270,5.6,84
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1009.05,07-10-2019,04:00:00,0.00,23.3,28.53,0.00,24.0,7.00,1009.86,000,0.0,96
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1007.75,07-10-2019,04:00:00,0.00,23.6,29.08,0.00,26.5,10.00,1008.38,000,0.0,84
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1008.63,07-10-2019,04:00:00,0.01,23.4,28.81,0.00,24.6,10.00,1009.04,000,0.0,93
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1007.67,07-10-2019,04:00:00,0.00,23.8,29.41,0.00,24.5,5.00,1011.93,000,0.0,96
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1007.79,07-10-2019,04:00:00,0.00,23.5,28.96,0.00,24.1,10.00,1009.42,000,0.0,97
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1006.13,07-10-2019,04:00:00,0.00,24.1,29.95,0.00,24.8,6.00,1009.64,000,0.0,96
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1007.67,07-10-2019,04:00:00,1.20,23.7,29.30,0.00,24.0,8.00,1009.04,000,0.0,98
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1008.18,07-10-2019,04:00:00,0.00,23.5,29.00,0.00,25.0,10.00,1009.07,000,0.0,92
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1005.64,07-10-2019,04:00:00,1.50,24.2,30.12,0.00,24.6,10.00,1009.24,000,0.0,97
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1008.34,07-10-2019,04:00:00,0.00,24.1,30.02,0.00,27.0,10.00,1008.78,000,0.0,84
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1007.83,07-10-2019,04:00:00,0.00,24.2,30.15,0.00,25.2,10.00,1008.83,000,0.0,94
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1008.33,07-10-2019,04:00:00,0.00,23.6,29.08,0.00,24.9,10.00,1009.15,270,9.3,92
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1007.36,07-10-2019,04:00:00,0.00,23.8,29.41,0.00,24.5,10.00,1009.19,000,0.0,96
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1008.07,07-10-2019,04:00:00,1.30,24.1,29.93,0.00,25.8,10.00,1008.83,000,0.0,90
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1005.08,07-10-2019,04:00:00,0.00,23.3,28.62,0.00,24.2,10.00,1009.12,270,3.7,95
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1008.07,07-10-2019,04:00:00,0.00,22.2,26.75,0.00,23.7,10.00,1008.77,000,0.0,91
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1008.00,07-10-2019,04:00:00,0.00,23.7,29.33,0.00,24.6,10.00,1009.12,000,0.0,95
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1006.18,07-10-2019,04:00:00,0.00,23.7,29.25,0.00,24.7,10.00,1009.13,000,0.0,94
