WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,DewPoint,WindDirection,Rainfall24Hr,MeanSeaLevelPressure,AirTemperature,WindSpeed,RelativeHumidity,VaporPressure,LandVisibility,StationPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,09-26-2019,13:00:00,24.1,270,0.00,1013.58,31.1,5.6,66,29.96,10.00,982.97
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,09-26-2019,13:00:00,15.8,140,0.00,1013.76,20.2,9.3,76,17.98,8.00,852.11
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,09-26-2019,13:00:00,18.9,050,0.00,1014.80,30.0,11.1,51,21.83,10.00,971.46
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,09-26-2019,13:00:00,18.6,030,0.00,1014.55,30.5,9.3,49,21.42,15.00,969.41
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,09-26-2019,13:00:00,20.8,000,0.00,1014.01,32.0,0.0,52,24.57,10.00,976.88
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,09-26-2019,13:00:00,22.4,260,0.00,1014.37,31.2,5.6,60,27.11,8.00,969.77
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,09-26-2019,13:00:00,21.0,200,0.00,1014.72,32.0,3.7,52,24.83,10.00,988.30
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,09-26-2019,13:00:00,20.4,090,0.00,1013.99,32.5,9.3,49,23.89,8.00,992.52
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,09-26-2019,13:00:00,22.5,000,0.00,1012.68,33.0,0.0,54,27.28,10.00,988.97
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,09-26-2019,13:00:00,19.6,350,0.00,1013.91,32.5,5.6,47,22.84,10.00,979.89
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,09-26-2019,13:00:00,22.4,000,0.00,1014.61,31.2,0.0,60,27.11,10.00,987.32
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,09-26-2019,13:00:00,21.9,090,0.00,1014.36,31.0,5.6,58,26.19,10.00,981.09
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,09-26-2019,13:00:00,23.0,020,0.00,1013.74,33.0,5.6,56,28.12,5.00,995.50
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,09-26-2019,13:00:00,21.7,000,0.00,1014.50,31.7,0.0,55,25.88,10.00,991.91
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,09-26-2019,13:00:00,19.9,000,0.00,1014.35,30.5,0.0,53,23.19,12.00,984.66
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,09-26-2019,13:00:00,22.8,000,0.00,1014.57,30.5,0.0,63,27.68,8.00,979.31
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,09-26-2019,13:00:00,21.0,120,0.00,1013.49,32.0,7.4,52,24.83,8.00,984.13
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,09-26-2019,13:00:00,21.8,000,0.00,1013.62,33.5,0.0,50,26.04,9.00,1006.43
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,09-26-2019,13:00:00,21.5,090,0.00,1013.90,33.3,14.8,50,25.65,7.00,994.29
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,09-26-2019,13:00:00,20.2,160,0.00,1013.94,32.8,3.7,48,23.64,9.00,985.67
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,09-26-2019,13:00:00,20.3,080,0.00,1013.93,32.3,7.4,49,23.79,12.00,993.98
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,09-26-2019,13:00:00,21.5,120,0.00,1014.66,32.0,11.1,54,25.64,8.00,993.14
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,09-26-2019,13:00:00,19.3,060,0.00,1013.56,31.5,5.6,48,22.37,10.00,994.25
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,09-26-2019,13:00:00,17.8,080,0.00,1013.81,33.9,13.0,39,20.40,11.00,997.34
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,09-26-2019,13:00:00,21.1,080,0.00,1014.06,34.4,3.7,46,25.02,11.00,996.95
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,09-26-2019,13:00:00,19.9,120,0.00,1013.17,32.0,7.4,49,23.25,9.00,987.67
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,09-26-2019,13:00:00,24.1,000,0.00,1013.70,32.0,0.0,63,30.08,8.00,1007.97
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,09-26-2019,13:00:00,23.7,130,0.00,1013.94,33.0,5.6,58,29.25,8.00,1007.83
