WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,Rainfall,WindSpeed,WindDirection,VaporPressure,StationPressure,Rainfall24Hr,MeanSeaLevelPressure,AirTemperature,LandVisibility,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,23.3,07-11-2019,01:00:00,0.00,0.0,000,28.55,977.31,4.00,1008.42,24.6,8.00,92
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,17.7,07-11-2019,01:00:00,0.00,0.0,000,20.21,843.46,0.00,1004.47,18.5,8.00,95
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,23.3,07-11-2019,01:00:00,0.00,0.0,000,28.66,963.15,3.80,1006.83,25.1,10.00,90
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,24.0,07-11-2019,01:00:00,0.00,0.0,000,29.89,961.63,4.60,1007.23,25.2,12.00,93
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,23.4,07-11-2019,01:00:00,7.00,0.0,000,28.83,970.38,8.80,1008.11,25.2,5.00,90
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,23.8,07-11-2019,01:00:00,0.00,3.7,180,29.41,962.15,0.40,1007.17,26.1,7.00,87
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,25.1,07-11-2019,01:00:00,0.00,0.0,000,31.79,981.32,0.60,1008.04,26.5,7.00,92
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,21.9,07-11-2019,01:00:00,0.00,3.7,220,26.31,986.48,0.00,1008.23,26.7,13.00,75
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,23.6,07-11-2019,01:00:00,0.00,0.0,000,29.13,984.55,4.40,1008.86,24.2,6.00,97
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,22.3,07-11-2019,01:00:00,0.00,0.0,000,26.88,973.08,0.30,1007.61,26.0,10.00,80
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,22.1,07-11-2019,01:00:00,0.00,5.6,180,26.57,980.36,0.00,1007.87,26.7,10.00,76
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,20.8,07-11-2019,01:00:00,0.00,0.0,000,24.61,973.81,0.80,1007.43,25.7,10.00,75
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,23.5,07-11-2019,01:00:00,0.00,7.4,270,28.88,989.12,2.50,1007.66,26.1,12.00,85
