WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,StationPressure,RelativeHumidity,Rainfall24Hr,Rainfall,WindDirection,MeanSeaLevelPressure,VaporPressure,LandVisibility,DewPoint,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,23.8,10-06-2019,04:00:00,980.24,95,1.20,0.00,000,1011.52,27.92,4.00,22.9,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,18.2,10-06-2019,04:00:00,848.22,92,0.00,0.00,200,1010.31,19.20,8.00,16.9,7.4
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,24.5,10-06-2019,04:00:00,967.12,89,0.00,0.00,040,1011.08,27.35,10.00,22.6,5.6
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,23.2,10-06-2019,04:00:00,965.03,92,0.00,0.00,000,1011.10,26.17,10.00,21.8,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,22.5,10-06-2019,04:00:00,973.36,100,0.00,0.00,000,1011.56,27.24,6.00,22.5,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,24.0,10-06-2019,04:00:00,966.22,96,0.00,0.00,000,1011.75,28.53,6.00,23.3,0.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,23.8,10-06-2019,04:00:00,985.47,93,0.00,0.00,000,1012.54,27.42,4.00,22.6,0.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,23.9,10-06-2019,04:00:00,989.11,98,0.40,0.00,000,1011.13,29.12,10.00,23.6,0.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,24.0,10-06-2019,04:00:00,986.65,96,0.00,0.00,000,1011.03,28.53,5.00,23.3,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,24.0,10-06-2019,04:00:00,976.79,86,0.00,0.00,000,1011.69,25.76,10.00,21.6,0.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,24.0,10-06-2019,04:00:00,984.34,96,0.00,0.00,000,1012.22,28.53,10.00,23.3,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,23.6,10-06-2019,04:00:00,977.42,93,0.00,0.00,000,1011.40,27.08,10.00,22.4,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,24.7,10-06-2019,04:00:00,992.45,96,0.00,0.00,000,1011.14,29.77,3.00,24.0,0.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,24.1,10-06-2019,04:00:00,988.66,95,0.00,0.00,000,1011.77,28.44,10.00,23.2,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,22.8,10-06-2019,04:00:00,981.68,95,0.00,0.00,000,1012.06,26.25,7.00,21.9,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,23.0,10-06-2019,04:00:00,975.77,-33,0.00,0.00,000,1011.81,-9.13,4.00,{'@attributes': {'Unit': 'celcius'}},0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,22.3,10-06-2019,04:00:00,981.02,97,0.00,0.00,120,1011.25,26.17,8.00,21.8,9.3
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,25.0,10-06-2019,04:00:00,1003.73,90,0.00,0.00,000,1011.11,28.48,7.00,23.2,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,24.2,10-06-2019,04:00:00,992.03,91,0.00,0.00,000,1012.20,27.60,5.00,22.7,0.0
48353,LOEI,เลย,เลย,17.45000,101.73333,22.0,10-06-2019,04:00:00,982.62,93,7.00,7.00,110,1011.85,24.50,4.00,20.8,11.1
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,21.8,10-06-2019,04:00:00,991.59,93,16.90,2.90,160,1012.20,24.19,9.00,20.6,3.7
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,22.9,10-06-2019,04:00:00,989.78,92,5.30,0.00,000,1011.89,25.68,10.00,21.5,0.0
