WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,DewPoint,RelativeHumidity,LandVisibility,AirTemperature,Rainfall,StationPressure,Rainfall24Hr,WindSpeed,VaporPressure,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1008.31,09-17-2019,04:00:00,21.5,91,8.00,23.0,0.00,977.05,0.00,0.0,25.60,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1006.86,09-17-2019,04:00:00,17.0,88,8.00,19.0,0.00,845.72,0.00,3.7,19.38,140
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1008.04,09-17-2019,04:00:00,22.1,90,12.00,23.9,0.00,964.13,0.00,0.0,26.58,000
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1008.07,09-17-2019,04:00:00,21.6,93,12.00,22.8,0.00,962.08,0.00,0.0,25.76,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1008.98,09-17-2019,04:00:00,23.5,100,6.00,23.5,0.00,971.00,0.01,0.0,28.94,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1008.26,09-17-2019,04:00:00,23.5,92,10.00,24.8,0.00,963.00,0.00,0.0,28.90,000
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1008.38,09-17-2019,04:00:00,23.6,93,5.00,24.8,0.00,981.50,0.00,0.0,29.16,000
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1006.74,09-17-2019,04:00:00,22.4,95,12.00,23.3,0.00,984.77,0.00,1.9,27.08,100
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1009.00,09-17-2019,04:00:00,23.3,96,6.00,24.0,0.00,984.67,0.00,0.0,28.53,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1008.90,09-17-2019,04:00:00,21.3,85,10.00,24.0,0.00,974.09,0.00,0.0,25.27,000
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1008.26,09-17-2019,04:00:00,22.7,94,10.00,23.7,0.00,980.46,0.00,0.0,27.50,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1008.32,09-17-2019,04:00:00,22.1,93,10.00,23.3,0.00,974.40,0.00,0.0,26.58,000
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1007.23,09-17-2019,04:00:00,24.0,95,10.00,24.9,0.00,988.62,0.00,0.0,29.87,000
48331,NAN,น่าน,น่าน,18.77972,100.77778,1008.02,09-17-2019,04:00:00,23.7,95,10.00,24.6,0.00,985.04,0.00,0.0,29.33,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1008.33,09-17-2019,04:00:00,22.1,94,6.00,23.2,0.00,978.10,0.00,0.0,26.66,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1008.22,09-17-2019,04:00:00,21.6,90,8.00,23.4,0.00,972.35,0.00,0.0,25.76,000
