WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,StationPressure,AirTemperature,Rainfall,Rainfall24Hr,RelativeHumidity,MeanSeaLevelPressure,VaporPressure,LandVisibility,DewPoint,WindSpeed
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,170,07-19-2019,16:00:00,984.94,36.9,0.00,0.00,44,1000.76,27.77,10.00,22.8,9.3
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,240,07-19-2019,16:00:00,980.06,33.0,0.00,0.00,55,1001.83,27.84,10.00,22.9,9.3
48376,TAK,ตาก,ตาก,16.87833,99.14333,260,07-19-2019,16:00:00,988.03,36.0,0.00,0.00,48,1001.93,28.22,10.00,23.1,18.5
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,240,07-19-2019,16:00:00,985.14,39.0,0.00,0.00,37,1000.80,25.75,7.00,21.6,9.3
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,280,07-19-2019,16:00:00,996.04,36.7,0.00,0.00,45,1001.07,27.94,10.00,22.9,9.3
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,000,07-19-2019,16:00:00,987.06,35.5,0.00,0.00,50,999.81,28.64,12.00,23.3,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,330,07-19-2019,16:00:00,991.98,38.2,0.00,0.00,38,1000.91,25.54,12.00,21.4,5.6
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,170,07-19-2019,16:00:00,979.57,36.6,0.00,15.30,45,1000.45,27.73,10.00,22.8,7.4
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,000,07-19-2019,16:00:00,983.91,38.0,0.00,28.70,45,1000.69,29.54,10.00,23.8,0.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,000,07-19-2019,16:00:00,985.86,30.5,0.80,0.80,75,1001.43,32.75,12.00,25.6,0.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,170,07-19-2019,16:00:00,981.25,38.5,0.00,0.01,39,999.30,26.45,10.00,22.0,7.4
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,270,07-19-2019,16:00:00,954.31,30.0,0.00,0.00,62,1004.71,26.21,10.00,21.9,11.1
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,010,07-19-2019,16:00:00,997.14,36.8,0.00,0.00,44,1000.95,27.56,10.00,22.7,1.9
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,240,07-19-2019,16:00:00,909.93,27.2,0.00,0.00,72,1002.95,25.90,8.00,21.7,14.8
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,200,07-19-2019,16:00:00,985.35,37.9,0.00,0.00,48,1000.68,31.76,10.00,25.0,3.7
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,000,07-19-2019,16:00:00,997.70,37.0,0.00,0.00,51,1001.58,31.89,12.00,25.1,0.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,350,07-19-2019,16:00:00,991.63,37.0,0.00,0.00,45,1001.90,28.28,10.00,23.1,5.6
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,150,07-19-2019,16:00:00,999.86,35.7,0.00,0.00,49,1001.72,28.47,12.00,23.2,3.7
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,170,07-19-2019,16:00:00,980.28,38.2,0.00,0.00,40,1000.26,26.70,12.00,22.2,5.6
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,250,07-19-2019,16:00:00,983.38,36.4,0.00,0.00,45,1000.40,27.03,11.00,22.4,3.7
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,210,07-19-2019,16:00:00,984.61,37.5,0.00,0.00,45,1000.12,28.75,10.00,23.4,5.6
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,160,07-19-2019,16:00:00,988.28,35.3,0.00,0.00,52,1001.87,29.97,10.00,24.1,9.3
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,000,07-19-2019,16:00:00,987.99,34.2,0.00,0.00,63,1002.41,33.89,10.00,26.1,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,000,07-19-2019,16:00:00,987.76,36.5,0.00,2.70,51,1001.91,31.38,10.00,24.8,0.0
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",07-19-2019,16:00:00,998.17,37.1,0.00,0.00,45,1001.07,28.49,10.00,23.2,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,000,07-19-2019,16:00:00,993.54,36.4,0.00,0.00,48,1001.20,29.07,10.00,23.6,0.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,250,07-19-2019,16:00:00,1001.06,36.2,0.00,0.00,52,1002.13,31.02,8.00,24.7,5.6
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,180,07-19-2019,16:00:00,987.37,34.5,0.00,0.00,40,1001.62,21.98,8.00,19.0,3.7
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,280,07-19-2019,16:00:00,869.15,24.8,0.00,37.40,77,1001.18,24.12,8.00,20.5,5.6
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,170,07-19-2019,16:00:00,995.36,37.5,0.00,0.00,49,1001.00,31.47,10.00,24.9,5.6
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,230,07-19-2019,16:00:00,1001.10,37.5,0.00,0.00,55,1001.87,35.57,12.00,27.0,3.7
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,210,07-19-2019,16:00:00,1002.38,32.0,0.00,0.00,66,1002.82,31.52,10.00,24.9,14.8
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,220,07-19-2019,16:00:00,993.41,31.5,0.00,0.00,65,1004.52,29.92,10.00,24.0,5.6
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,000,07-19-2019,16:00:00,1000.83,37.4,0.00,0.01,49,1001.80,31.25,12.00,24.8,0.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,000,07-19-2019,16:00:00,1000.02,36.0,0.00,0.00,43,1001.78,25.37,10.00,21.3,0.0
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,000,07-19-2019,16:00:00,1000.65,33.6,0.00,0.00,59,1001.40,30.49,8.00,24.4,0.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,190,07-19-2019,16:00:00,1002.27,33.1,0.00,15.00,61,1002.95,30.90,10.00,24.6,16.7
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,240,07-19-2019,16:00:00,1001.49,36.2,0.00,0.00,51,1002.17,30.42,12.00,24.3,3.7
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,360,07-19-2019,16:00:00,980.70,37.5,0.00,0.00,47,1001.02,30.56,12.00,24.4,13.0
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,180,07-19-2019,16:00:00,985.56,35.4,0.00,0.00,56,1001.73,31.98,12.00,25.2,5.6
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,090,07-19-2019,16:00:00,986.23,35.5,0.00,0.00,52,1002.13,30.10,12.00,24.2,3.7
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,220,07-19-2019,16:00:00,980.21,35.2,0.00,0.00,52,1001.36,29.76,10.00,24.0,5.6
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,260,07-19-2019,16:00:00,959.74,32.9,0.00,0.00,53,1001.95,26.53,10.00,22.1,14.8
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,100,07-19-2019,16:00:00,981.12,34.4,0.00,0.00,56,1001.07,30.42,11.00,24.3,11.1
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,190,07-19-2019,16:00:00,982.95,35.8,0.00,0.00,54,1003.10,31.96,10.00,25.1,7.4
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,190,07-19-2019,16:00:00,1002.72,31.3,0.00,0.00,70,1003.15,31.80,10.00,25.1,22.2
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,000,07-19-2019,16:00:00,1000.66,34.8,0.00,0.00,53,1002.03,29.21,11.00,23.7,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,310,07-19-2019,16:00:00,997.30,34.7,0.00,25.80,59,1002.08,32.56,10.00,25.5,9.3
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,280,07-19-2019,16:00:00,998.58,37.2,0.00,0.00,40,1001.75,25.23,12.00,21.2,9.3
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,300,07-19-2019,16:00:00,1000.55,37.5,0.00,0.10,44,1001.61,28.45,12.00,23.2,7.4
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,230,07-19-2019,16:00:00,1002.25,34.5,0.00,0.00,58,1002.54,31.52,10.00,24.9,9.3
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,180,07-19-2019,16:00:00,1001.56,34.1,0.00,0.00,60,1002.23,31.85,12.00,25.1,7.4
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,240,07-19-2019,16:00:00,1002.28,34.3,0.00,0.00,56,1002.75,30.50,10.00,24.4,7.4
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,100,07-19-2019,16:00:00,1000.73,35.2,0.00,0.00,52,1002.10,29.76,10.00,24.0,7.4
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,190,07-19-2019,16:00:00,1001.31,30.8,0.00,0.00,72,1002.96,31.93,12.00,25.1,27.8
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,330,07-19-2019,16:00:00,996.32,35.5,0.00,0.00,45,1004.08,25.78,12.00,21.6,5.6
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,090,07-19-2019,16:00:00,1002.62,33.6,0.00,0.00,65,1002.90,33.77,10.00,26.1,3.7
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,250,07-19-2019,16:00:00,1000.03,30.5,0.00,0.00,72,1003.11,31.31,10.00,24.8,9.3
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,240,07-19-2019,16:00:00,996.76,31.5,0.00,0.00,66,1003.58,30.49,12.00,24.4,14.8
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,290,07-19-2019,16:00:00,996.68,35.5,0.00,0.00,57,1002.10,32.82,8.00,25.6,11.1
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,230,07-19-2019,16:00:00,995.17,30.9,0.00,0.00,71,1004.33,31.84,8.00,25.1,16.7
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,150,07-19-2019,16:00:00,1002.76,31.4,4.20,4.20,77,1004.00,35.59,14.00,27.0,7.4
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,180,07-19-2019,16:00:00,1003.22,35.0,0.00,0.90,61,1003.64,34.15,11.00,26.3,18.5
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,190,07-19-2019,16:00:00,992.16,26.5,2.80,2.80,89,1004.41,30.70,9.00,24.5,3.7
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,250,07-19-2019,16:00:00,1003.09,31.0,0.00,0.00,71,1003.80,31.76,10.00,25.0,14.8
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,180,07-19-2019,16:00:00,1002.00,34.0,0.00,0.01,58,1004.38,31.04,10.00,24.7,18.5
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,210,07-19-2019,16:00:00,1003.85,30.8,0.00,0.00,74,1004.37,32.80,10.00,25.6,18.5
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,220,07-19-2019,16:00:00,998.65,30.8,0.00,0.00,69,1003.73,30.78,12.00,24.5,5.6
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,200,07-19-2019,16:00:00,1003.79,31.4,0.00,26.70,76,1004.20,34.98,8.00,26.7,11.1
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,150,07-19-2019,16:00:00,1001.89,30.3,0.00,40.00,78,1004.62,33.50,8.00,25.9,3.7
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,320,07-19-2019,16:00:00,1004.48,29.0,0.00,0.00,72,1005.26,28.91,10.00,23.5,13.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,230,07-19-2019,16:00:00,1005.25,28.2,0.20,120.70,86,1005.71,32.92,5.00,25.6,7.4
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,200,07-19-2019,16:00:00,1006.14,25.1,8.50,47.20,95,1006.83,30.23,5.00,24.2,5.6
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,240,07-19-2019,16:00:00,1005.60,24.8,56.40,85.20,97,1007.14,30.22,4.00,24.2,3.7
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,020,07-19-2019,16:00:00,1006.16,25.0,17.00,58.20,92,1007.08,29.00,6.00,23.5,5.6
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,000,07-19-2019,16:00:00,1005.62,31.4,0.00,7.60,68,1006.29,31.43,12.00,24.9,0.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,210,07-19-2019,16:00:00,1005.43,28.4,0.20,17.70,88,1006.22,33.90,10.00,26.1,3.7
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,150,07-19-2019,16:00:00,1004.79,29.4,0.70,1.80,79,1005.42,32.22,10.00,25.3,5.6
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,000,07-19-2019,16:00:00,1005.49,29.8,0.00,2.90,77,1005.89,32.46,10.00,25.4,0.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,220,07-19-2019,16:00:00,1003.46,29.3,0.01,2.90,74,1007.64,30.04,7.00,24.1,7.4
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,000,07-19-2019,16:00:00,1004.90,25.5,3.40,23.00,88,1006.51,28.59,8.00,23.3,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,000,07-19-2019,16:00:00,1004.16,25.8,1.70,5.10,93,1007.65,31.00,8.00,24.6,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,000,07-19-2019,16:00:00,1003.94,30.0,0.00,5.90,71,1005.28,30.31,10.00,24.3,0.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,000,07-19-2019,16:00:00,1004.97,26.2,6.40,235.00,96,1005.86,32.59,10.00,25.5,0.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,000,07-19-2019,16:00:00,1002.66,24.6,33.40,111.80,97,1006.25,29.85,10.00,24.0,0.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,000,07-19-2019,16:00:00,1005.63,25.6,7.60,27.40,95,1006.07,31.17,8.00,24.7,0.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,240,07-19-2019,16:00:00,1004.42,29.3,0.00,34.60,79,1005.40,32.30,9.00,25.3,5.6
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,290,07-19-2019,16:00:00,1005.24,26.2,1.60,130.00,96,1006.05,32.59,10.00,25.5,11.1
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,260,07-19-2019,16:00:00,1004.46,27.9,0.00,18.30,84,1006.27,31.47,12.00,24.9,3.7
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,210,07-19-2019,16:00:00,1004.90,31.0,0.00,58.10,68,1005.64,30.61,10.00,24.4,14.8
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,240,07-19-2019,16:00:00,1002.04,29.4,0.20,0.60,73,1006.00,29.96,10.00,24.1,9.3
48570,SATUN,สตูล,สตูล,6.65000,100.08333,270,07-19-2019,16:00:00,1005.41,29.4,0.20,2.60,75,1006.08,30.80,10.00,24.5,9.3
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,000,07-19-2019,16:00:00,1004.50,30.8,0.00,1.60,70,1005.60,31.06,10.00,24.7,0.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,260,07-19-2019,16:00:00,1002.61,30.3,0.00,0.00,72,1005.49,30.91,10.00,24.6,11.1
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,260,07-19-2019,16:00:00,1004.53,30.0,0.00,14.30,80,1005.21,34.05,8.00,26.2,11.1
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,040,07-19-2019,16:00:00,1002.06,27.4,1.60,1.60,85,1006.17,31.05,5.00,24.7,3.7
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,220,07-19-2019,16:00:00,1006.08,30.5,0.00,25.40,74,1006.66,32.46,7.00,25.4,24.1
