WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,VaporPressure,RelativeHumidity,WindSpeed,Rainfall,DewPoint,StationPressure,MeanSeaLevelPressure,Rainfall24Hr,LandVisibility,WindDirection
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,25.7,09-30-2019,01:00:00,30.81,93,0.0,0.00,24.5,997.59,1012.40,0.00,6.00,000
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,27.1,09-30-2019,01:00:00,32.41,90,0.0,0.00,25.4,1007.88,1010.91,0.01,5.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,26.3,09-30-2019,01:00:00,28.98,85,0.0,0.00,23.5,1003.70,1011.71,0.00,7.00,000
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,26.8,09-30-2019,01:00:00,31.82,90,0.0,0.00,25.1,1010.11,1011.22,0.00,8.00,000
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,25.5,09-30-2019,01:00:00,27.29,84,0.0,0.00,22.5,997.21,1012.04,0.00,8.00,000
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,25.0,09-30-2019,01:00:00,29.26,92,0.0,0.00,23.7,1005.70,1011.64,0.00,8.00,000
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,29.0,09-30-2019,01:00:00,31.13,78,0.0,0.00,24.7,1010.85,1011.65,0.00,7.00,000
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,23.6,09-30-2019,01:00:00,27.58,95,0.0,18.10,22.7,1001.94,1013.44,18.10,3.00,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,28.1,09-30-2019,01:00:00,33.29,88,0.0,0.00,25.8,1010.46,1011.47,0.00,4.00,000
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,26.5,09-30-2019,01:00:00,29.35,85,0.0,0.00,23.7,1009.78,1011.62,0.00,7.00,000
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,26.9,09-30-2019,01:00:00,29.83,84,0.0,0.00,24.0,1010.59,1011.36,0.00,5.00,000
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,29.0,09-30-2019,01:00:00,33.41,83,9.3,0.00,25.9,1010.43,1011.14,0.00,6.00,200
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,27.9,09-30-2019,01:00:00,30.64,82,0.0,0.00,24.4,1009.54,1010.24,0.00,7.00,000
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,25.2,09-30-2019,01:00:00,26.52,83,0.0,0.00,22.1,991.98,1013.39,0.00,7.00,000
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,24.9,09-30-2019,01:00:00,29.34,93,0.0,0.00,23.7,994.31,1011.21,0.00,6.00,000
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,24.0,09-30-2019,01:00:00,27.76,93,0.0,0.00,22.8,995.55,1012.23,0.00,6.00,000
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,25.0,09-30-2019,01:00:00,27.96,88,0.0,0.00,22.9,989.81,1011.92,0.00,4.00,000
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,25.4,09-30-2019,01:00:00,22.91,71,7.4,0.00,19.7,968.43,1012.11,0.00,8.00,120
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,24.5,09-30-2019,01:00:00,29.41,96,0.0,0.00,23.8,991.08,1011.90,0.00,8.00,000
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,23.4,09-30-2019,01:00:00,28.76,100,0.0,0.00,23.4,991.75,1012.94,0.00,5.00,000
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,28.5,09-30-2019,01:00:00,31.26,80,0.0,0.00,24.8,1010.96,1011.40,0.00,9.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}"
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,27.4,09-30-2019,01:00:00,31.05,85,0.0,0.00,24.7,1010.53,1011.95,0.00,6.00,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,26.2,09-30-2019,01:00:00,31.22,92,0.0,0.00,24.8,1006.35,1011.32,0.00,7.00,000
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,27.7,09-30-2019,01:00:00,29.98,81,0.0,0.00,24.1,1008.50,1011.80,0.00,6.00,000
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,25.5,09-30-2019,01:00:00,31.25,96,0.0,0.00,24.8,1010.89,1012.01,0.00,8.00,000
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,29.4,09-30-2019,01:00:00,33.95,83,5.6,0.00,26.2,1011.17,1011.46,0.00,10.00,200
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,29.0,09-30-2019,01:00:00,31.98,80,0.0,0.00,25.2,1010.98,1011.47,0.00,10.00,000
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,28.8,09-30-2019,01:00:00,29.63,75,9.3,0.00,23.9,1010.15,1011.55,0.00,10.00,160
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,25.5,09-30-2019,01:00:00,30.71,94,0.0,0.00,24.5,1004.82,1012.91,0.00,10.00,000
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,28.3,09-30-2019,01:00:00,33.70,88,0.0,0.00,26.0,1010.59,1010.88,0.00,10.00,000
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,27.3,09-30-2019,01:00:00,31.14,86,0.0,0.00,24.7,1007.82,1010.97,0.00,10.00,000
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,27.3,09-30-2019,01:00:00,32.81,90,0.0,0.00,25.6,1004.80,1011.76,0.00,8.00,000
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,27.5,09-30-2019,01:00:00,32.93,90,0.0,0.00,25.7,1006.09,1011.70,0.00,8.00,000
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,26.0,09-30-2019,01:00:00,28.18,84,0.0,0.00,23.1,1011.13,1012.41,0.00,6.00,000
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,27.5,09-30-2019,01:00:00,30.42,83,13.0,0.00,24.3,1010.76,1011.19,0.00,11.00,330
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,24.0,09-30-2019,01:00:00,28.53,96,0.0,0.00,23.3,999.67,1012.11,0.00,7.00,000
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,27.4,09-30-2019,01:00:00,30.23,83,0.0,0.00,24.2,1010.55,1011.27,0.00,6.00,000
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,26.5,09-30-2019,01:00:00,31.79,92,0.0,0.00,25.1,1008.52,1010.97,0.00,5.00,000
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,28.4,09-30-2019,01:00:00,33.04,85,0.0,0.00,25.7,1011.05,1011.57,0.00,10.00,000
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,26.5,09-30-2019,01:00:00,31.79,92,1.9,0.00,25.1,1006.20,1011.38,0.00,7.00,310
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,27.0,09-30-2019,01:00:00,32.77,92,0.0,0.00,25.6,1011.04,1011.45,1.20,7.00,000
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,25.2,09-30-2019,01:00:00,30.15,94,0.0,0.00,24.2,1008.74,1011.54,0.00,8.00,000
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,25.1,09-30-2019,01:00:00,28.92,91,0.0,0.00,23.5,1011.23,1012.03,1.40,6.00,000
48501,TRAD,ตราด,ตราด,11.76667,102.88333,25.5,09-30-2019,01:00:00,29.91,92,5.6,0.00,24.0,1010.94,1011.41,0.00,6.00,040
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,25.2,09-30-2019,01:00:00,30.69,96,0.0,0.00,24.5,1011.17,1011.86,0.00,7.00,000
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,25.4,09-30-2019,01:00:00,30.79,95,0.0,0.00,24.5,1010.24,1011.78,0.00,7.00,000
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,25.0,09-30-2019,01:00:00,29.00,92,0.0,0.00,23.5,1010.83,1011.76,0.00,10.00,000
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,27.0,09-30-2019,01:00:00,32.77,92,0.0,0.00,25.6,1011.27,1011.96,0.00,10.00,000
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,25.5,09-30-2019,01:00:00,30.98,95,0.0,0.00,24.6,1010.90,1011.71,0.00,7.00,000
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,25.6,09-30-2019,01:00:00,31.17,95,0.0,0.00,24.7,1010.71,1011.35,0.00,10.00,000
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,26.0,09-30-2019,01:00:00,31.38,93,0.0,0.00,24.8,1010.96,1011.37,0.00,10.00,000
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,25.1,09-30-2019,01:00:00,30.23,95,0.0,0.00,24.2,1009.24,1013.50,0.00,6.00,000
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,24.2,09-30-2019,01:00:00,29.66,98,0.0,0.00,23.9,1010.17,1011.80,0.60,6.00,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,24.4,09-30-2019,01:00:00,29.49,97,0.0,0.00,23.8,1008.43,1011.95,0.00,7.00,000
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,26.2,09-30-2019,01:00:00,32.87,97,0.0,1.40,25.6,1010.33,1011.69,1.40,8.00,000
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,24.8,09-30-2019,01:00:00,30.75,98,0.0,0.00,24.5,1010.90,1011.80,11.50,10.00,000
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,24.2,09-30-2019,01:00:00,29.13,97,0.0,0.00,23.6,1008.25,1011.86,4.40,10.00,000
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,26.2,09-30-2019,01:00:00,31.22,92,0.0,0.00,24.8,1011.33,1011.77,21.80,10.00,000
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,25.5,09-30-2019,01:00:00,30.71,94,0.0,0.00,24.5,1008.00,1009.00,23.60,9.00,000
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,25.6,09-30-2019,01:00:00,29.82,91,0.0,0.00,24.0,1010.31,1011.14,0.00,10.00,000
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,26.5,09-30-2019,01:00:00,31.24,90,0.0,0.00,24.8,1009.84,1011.66,0.00,10.00,000
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,27.6,09-30-2019,01:00:00,30.34,82,0.0,0.00,24.3,1010.59,1011.34,1.40,10.00,000
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,25.2,09-30-2019,01:00:00,30.69,96,0.0,0.00,24.5,1007.77,1011.81,0.00,10.00,000
48570,SATUN,สตูล,สตูล,6.65000,100.08333,25.5,09-30-2019,01:00:00,29.11,89,0.0,0.00,23.6,1010.47,1011.16,0.70,10.00,000
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,26.4,09-30-2019,01:00:00,31.88,93,0.0,0.00,25.1,1010.38,1011.50,2.80,10.00,000
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,25.4,09-30-2019,01:00:00,30.25,93,0.0,0.00,24.2,1008.90,1011.84,6.60,10.00,000
