WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,Rainfall24Hr,MeanSeaLevelPressure,WindDirection,WindSpeed,LandVisibility,Rainfall,DewPoint,StationPressure,AirTemperature,MinimumTemperature,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,93,09-05-2019,07:00:00,0.00,1006.27,000,0.0,8.00,0.00,23.9,975.28,25.1,24.2,29.70
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,100,09-05-2019,07:00:00,0.00,1004.63,280,9.3,.10,0.00,18.8,843.75,18.8,18.4,21.68
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,90,09-05-2019,07:00:00,0.00,1005.83,110,3.7,12.00,0.00,23.1,962.16,24.9,24.1,28.30
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,94,09-05-2019,07:00:00,0.00,1005.71,000,0.0,15.00,0.00,22.7,959.97,23.7,22.0,27.50
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,100,09-05-2019,07:00:00,0.80,1006.41,000,0.0,8.00,0.00,24.9,968.70,24.9,24.6,31.47
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,96,09-05-2019,07:00:00,1.00,1006.37,000,0.0,10.00,0.00,24.0,961.19,24.7,24.3,29.77
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,95,09-05-2019,07:00:00,1.50,1006.35,000,0.0,6.00,0.00,24.9,979.62,25.8,25.0,31.55
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,93,09-05-2019,07:00:00,0.00,1006.43,000,0.0,13.00,0.00,23.8,984.59,25.0,24.2,29.52
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,94,09-05-2019,07:00:00,8.40,1007.33,000,0.0,5.00,0.00,23.5,983.08,24.5,22.5,28.89
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,91,09-05-2019,07:00:00,5.00,1006.31,000,0.0,10.00,0.00,23.4,971.71,25.0,24.7,28.74
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,97,09-05-2019,07:00:00,2.80,1006.44,000,0.0,10.00,0.00,24.2,978.78,24.6,24.0,30.12
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,95,09-05-2019,07:00:00,2.10,1005.77,000,0.0,10.00,0.00,24.3,972.15,25.2,24.6,30.42
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,95,09-05-2019,07:00:00,0.00,1005.85,260,3.7,15.00,0.00,24.2,987.29,25.1,24.9,30.23
48331,NAN,น่าน,น่าน,18.77972,100.77778,94,09-05-2019,07:00:00,0.00,1005.88,000,0.0,10.00,0.00,25.0,983.05,26.0,25.5,31.65
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,96,09-05-2019,07:00:00,1.00,1005.90,000,0.0,8.00,1.00,24.6,975.95,25.3,25.1,30.87
