WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,DewPoint,WindSpeed,AirTemperature,VaporPressure,StationPressure,Rainfall24Hr,WindDirection,RelativeHumidity,Rainfall,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1015.70,10-15-2019,10:00:00,22.5,3.7,27.2,27.19,984.64,1.70,100,75,0.00,10.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1016.39,10-15-2019,10:00:00,19.6,22.2,20.5,22.73,854.47,5.60,270,94,0.00,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1016.56,10-15-2019,10:00:00,22.0,13.0,26.8,26.48,972.69,7.40,360,75,0.00,10.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1016.36,10-15-2019,10:00:00,21.7,0.0,27.7,26.00,970.73,0.00,000,70,0.00,15.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1015.91,10-15-2019,10:00:00,24.2,9.3,28.2,30.12,978.26,5.30,330,79,0.00,12.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1016.71,10-15-2019,10:00:00,23.2,5.6,27.0,28.41,971.40,6.80,290,80,0.00,10.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1016.47,10-15-2019,10:00:00,23.2,5.6,29.0,28.37,989.75,0.00,090,71,0.00,10.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1014.97,10-15-2019,10:00:00,23.6,7.4,28.8,29.08,993.21,0.00,240,73,0.00,8.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1015.75,10-15-2019,10:00:00,22.6,0.0,27.0,27.36,991.50,3.20,000,77,0.00,10.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1016.88,10-15-2019,10:00:00,21.6,3.7,25.8,25.78,982.01,61.00,270,78,0.00,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1015.91,10-15-2019,10:00:00,23.7,0.0,28.5,29.33,988.34,10.80,000,75,0.00,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1016.52,10-15-2019,10:00:00,22.0,0.0,25.0,26.43,982.52,13.20,000,83,0.00,8.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1014.99,10-15-2019,10:00:00,23.5,5.6,29.0,28.91,996.49,0.00,050,72,0.00,6.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,1015.80,10-15-2019,10:00:00,22.3,0.0,28.2,26.90,992.91,0.00,000,70,0.00,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1015.84,10-15-2019,10:00:00,22.4,7.4,28.6,27.09,985.92,1.30,060,69,0.00,12.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1015.62,10-15-2019,10:00:00,25.1,0.0,28.2,31.79,980.06,0.20,000,83,0.00,8.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1014.90,10-15-2019,10:00:00,23.2,5.6,29.0,28.37,985.22,0.00,020,71,0.00,15.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1014.58,10-15-2019,10:00:00,21.4,0.0,30.8,25.55,1007.32,0.00,000,58,0.00,9.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1014.99,10-15-2019,10:00:00,22.8,14.8,31.5,27.68,995.24,0.00,040,60,0.00,8.00
48353,LOEI,เลย,เลย,17.45000,101.73333,1014.81,10-15-2019,10:00:00,21.7,5.6,30.0,25.94,986.25,0.00,170,61,0.00,13.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1014.95,10-15-2019,10:00:00,21.4,11.1,30.8,25.55,994.89,0.00,060,58,0.00,15.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1015.58,10-15-2019,10:00:00,22.0,7.4,29.8,26.37,993.88,9.10,080,63,0.00,12.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1014.59,10-15-2019,10:00:00,22.0,5.6,29.8,26.37,995.15,3.10,010,63,0.00,12.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1015.14,10-15-2019,10:00:00,21.2,5.6,29.7,25.14,998.42,0.00,340,60,0.00,12.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1015.16,10-15-2019,10:00:00,23.1,5.6,29.2,28.21,997.75,0.00,090,70,0.00,10.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1014.08,10-15-2019,10:00:00,20.8,5.6,31.0,24.60,988.48,0.00,340,55,0.00,11.00
