WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,VaporPressure,Rainfall24Hr,RelativeHumidity,WindSpeed,LandVisibility,DewPoint,Rainfall,AirTemperature,MeanSeaLevelPressure,StationPressure,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,08-22-2019,22:00:00,30.76,0.10,91,0.0,10.00,24.5,0.00,26.1,1007.54,976.62,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,08-22-2019,22:00:00,21.33,0.00,99,0.0,8.00,18.5,0.00,18.7,1005.82,844.70,000
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,08-22-2019,22:00:00,29.89,106.50,93,0.0,10.00,24.0,1.50,25.2,1006.89,963.21,000
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,08-22-2019,22:00:00,30.05,5.20,95,0.0,5.00,24.1,1.80,25.0,1007.03,961.42,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,08-22-2019,22:00:00,32.18,16.00,97,0.0,6.00,25.3,2.40,25.7,1006.81,969.18,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,08-22-2019,22:00:00,29.18,1.60,92,7.4,7.00,23.6,1.00,25.1,1008.00,962.80,210
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,08-22-2019,22:00:00,32.45,14.60,89,0.0,8.00,25.4,0.01,27.4,1008.13,981.49,000
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,08-22-2019,22:00:00,28.43,0.01,78,0.0,12.00,23.2,0.01,27.3,1007.99,986.28,000
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,08-22-2019,22:00:00,29.91,1.70,92,0.0,8.00,24.0,0.00,25.5,1008.67,984.47,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,08-22-2019,22:00:00,29.26,41.50,92,0.0,10.00,23.7,2.70,25.0,1008.19,973.52,000
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,08-22-2019,22:00:00,30.97,0.00,84,0.0,10.00,24.6,0.00,27.5,1009.10,981.62,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,08-22-2019,22:00:00,30.58,28.20,97,0.0,10.00,24.4,4.60,25.0,1008.12,974.40,000
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,08-22-2019,22:00:00,27.51,9.30,91,3.7,10.00,22.7,0.40,24.3,1008.21,989.55,260
48331,NAN,น่าน,น่าน,18.77972,100.77778,08-22-2019,22:00:00,32.41,26.90,90,0.0,10.00,25.4,0.00,27.1,1007.45,984.67,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,08-22-2019,22:00:00,32.21,12.60,90,0.0,9.00,25.3,0.00,27.0,1007.50,977.67,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,08-22-2019,22:00:00,30.17,2.10,93,0.0,5.00,24.2,0.20,25.5,1007.86,972.26,000
