WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,DewPoint,VaporPressure,MaximumTemperature,Rainfall,WindDirection,StationPressure,MeanSeaLevelPressure,WindSpeed,Rainfall24Hr,LandVisibility,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,73,08-28-2019,19:00:00,24.0,29.77,33.0,0.00,160,973.29,1003.78,5.6,2.40,15.00,29.3
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,98,08-28-2019,19:00:00,19.7,22.91,23.0,0.00,140,843.22,1003.30,3.7,5.50,7.00,20.0
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,78,08-28-2019,19:00:00,24.5,30.82,31.8,0.00,000,961.53,1004.61,0.0,14.50,10.00,28.7
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,83,08-28-2019,19:00:00,25.1,31.79,31.7,0.00,000,959.70,1004.74,0.0,32.20,15.00,28.2
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,92,08-28-2019,19:00:00,25.5,32.58,31.0,0.50,000,968.06,1005.49,0.0,6.90,10.00,26.9
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,83,08-28-2019,19:00:00,25.5,32.71,31.5,0.00,070,960.01,1004.52,5.6,5.10,9.00,28.8
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,82,08-28-2019,19:00:00,25.0,31.62,31.6,0.00,180,978.99,1005.47,5.6,19.40,10.00,28.4
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,71,08-28-2019,19:00:00,23.7,29.24,33.7,0.00,190,982.75,1004.22,3.7,0.00,12.00,29.6
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,69,08-28-2019,19:00:00,22.1,26.65,32.9,0.00,000,981.37,1005.25,0.0,0.00,10.00,28.5
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,76,08-28-2019,19:00:00,24.6,30.96,32.7,0.00,000,969.29,1003.32,0.0,2.60,10.00,29.2
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,85,08-28-2019,19:00:00,25.1,31.95,31.2,0.00,000,977.68,1005.00,0.0,39.00,10.00,28.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,73,08-28-2019,19:00:00,23.9,29.57,32.9,0.00,000,970.62,1003.73,0.0,6.40,10.00,29.2
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,82,08-28-2019,19:00:00,26.0,33.66,32.4,0.00,000,986.04,1004.32,0.0,54.40,10.00,29.4
48331,NAN,น่าน,น่าน,18.77972,100.77778,92,08-28-2019,19:00:00,25.1,31.79,33.4,2.30,000,982.80,1005.59,0.0,14.10,10.00,26.5
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,86,08-28-2019,19:00:00,23.7,29.33,31.6,0.00,000,975.78,1005.64,0.0,9.30,10.00,26.2
