WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,StationPressure,VaporPressure,Rainfall24Hr,DewPoint,Rainfall,MeanSeaLevelPressure,WindSpeed,LandVisibility,AirTemperature,MaximumTemperature,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,78,07-11-2019,19:00:00,976.83,30.04,0.30,24.1,0.01,1007.53,5.6,5.00,28.3,32.6,180
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,97,07-11-2019,19:00:00,844.57,21.71,5.50,18.8,0.00,1005.32,11.1,8.00,19.3,21.0,270
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,61,07-11-2019,19:00:00,962.32,27.93,4.10,22.9,0.00,1005.08,3.7,10.00,31.2,32.9,160
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,81,07-11-2019,19:00:00,960.17,30.56,9.60,24.4,0.00,1005.26,0.0,15.00,28.0,32.3,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,71,07-11-2019,19:00:00,970.34,30.31,8.80,24.3,0.00,1007.47,0.0,10.00,30.0,34.0,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,60,07-11-2019,19:00:00,961.45,27.96,0.40,22.9,0.00,1005.62,3.7,11.00,31.5,32.5,160
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,74,07-11-2019,19:00:00,980.00,32.67,0.50,25.5,0.00,1006.31,0.0,10.00,30.6,33.0,000
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,79,07-11-2019,19:00:00,986.40,29.74,0.01,23.9,0.01,1008.06,3.7,15.00,28.0,34.8,090
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,93,07-11-2019,19:00:00,985.69,31.38,2.70,24.8,0.60,1009.88,0.0,8.00,26.0,31.2,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,60,07-11-2019,19:00:00,973.02,25.50,0.00,21.4,0.00,1007.10,7.4,10.00,29.9,35.0,210
