WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,WindDirection,StationPressure,Rainfall,RelativeHumidity,Rainfall24Hr,DewPoint,MeanSeaLevelPressure,AirTemperature,VaporPressure,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,07-30-2019,01:00:00,000,977.86,0.00,80,0.30,23.0,1008.76,26.7,28.13,10.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,27.8,07-30-2019,01:00:00,280,844.50,6.50,96,6.50,18.3,1005.41,19.0,21.08,6.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,14.8,07-30-2019,01:00:00,230,961.36,0.00,77,0.00,22.7,1004.69,27.0,27.62,12.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.0,07-30-2019,01:00:00,000,959.55,0.00,89,0.01,24.1,1004.91,26.1,29.95,12.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,07-30-2019,01:00:00,000,969.00,5.60,98,5.60,25.0,1006.67,25.3,31.68,3.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,3.7,07-30-2019,01:00:00,110,960.70,0.00,79,0.00,23.8,1005.40,27.7,29.44,8.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.0,07-30-2019,01:00:00,000,980.22,33.90,96,33.90,23.5,1007.11,24.2,28.88,6.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,7.4,07-30-2019,01:00:00,240,985.73,0.00,70,0.00,21.2,1007.44,27.2,25.13,12.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,07-30-2019,01:00:00,000,985.86,7.00,93,13.60,23.1,1010.19,24.3,28.28,6.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,3.7,07-30-2019,01:00:00,250,973.00,0.00,68,0.01,21.6,1007.27,28.2,25.85,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,07-30-2019,01:00:00,000,980.79,0.00,70,0.00,22.1,1008.20,28.0,26.54,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,07-30-2019,01:00:00,000,973.68,0.00,79,0.00,24.3,1007.00,28.3,30.31,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,3.7,07-30-2019,01:00:00,270,987.57,0.00,86,0.00,23.9,1006.06,26.5,29.62,10.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,07-30-2019,01:00:00,000,983.08,0.00,81,0.00,24.4,1005.75,28.0,30.56,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,07-30-2019,01:00:00,000,976.53,0.00,87,0.00,24.3,1006.36,26.6,30.34,8.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,07-30-2019,01:00:00,000,971.17,0.00,82,0.00,24.5,1006.46,27.8,30.72,7.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.0,07-30-2019,01:00:00,000,975.58,0.00,84,0.00,24.0,1005.18,26.9,29.83,12.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,07-30-2019,01:00:00,000,999.48,0.00,77,0.01,23.1,1006.77,27.5,28.26,8.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,3.7,07-30-2019,01:00:00,200,986.12,1.50,94,1.70,25.0,1006.05,26.0,31.65,5.00
48353,LOEI,เลย,เลย,17.45000,101.73333,5.6,07-30-2019,01:00:00,190,977.37,0.00,81,0.00,23.9,1005.92,27.4,29.69,13.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,5.6,07-30-2019,01:00:00,100,985.87,3.20,96,8.30,24.4,1006.14,25.1,30.50,8.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.0,07-30-2019,01:00:00,000,985.27,0.00,90,1.50,23.2,1007.13,25.0,28.48,12.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,5.6,07-30-2019,01:00:00,140,987.14,0.10,89,1.00,22.8,1006.75,24.7,27.69,9.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.0,07-30-2019,01:00:00,000,990.44,7.00,95,7.00,23.2,1007.34,24.1,28.44,5.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.0,07-30-2019,01:00:00,000,989.84,10.40,96,11.90,22.8,1007.45,23.5,27.66,6.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.0,07-30-2019,01:00:00,000,979.06,0.00,96,27.40,24.8,1004.89,25.5,31.25,10.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.0,07-30-2019,01:00:00,000,1001.37,0.00,78,0.80,23.1,1007.15,27.2,28.24,10.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.0,07-30-2019,01:00:00,000,1000.26,0.00,79,1.60,22.9,1006.45,26.9,27.96,10.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.0,07-30-2019,01:00:00,000,990.55,0.00,74,0.00,22.7,1006.94,27.7,27.57,8.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.0,07-30-2019,01:00:00,000,986.40,1.10,93,2.10,23.1,1008.96,24.3,28.28,10.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,13.0,07-30-2019,01:00:00,270,994.00,0.00,66,0.00,20.6,1008.38,27.6,24.30,8.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,18.5,07-30-2019,01:00:00,120,990.78,0.00,68,0.00,21.9,1007.09,28.3,26.29,7.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.0,07-30-2019,01:00:00,000,1002.06,0.00,89,11.60,24.0,1007.31,25.9,29.84,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.0,07-30-2019,01:00:00,000,992.58,0.00,80,0.00,23.9,1005.73,27.7,29.71,10.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,3.7,07-30-2019,01:00:00,320,997.26,0.00,66,0.00,21.1,1006.54,28.2,25.08,10.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,5.6,07-30-2019,01:00:00,090,984.66,0.00,97,0.40,25.6,1006.38,26.2,32.87,8.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,5.6,07-30-2019,01:00:00,200,988.43,0.00,84,5.00,23.6,1005.94,26.5,29.08,10.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,7.4,07-30-2019,01:00:00,290,990.63,0.00,94,5.60,23.5,1006.59,24.5,28.89,10.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.0,07-30-2019,01:00:00,000,986.33,0.00,100,13.60,26.5,1005.21,26.5,34.60,8.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,07-30-2019,01:00:00,000,957.69,1.30,95,13.60,21.7,1009.57,22.5,26.01,2.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.0,07-30-2019,01:00:00,000,1003.07,0.00,88,0.00,25.4,1007.02,27.5,32.36,7.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,11.1,07-30-2019,01:00:00,200,914.48,0.20,97,2.20,19.6,1010.31,20.1,22.83,1.50
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.0,07-30-2019,01:00:00,000,990.44,2.30,98,59.20,24.9,1006.51,25.2,31.49,6.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.0,07-30-2019,01:00:00,000,1003.05,0.00,92,0.00,25.6,1007.08,27.0,32.77,10.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.0,07-30-2019,01:00:00,000,996.95,0.00,84,0.00,23.3,1007.66,26.2,28.54,5.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.0,07-30-2019,01:00:00,000,1005.52,0.00,80,0.00,23.3,1007.45,27.0,28.67,7.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,5.6,07-30-2019,01:00:00,190,985.61,0.00,70,0.00,22.3,1006.38,28.2,26.90,10.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.0,07-30-2019,01:00:00,000,988.61,1.10,96,10.50,24.3,1006.37,25.0,30.32,8.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.0,07-30-2019,01:00:00,000,990.20,1.30,97,19.90,24.3,1006.46,24.9,30.40,7.00
