WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,AirTemperature,DewPoint,MeanSeaLevelPressure,LandVisibility,WindSpeed,VaporPressure,StationPressure,WindDirection,Rainfall24Hr,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,93,07-14-2019,01:00:00,24.8,23.6,1008.11,8.00,0.0,29.16,977.04,000,1.40,1.20
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,90,07-14-2019,01:00:00,19.5,17.9,1003.90,8.00,33.3,20.46,843.48,270,0.00,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,69,07-14-2019,01:00:00,27.5,21.2,1004.33,12.00,11.1,25.14,961.10,240,0.00,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,78,07-14-2019,01:00:00,26.0,22.0,1005.26,15.00,0.0,26.37,959.88,000,0.00,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,90,07-14-2019,01:00:00,26.0,24.3,1007.46,5.00,0.0,30.30,969.84,000,0.00,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,73,07-14-2019,01:00:00,27.5,22.3,1005.39,10.01,5.6,26.95,960.66,150,0.00,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,90,07-14-2019,01:00:00,27.0,25.1,1005.73,8.00,5.6,31.94,979.12,180,0.30,0.30
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,71,07-14-2019,01:00:00,27.9,22.1,1007.06,11.00,5.6,26.62,985.42,250,0.00,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,92,07-14-2019,01:00:00,25.5,24.0,1008.67,6.00,0.0,29.91,984.47,000,0.00,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,72,07-14-2019,01:00:00,28.0,22.5,1006.78,10.00,0.0,27.32,972.50,000,0.00,0.00
